Trait,From,To,Posterior Transition Count,Posterior Probability,Bayes Factor,BF Category,Supported (BF > 10),Mean MJ,Markov Reward,Persistence (%),
District,asa,cayma,75.00,0.03,0.42,Negative,FALSE,0.01,14.14,7.06,
District,asa,ccolorado,479.00,0.06,0.78,Negative,FALSE,0.05,14.14,7.06,
District,asa,characato,6041.00,0.32,6.34,Substantial,TRUE,0.67,14.14,7.06,
District,asa,elpedregal,533.00,0.08,1.13,Weak,FALSE,0.06,14.14,7.06,
District,asa,hunter,25154.00,0.89,112.38,Decisive,TRUE,2.79,14.14,7.06,
District,asa,jlbyr,42228.00,0.99,1036.22,Decisive,TRUE,4.69,14.14,7.06,
District,asa,miraflores,3479.00,0.19,3.13,Substantial,TRUE,0.39,14.14,7.06,
District,asa,mmelgar,34106.00,0.80,53.10,Very strong,TRUE,3.79,14.14,7.06,
District,asa,mollebaya,4941.00,0.30,5.71,Substantial,TRUE,0.55,14.14,7.06,
District,asa,paucarpata,12657.00,0.46,11.26,Strong,TRUE,1.41,14.14,7.06,
District,asa,sachaca,720.00,0.10,1.54,Weak,FALSE,0.08,14.14,7.06,
District,asa,socabaya,6467.00,0.28,5.12,Substantial,TRUE,0.72,14.14,7.06,
District,asa,uchumayo,596.00,0.09,1.28,Weak,FALSE,0.07,14.14,7.06,
District,asa,yura,3257.00,0.17,2.64,Weak,FALSE,0.36,14.14,7.06,
District,cayma,asa,111.00,0.06,0.85,Negative,FALSE,0.01,7.31,3.65,
District,cayma,ccolorado,1580.00,0.11,1.62,Weak,FALSE,0.18,7.31,3.65,
District,cayma,characato,97.00,0.06,0.80,Negative,FALSE,0.01,7.31,3.65,
District,cayma,elpedregal,10.00,0.04,0.59,Negative,FALSE,0.00,7.31,3.65,
District,cayma,hunter,272.00,0.07,0.99,Negative,FALSE,0.03,7.31,3.65,
District,cayma,jlbyr,659.00,0.10,1.43,Weak,FALSE,0.07,7.31,3.65,
District,cayma,miraflores,309.00,0.07,0.94,Negative,FALSE,0.03,7.31,3.65,
District,cayma,mmelgar,64.00,0.05,0.73,Negative,FALSE,0.01,7.31,3.65,
District,cayma,mollebaya,82.00,0.05,0.67,Negative,FALSE,0.01,7.31,3.65,
District,cayma,paucarpata,157.00,0.06,0.90,Negative,FALSE,0.02,7.31,3.65,
District,cayma,sachaca,2371.00,0.28,5.27,Substantial,TRUE,0.26,7.31,3.65,
District,cayma,socabaya,429.00,0.08,1.09,Weak,FALSE,0.05,7.31,3.65,
District,cayma,uchumayo,2313.00,0.27,4.81,Substantial,TRUE,0.26,7.31,3.65,
District,cayma,yura,1390.00,0.14,2.19,Weak,FALSE,0.15,7.31,3.65,
District,ccolorado,asa,63233.00,0.91,142.70,Decisive,TRUE,7.03,103.45,51.64,
District,ccolorado,cayma,83159.00,0.99,1581.97,Decisive,TRUE,9.24,103.45,51.64,
District,ccolorado,characato,352.00,0.03,0.42,Negative,FALSE,0.04,103.45,51.64,
District,ccolorado,elpedregal,32.00,0.01,0.15,Negative,FALSE,0.00,103.45,51.64,
District,ccolorado,hunter,2136.00,0.10,1.56,Weak,FALSE,0.24,103.45,51.64,
District,ccolorado,jlbyr,4086.00,0.21,3.45,Substantial,TRUE,0.45,103.45,51.64,
District,ccolorado,miraflores,540.00,0.06,0.79,Negative,FALSE,0.06,103.45,51.64,
District,ccolorado,mmelgar,234.00,0.02,0.31,Negative,FALSE,0.03,103.45,51.64,
District,ccolorado,mollebaya,107.00,0.02,0.26,Negative,FALSE,0.01,103.45,51.64,
District,ccolorado,paucarpata,172.00,0.02,0.31,Negative,FALSE,0.02,103.45,51.64,
District,ccolorado,sachaca,2831.00,0.28,5.07,Substantial,TRUE,0.31,103.45,51.64,
District,ccolorado,socabaya,3140.00,0.16,2.54,Weak,FALSE,0.35,103.45,51.64,
District,ccolorado,uchumayo,5127.00,0.47,11.68,Strong,TRUE,0.57,103.45,51.64,
District,ccolorado,yura,176506.00,1.00,119631.39,Decisive,TRUE,19.61,103.45,51.64,
District,characato,asa,2653.00,0.21,3.60,Substantial,TRUE,0.29,2.77,1.38,
District,characato,cayma,15.00,0.05,0.74,Negative,FALSE,0.00,2.77,1.38,
District,characato,ccolorado,66.00,0.06,0.88,Negative,FALSE,0.01,2.77,1.38,
District,characato,elpedregal,402.00,0.10,1.44,Weak,FALSE,0.04,2.77,1.38,
District,characato,hunter,165.00,0.07,1.02,Weak,FALSE,0.02,2.77,1.38,
District,characato,jlbyr,19.00,0.05,0.73,Negative,FALSE,0.00,2.77,1.38,
District,characato,miraflores,165.00,0.07,1.00,Weak,FALSE,0.02,2.77,1.38,
District,characato,mmelgar,2819.00,0.26,4.62,Substantial,TRUE,0.31,2.77,1.38,
District,characato,mollebaya,3768.00,0.27,4.83,Substantial,TRUE,0.42,2.77,1.38,
District,characato,paucarpata,2849.00,0.26,4.69,Substantial,TRUE,0.32,2.77,1.38,
District,characato,sachaca,121.00,0.07,1.00,Negative,FALSE,0.01,2.77,1.38,
District,characato,socabaya,1516.00,0.15,2.44,Weak,FALSE,0.17,2.77,1.38,
District,characato,uchumayo,65.00,0.06,0.82,Negative,FALSE,0.01,2.77,1.38,
District,characato,yura,192.00,0.06,0.89,Negative,FALSE,0.02,2.77,1.38,
District,elpedregal,asa,47.00,0.09,1.31,Weak,FALSE,0.01,0.40,0.20,
District,elpedregal,cayma,1.00,0.07,1.05,Weak,FALSE,0.00,0.40,0.20,
District,elpedregal,ccolorado,10.00,0.07,1.05,Weak,FALSE,0.00,0.40,0.20,
District,elpedregal,characato,79.00,0.07,1.06,Weak,FALSE,0.01,0.40,0.20,
District,elpedregal,hunter,14.00,0.07,1.05,Weak,FALSE,0.00,0.40,0.20,
District,elpedregal,jlbyr,6.00,0.08,1.11,Weak,FALSE,0.00,0.40,0.20,
District,elpedregal,miraflores,20.00,0.08,1.11,Weak,FALSE,0.00,0.40,0.20,
District,elpedregal,mmelgar,17.00,0.08,1.14,Weak,FALSE,0.00,0.40,0.20,
District,elpedregal,mollebaya,542.00,0.10,1.53,Weak,FALSE,0.06,0.40,0.20,
District,elpedregal,paucarpata,20.00,0.07,1.04,Weak,FALSE,0.00,0.40,0.20,
District,elpedregal,sachaca,23.00,0.08,1.16,Weak,FALSE,0.00,0.40,0.20,
District,elpedregal,socabaya,40.00,0.07,1.06,Weak,FALSE,0.00,0.40,0.20,
District,elpedregal,uchumayo,8.00,0.06,0.91,Negative,FALSE,0.00,0.40,0.20,
District,elpedregal,yura,12.00,0.08,1.19,Weak,FALSE,0.00,0.40,0.20,
District,hunter,asa,114.00,0.08,1.12,Weak,FALSE,0.01,1.67,0.83,
District,hunter,cayma,37.00,0.06,0.92,Negative,FALSE,0.00,1.67,0.83,
District,hunter,ccolorado,180.00,0.08,1.23,Weak,FALSE,0.02,1.67,0.83,
District,hunter,characato,156.00,0.08,1.19,Weak,FALSE,0.02,1.67,0.83,
