Trait,Name,Reward,Tree_length,%_persistence
district,asa,14.136,200.305,7.05723771
district,cayma,7.308,200.305,3.64843614
district,ccolorado,103.445,200.305,51.6437433
district,characato,2.765,200.305,1.3803949
district,elpedregal,0.396,200.305,0.19769851
district,hunter,1.667,200.305,0.83223085
district,jlbyr,3.588,200.305,1.79126832
district,miraflores,2.731,200.305,1.36342078
district,mmelgar,27.419,200.305,13.6886249
district,mollebaya,1.811,200.305,0.90412122
district,paucarpata,3.152,200.305,1.57360026
district,sachaca,0.585,200.305,0.29205462
district,socabaya,3.951,200.305,1.97249195
district,uchumayo,1.169,200.305,0.58361
district,yura,26.508,200.305,13.2338184
river,external,0.343,196.697,0.17437988
river,north,136.697,196.697,69.4962302
river,south,60.089,196.697,30.549017
urbanicity,external,0.348,203.201,0.171259
urbanicity,periurban,88.005,203.201,43.3093341
urbanicity,urban,115.258,203.201,56.7211776
