Trait,From,To,Full BF,DS1 BF,DS2 BF,Full MJ,DS1 MJ,DS2 MJ,Stable
District,asa,paucarpata,11.26,5.40,6.76,1.41,0.80,1.13,Sort of
District,yura,hunter,11.56,6.47,3.62,0.99,0.48,0.42,Sort of
District,ccolorado,uchumayo,11.68,17.95,4.88,0.57,0.75,0.36,Yes
District,mmelgar,paucarpata,15.34,23.04,16.49,1.35,1.64,1.29,Sort of
District,mmelgar,asa,17.33,9.98,7.30,1.32,1.34,1.46,Sort of
District,yura,paucarpata,17.77,31.57,10.67,0.98,1.10,0.66,Yes
District,yura,socabaya,18.87,13.74,3.90,1.75,1.52,0.61,Yes
District,mollebaya,elpedregal,47.16,58.74,38.77,0.77,0.81,0.75,Yes
District,asa,mmelgar,53.10,48.22,28.67,3.79,4.29,4.13,Yes
District,yura,ccolorado,57.29,2.27,11.63,3.66,0.24,2.53,No
District,asa,hunter,112.38,98.42,23.65,2.79,3.17,2.16,Yes
District,ccolorado,asa,142.70,22.97,37.11,7.03,5.12,6.52,Yes
District,asa,jlbyr,1036.22,337.57,84.54,4.69,4.42,4.40,Yes
District,ccolorado,cayma,1581.97,594.04,5.82,9.24,7.77,2.28,Yes
District,mmelgar,miraflores,1581.97,121.59,115.91,3.90,3.74,3.92,Yes
District,mmelgar,ccolorado,9957.10,77.07,138.16,3.98,3.95,3.89,Yes
District,ccolorado,yura,119631.39,393.66,39.34,19.61,8.72,8.77,Yes
River,external,north,0.58,0.55,,0.00,0.01,,
River,external,south,0.56,0.54,,0.00,0.00,,
River,north,external,0.17,0.18,,0.01,0.01,,
River,north,south,11050.89,11050.89,,12.57,11.94,,
River,south,external,268.34,104.03,,1.00,1.00,,
River,south,north,154.44,20.57,,4.25,5.70,,
Urbanicity,external,periurban,0.21,0.35,,0.00,0.00,,
Urbanicity,external,urban,0.22,0.35,,0.00,0.00,,
Urbanicity,periurban,external,41.61,48.56,,0.97,0.98,,
Urbanicity,periurban,urban,11050.89,2761.80,,11.93,8.37,,
Urbanicity,urban,external,0.09,0.13,,0.03,0.03,,
Urbanicity,urban,periurban,11050.89,11050.89,,44.87,25.28,,
