name,reward,tree_length,percent_time
asa,14.136,200.305,7.057237712
cayma,7.308,200.305,3.648436135
ccolorado,103.445,200.305,51.64374329
characato,2.765,200.305,1.380394898
elpedregal,0.396,200.305,0.19769851
hunter,1.667,200.305,0.832230848
jlbyr,3.588,200.305,1.791268316
miraflores,2.731,200.305,1.363420783
mmelgar,27.419,200.305,13.68862485
mollebaya,1.811,200.305,0.904121215
paucarpata,3.152,200.305,1.57360026
sachaca,0.585,200.305,0.292054617
socabaya,3.951,200.305,1.97249195
uchumayo,1.169,200.305,0.583609995
yura,26.508,200.305,13.23381843
