name,reward,tree_length,percent_time,
asa,20.001,173.46,11.53061224,
cayma,14.344,173.46,8.269341635,
ccolorado,73.362,173.46,42.29332411,
characato,3.591,173.46,2.070217918,
elpedregal,0.463,173.46,0.266920327,
hunter,2.654,173.46,1.530035743,
jlbyr,4.713,173.46,2.717052923,
miraflores,3.544,173.46,2.043122334,
mmelgar,20.986,173.46,12.09846651,
mollebaya,2.197,173.46,1.266574426,
paucarpata,3.011,173.46,1.735846881,
sachaca,0.642,173.46,0.370114147,
socabaya,4.937,173.46,2.846189323,
uchumayo,1.366,173.46,0.787501441,
yura,18.113,173.46,10.44217687,
