name,reward,tree_length,percent_time
asa,18.73,162.068,11.55687736
cayma,17.198,162.068,10.61159513
ccolorado,53.413,162.068,32.95715379
characato,3.588,162.068,2.21388553
elpedregal,0.523,162.068,0.32270405
hunter,2.767,162.068,1.707308044
jlbyr,4.67,162.068,2.881506528
miraflores,3.601,162.068,2.221906854
mmelgar,18.072,162.068,11.15087494
mollebaya,2.258,162.068,1.393242343
paucarpata,3.019,162.068,1.862798332
sachaca,1.032,162.068,0.636769751
socabaya,5.302,162.068,3.271466298
uchumayo,2.519,162.068,1.554285855
yura,25.951,162.068,16.01241454
