id,type,length,start_time,end_time,start_name,start_lat,start_lon,end_name,end_lat,end_lon
1,Internal,0.0,2012-10-06 05:04:53,2012-10-06 05:04:53,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
2,Internal,1.2821389912801493,2012-10-06 06:05:03,2014-01-17 11:18:36,north,-16.37212402,-71.53682922,south,-16.43125021,-71.53979485
3,Internal,0.9029721065878178,2014-01-17 10:16:48,2014-12-13 00:18:56,south,-16.43125021,-71.53979485,south,-16.43125021,-71.53979485
4,Internal,0.22783357398646054,2014-12-13 01:20:44,2015-03-06 05:10:04,south,-16.43125021,-71.53979485,south,-16.43125021,-71.53979485
5,External,0.8964757090555509,2015-03-06 05:08:06,2016-01-27 12:00:00,south,-16.43125021,-71.53979485,north,-16.37212402,-71.53682922
6,External,0.6829717042642152,2015-03-06 05:10:04,2015-11-10 12:00:00,south,-16.43125021,-71.53979485,south,-16.43125021,-71.53979485
7,Internal,0.558776690488715,2014-12-13 00:18:56,2015-07-04 23:11:58,south,-16.43125021,-71.53979485,south,-16.43125021,-71.53979485
8,External,0.6584287674158897,2015-07-05 00:11:48,2016-03-01 12:00:00,south,-16.43125021,-71.53979485,south,-16.43125021,-71.53979485
9,Internal,0.5926891993251999,2015-07-04 23:11:58,2016-02-06 09:32:37,south,-16.43125021,-71.53979485,south,-16.43125021,-71.53979485
10,External,1.170298292545235,2016-02-06 09:34:25,2017-04-09 10:59:59,south,-16.43125021,-71.53979485,north,-16.37212402,-71.53682922
11,External,0.45371771016849927,2016-02-06 09:32:37,2016-07-21 11:00:00,south,-16.43125021,-71.53979485,south,-16.43125021,-71.53979485
12,Internal,0.8016476675807773,2014-01-17 11:18:36,2014-11-06 01:44:37,south,-16.43125021,-71.53979485,south,-16.43125021,-71.53979485
13,External,0.37377355287346603,2014-11-06 01:44:37,2015-03-22 11:59:59,south,-16.43125021,-71.53979485,south,-16.43125021,-71.53979485
14,Internal,0.16197286311342296,2014-11-06 01:44:37,2015-01-04 04:37:33,south,-16.43125021,-71.53979485,south,-16.43125021,-71.53979485
