id,type,length,start_time,end_time,start_name,start_lat,start_lon,end_name,end_lat,end_lon
1,Internal,0.0,2013-01-05 07:09:21,2013-01-05 07:09:21,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
2,Internal,0.7905637466920084,2013-01-05 08:09:21,2013-10-20 21:29:39,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
3,External,2.3273314627551436,2013-10-20 21:27:41,2016-02-17 12:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
4,Internal,0.3617582697385995,2013-10-20 21:29:39,2014-03-01 22:29:48,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
5,Internal,0.8330229447486186,2014-03-01 21:28:00,2014-12-30 22:44:52,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
6,Internal,0.20264305296344887,2014-12-30 23:46:40,2015-03-14 22:55:51,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
7,External,0.8725301461243635,2015-03-14 22:53:53,2016-01-27 12:00:00,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
8,External,0.6590261413330278,2015-03-14 22:55:51,2015-11-10 12:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
9,Internal,0.5525706157810184,2014-12-30 22:44:52,2015-07-20 15:15:59,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
10,External,0.6154987581693856,2015-07-20 16:15:49,2016-03-01 12:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
11,Internal,0.6456544290180108,2015-07-20 15:15:59,2016-03-12 11:53:14,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
12,External,1.07440305360592,2016-03-12 11:55:03,2017-04-09 10:59:59,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
13,External,0.357822471229186,2016-03-12 11:53:14,2016-07-21 11:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
14,Internal,0.6449104912305152,2014-03-01 22:29:48,2014-10-23 07:54:45,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
15,External,0.41142548343032814,2014-10-23 07:54:45,2015-03-22 11:59:59,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
16,Internal,0.17321438999489658,2014-10-23 07:54:45,2014-12-25 13:16:14,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
17,Internal,0.11458612908208998,2014-12-25 13:16:14,2015-02-05 09:02:43,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
18,External,2.660611265722965,2015-02-05 08:02:43,2017-10-04 10:59:59,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
19,Internal,0.05752493578830986,2015-02-05 09:02:43,2015-02-26 08:57:49,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
20,External,0.7455520833598648,2015-02-26 08:57:49,2015-11-25 12:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
21,Internal,0.18170255365340005,2015-02-26 08:57:49,2015-05-03 16:40:41,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
22,External,0.5309728173779522,2015-05-03 16:40:41,2015-11-13 11:59:59,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
23,External,0.5830276118979842,2015-05-03 16:40:41,2015-12-02 12:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
24,Internal,0.3710799434989678,2014-12-25 13:16:14,2015-05-09 23:55:52,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
25,External,1.1042372207511377,2015-05-09 22:54:03,2016-06-16 11:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
26,Internal,0.6539902837791267,2015-05-09 23:55:52,2016-01-03 17:03:49,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
27,External,0.7289354615612993,2016-01-03 16:01:51,2016-09-26 10:59:59,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
28,Internal,0.38964722108262606,2016-01-03 17:03:49,2016-05-25 07:43:29,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
29,Internal,0.19774623884843479,2016-05-25 07:43:29,2016-08-05 16:43:40,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
30,External,0.5901309678705964,2016-08-05 16:43:40,2017-03-09 12:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
31,External,0.41204877609091817,2016-08-05 16:43:40,2017-01-03 11:59:59,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
32,Internal,0.7301085582529652,2016-05-25 07:43:29,2017-02-16 09:56:47,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
33,External,0.6248919361366596,2017-02-16 08:56:47,2017-10-02 10:59:59,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
34,Internal,0.2270165792552632,2017-02-16 09:56:47,2017-05-10 06:36:42,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
35,Internal,0.5629037748297776,2017-05-10 06:36:42,2017-12-01 17:38:56,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
36,External,0.39113596561291075,2017-12-01 16:38:56,2018-04-23 11:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
37,External,0.28976610259989766,2017-12-01 17:38:56,2018-03-17 11:59:59,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
38,Internal,0.15614669771761402,2017-05-10 06:36:42,2017-07-06 06:27:25,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
