Taxon	area	river	geo	district
10_2020_2020-01-15	periurban	north	C	yura
140_2020_2020-11-28	urban	north	C	yura
147_2022_2022-06-09	periurban	north	C	yura
16_2021_2021-01-18	periurban	north	C	yura
25_2020_2020-02-04	periurban	north	C	yura
291_2016_2016-06-11	urban	north	C	yura
320_2019_2019-10-20	periurban	north	C	yura
321_2023_2023-08-24	periurban	north	C	yura
375_2018_2018-10-08	urban	north	C	yura
41_2020_2020-02-10	periurban	north	C	yura
47_2019_2019-02-16	urban	north	C	yura
571_2016_2016-12-16	periurban	north	D	uchumayo
97_2017_2017-03-02	periurban	north	D	uchumayo
225_2023_2023-05-22	periurban	south	D	socabaya
240_2023_2023-05-22	urban	south	D	socabaya
270_2023_2023-06-14	periurban	south	D	socabaya
46_2017_2017-01-25	urban	south	D	socabaya
485_2016_2016-10-11	urban	north	D	sachaca
162_2024_2024-04-27	urban	south	E	paucarpata
175_2023_2023-04-20	periurban	south	E	paucarpata
42_2020_2020-02-06	urban	south	E	paucarpata
435_2018_2018-11-14	urban	south	E	paucarpata
103_2022_2022-04-15	periurban	south	E	mollebaya
232_2023_2023-05-24	periurban	south	E	mollebaya
183_2019_2019-06-13	periurban	south	G	mmelgar
183_2023_2023-04-26	urban	south	G	mmelgar
273_2023_2023-06-21	periurban	south	G	mmelgar
319_2017_2017-10-04	periurban	south	G	mmelgar
386_2016_2016-07-21	urban	south	G	mmelgar
41_2024_2024-02-02	periurban	south	G	mmelgar
696_2015_2015-11-10	urban	south	G	mmelgar
699_2015_2015-11-13	periurban	south	G	mmelgar
704_2015_2015-11-25	periurban	south	G	mmelgar
711_2015_2015-12-02	periurban	south	G	mmelgar
272_2019_2019-08-21	urban	south	F	miraflores
40_2025_2025-03-08	periurban	south	F	miraflores
69_2016_2016-03-01	urban	south	F	miraflores
73_2015_2015-03-22	urban	south	F	miraflores
9_2019_2019-01-17	urban	south	F	miraflores
162_2018_2018-04-23	urban	south	E	jlbyr
22_2018_2018-01-24	urban	south	E	jlbyr
348_2023_2023-10-06	urban	south	E	jlbyr
358_2023_2023-10-18	urban	south	E	jlbyr
468_2016_2016-09-26	urban	south	E	jlbyr
92_2018_2018-03-17	urban	south	E	jlbyr
93_2018_2018-03-20	urban	south	E	jlbyr
158_2022_2022-06-17	periurban	south	D	hunter
173_2022_2022-07-11	urban	south	D	hunter
2_2017_2017-01-03	periurban	south	D	hunter
69_2022_2022-03-21	periurban	south	D	hunter
219_2022_2022-08-20	periurban	south	E	characato
246_2022_2022-09-12	periurban	south	E	characato
286_2022_2022-10-13	periurban	south	E	characato
10_2021_2021-01-08	urban	north	B	ccolorado
100_2023_2023-03-13	urban	north	B	ccolorado
107_2018_2018-03-25	urban	north	B	ccolorado
112_2017_2017-04-09	urban	north	B	ccolorado
12_2017_2017-01-05	urban	north	B	ccolorado
151_2024_2024-04-13	periurban	north	B	ccolorado
166_2016_2016-04-21	periurban	north	B	ccolorado
201_2017_2017-06-12	urban	north	B	ccolorado
213_2021_2021-06-26	periurban	north	B	ccolorado
22_2016_2016-01-27	periurban	north	B	ccolorado
231_2021_2021-07-14	periurban	north	B	ccolorado
234_2016_2016-05-24	periurban	north	B	ccolorado
24_2019_2019-01-24	urban	north	B	ccolorado
247_2018_2018-05-30	periurban	north	B	ccolorado
275_2017_2017-08-13	periurban	north	B	ccolorado
357_2016_2016-07-09	urban	north	B	ccolorado
40_2021_2021-02-09	periurban	north	B	ccolorado
402_2017_2017-12-15	urban	north	B	ccolorado
44_2016_2016-02-17	urban	north	B	ccolorado
447_2018_2018-11-25	periurban	north	B	ccolorado
462_2016_2016-09-24	urban	north	B	ccolorado
480_2016_2016-10-07	urban	north	B	ccolorado
495_2016_2016-10-15	periurban	north	B	ccolorado
51_2018_2018-02-10	periurban	north	B	ccolorado
534_2016_2016-11-17	urban	north	B	ccolorado
56_2023_2023-02-15	periurban	north	B	ccolorado
88_2019_2019-03-16	periurban	north	B	ccolorado
89_2018_2018-03-10	periurban	north	B	ccolorado
131_2019_2019-04-26	periurban	north	A	cayma
145_2017_2017-04-13	periurban	north	A	cayma
172_2022_2022-07-07	periurban	north	A	cayma
23_2020_2020-01-31	periurban	north	A	cayma
240_2019_2019-08-06	periurban	north	A	cayma
272_2017_2017-08-10	urban	north	A	cayma
336_2019_2019-10-29	periurban	north	A	cayma
46_2019_2019-02-13	urban	north	A	cayma
48_2019_2019-02-15	urban	north	A	cayma
101_2017_2017-03-09	urban	south	F	asa
114_2015_2015-04-03	urban	south	F	asa
182_2019_2019-06-11	urban	south	F	asa
218_2023_2023-05-23	urban	south	F	asa
279_2017_2017-08-20	urban	south	F	asa
298_2017_2017-09-14	urban	south	F	asa
302_2016_2016-06-16	urban	south	F	asa
315_2017_2017-10-02	periurban	south	F	asa
4_2023_2023-01-06	periurban	south	F	asa
236_2022_2022-09-04	external	external	H	elpedregal
