"","year","n_seqs","cumulative_mean","cumulative_lower","cumulative_upper","annual_mean","annual_lower","annual_upper","annual_p_mean","annual_p_upper","annual_p_lower"
"1",2015,10,2549.65790844719,1359.95656549708,8996.4856962725,2549.65790844719,1359.95656549708,8996.4856962725,0.00392209479039103,0.00735317601584198,0.00111154514524969
"2",2016,23,5958.64260312374,3215.12057754847,19886.3424672935,3408.98469467655,1855.16401205138,10889.856771021,0.00674687687390227,0.0123978256642481,0.00211205716324987
"3",2017,22,7946.91133282089,4326.32166472674,25397.7144166339,1988.26872969715,1111.20108717828,5511.37194934041,0.0110649026821194,0.0197983967563113,0.00399174655643282
"4",2018,18,10311.9260777451,5618.44770960939,32801.5980911508,2365.01474492416,1292.12604488265,7403.88367451688,0.00761094620599382,0.0139305295108689,0.00243115651073145
"5",2019,19,13518.3380443081,7354.84492045633,43353.9284625452,3206.41196656307,1736.39721084694,10552.3303713944,0.00592562658764212,0.0109421967976628,0.00180055014686668
"6",2020,7,15816.5910305396,8576.64352484895,51582.9045617369,2298.25298623149,1221.79860439262,8228.97609919171,0.00304579175658033,0.00572925846766687,0.000850652610436866
"7",2021,14,17533.8503221793,9519.53114898599,56854.9256869055,1717.2592916397,942.887624137034,5272.02112516853,0.00815252540379752,0.0148480048328276,0.00265552805415826
"8",2022,13,20397.649715727,11055.020906274,66694.6548055432,2863.79939354766,1535.48975728805,9839.72911863776,0.00453942410536503,0.00846635409861692,0.00132117458146041
"9",2023,17,26403.4008778261,14233.4342020318,88474.2222700016,6005.75116209917,3178.41329575774,21779.5674644584,0.00283062010748678,0.00534858069675523,0.000780548099852851
"10",2024,4,28881.2146662026,15533.3198680135,97835.2160753286,2477.81378837643,1299.88566598175,9360.993805327,0.00161432631409359,0.00307719371378633,0.000427305057901411
"11",2025,1,28822.8535919669,15506.7973302322,97489.9962053843,-58.3610742356723,-26.5225377813331,-345.219869944296,-0.0171347085895271,-0.0377037826562665,-0.00289670464264226
