"","year","n_seqs","cumulative_mean","cumulative_lower","cumulative_upper","annual_mean","annual_lower","annual_upper","annual_p_mean","annual_p_upper","annual_p_lower"
"1",2015,10,2538.15152308604,1349.29044642537,9290.99679053414,2538.15152308604,1349.29044642537,9290.99679053414,0.00393987510558132,0.00741130275285996,0.00107631077972045
"2",2016,23,5961.58214486498,3214.65721631178,20646.2757134129,3423.43062177893,1865.36676988641,11355.2789228787,0.00671840692598829,0.0123300148642621,0.0020254896560629
"3",2017,22,7964.67209095292,4315.62418615891,26003.6571132284,2003.08994608794,1100.96696984713,5357.38139981557,0.0109830315123723,0.0199824341715308,0.0041064838132968
"4",2018,18,10360.6761617697,5636.39820479283,32783.9419322168,2396.00407081674,1320.77401863392,6780.2848189884,0.00751250810432231,0.01362837226206,0.00265475573379903
"5",2019,19,13487.9171346933,7403.05268920139,43767.9485004803,3127.24097292362,1766.65448440856,10984.0065682635,0.00607564308747117,0.0107547911420613,0.00172978774929882
"6",2020,7,15947.9725484029,8519.6423923332,49347.5335657871,2460.05541370962,1116.58970313181,5579.58506530677,0.00284546435864403,0.00626908879812022,0.00125457357815462
"7",2021,14,17391.8574976399,9555.54510571922,58145.1716468734,1443.88494923698,1035.90271338603,8797.63808108627,0.00969606339299977,0.013514782632665,0.00159133620535017
"8",2022,13,20159.2186286687,10890.8907988113,70676.013672285,2767.36113102884,1335.34569309211,12530.8420254116,0.00469761602641535,0.0097353067952744,0.00103744025929279
"9",2023,17,26318.6234545899,14040.4694656106,93715.7137147721,6159.40482592123,3149.57866679928,23039.7000424871,0.00276000692931519,0.00539754735425487,0.000737856828372358
"10",2024,4,28758.9659424777,15396.7220372624,99245.9283148703,2440.34248788773,1356.2525716518,5530.21460009819,0.00163911418985384,0.00294930316344274,0.000723299236873915
"11",2025,1,28654.8006279822,15350.7015094501,98817.8156441813,-104.165314495451,-46.0205278123358,-428.112670688992,-0.0096001246177169,-0.0217294335275301,-0.00233583369160887
