time	diffusion_coefficient	number_of_branches
2011.80464594572	0.64815497901729	0.16
2012.49056153825	3.28881563484104	0.86
2013.17647713078	4.53252093371007	3.35
2013.8623927233	6.95819532612651	9.51
2014.54830831583	2.62411056318984	22.35
2015.23422390836	2.17640305874814	50.42
2015.92013950089	3.36211851213044	70.34
2016.60605509341	6.6802634721099	68.95
2017.29197068594	5.07003087017003	64.64
2017.97788627847	4.29473128152455	63.88
2018.66380187099	3.32601724828861	48.28
2019.34971746352	7.77579459875938	31.7
2020.03563305605	9.30618814131745	28.89
2020.72154864857	7.41390365163332	37.26
2021.4074642411	9.54556263171804	49.6
2022.09337983363	68.6492865368378	41.87
2022.77929542616	35.6180699391841	35.07
2023.46521101868	3.5010816582118	25.02
2024.15112661121	1.3319471619509	6.58
2024.83704220374	0.437273495727104	1
