"GID_3","GID_0","COUNTRY","GID_1","NAME_1","NL_NAME_1","GID_2","NAME_2","NL_NAME_2","NAME_3","VARNAME_3","NL_NAME_3","TYPE_3","ENGTYPE_3","CC_3","HASC_3","X","Y"
"PER.4.1.1_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Alto Selva Alegre",NA,NA,"Distrito","District",NA,NA,-71.4980287484537,-16.3379722970417
"PER.4.1.2_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Arequipa",NA,NA,"Distrito","District",NA,NA,-71.5336629366956,-16.4041095608749
"PER.4.1.3_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Cayma",NA,NA,"Distrito","District",NA,NA,-71.4605513624781,-16.2794687331864
"PER.4.1.4_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Cerro Colorado",NA,NA,"Distrito","District",NA,NA,-71.5734195877373,-16.2987707600153
"PER.4.1.5_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Characato",NA,NA,"Distrito","District",NA,NA,-71.3602982192123,-16.4489253963162
"PER.4.1.6_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Chiguata",NA,NA,"Distrito","District",NA,NA,-71.2830301293059,-16.346863841665
"PER.4.1.7_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Jacobo Hunter",NA,NA,"Distrito","District",NA,NA,-71.5685788912052,-16.4588049335953
"PER.4.1.8_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Jose Luis Bustamante Y Rivero",NA,NA,"Distrito","District",NA,NA,-71.5280693780236,-16.4328564902946
"PER.4.1.11_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Mariano Melgar",NA,NA,"Distrito","District",NA,NA,-71.4528409471941,-16.3654809314645
"PER.4.1.12_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Miraflores",NA,NA,"Distrito","District",NA,NA,-71.4623278582475,-16.3492131800754
"PER.4.1.13_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Mollebaya",NA,NA,"Distrito","District",NA,NA,-71.4756336098471,-16.5051828582991
"PER.4.1.14_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Paucarpata",NA,NA,"Distrito","District",NA,NA,-71.4754128899232,-16.4202590073345
"PER.4.1.16_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Polobaya",NA,NA,"Distrito","District",NA,NA,-71.3550550133054,-16.6232287997507
"PER.4.1.17_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Quequeña",NA,NA,"Distrito","District",NA,NA,-71.4481227492477,-16.5434080575987
"PER.4.1.18_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Sabandia",NA,NA,"Distrito","District",NA,NA,-71.4584728895878,-16.452052310904
"PER.4.1.19_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Sachaca",NA,NA,"Distrito","District",NA,NA,-71.573027612621,-16.4253873864814
"PER.4.1.24_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Socabaya",NA,NA,"Distrito","District",NA,NA,-71.5378862359449,-16.4704693875266
"PER.4.1.25_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Tiabaya",NA,NA,"Distrito","District",NA,NA,-71.6046279478278,-16.4635986332333
"PER.4.1.26_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Uchumayo",NA,NA,"Distrito","District",NA,NA,-71.6926299337933,-16.4625252930641
"PER.4.1.28_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Yanahuara",NA,NA,"Distrito","District",NA,NA,-71.5418017096439,-16.3906040367504
"PER.4.1.29_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Yarabamba",NA,NA,"Distrito","District",NA,NA,-71.5468854400606,-16.6290961336096
"PER.4.1.30_1","PER","Peru","PER.4_1","Arequipa",NA,"PER.4.1_1","Arequipa",NA,"Yura",NA,NA,"Distrito","District",NA,NA,-71.6135291085542,-16.1597060498021
"PER.10.4.6_1","PER","Peru","PER.10_1","Huánuco",NA,"PER.10.4_1","Huamalíes",NA,"Miraflores",NA,NA,"Distrito","District",NA,NA,-76.8940229829518,-9.43731343299346
"PER.16.9.20_1","PER","Peru","PER.16_1","Lima",NA,"PER.16.9_1","Yauyos",NA,"Miraflores",NA,NA,"Distrito","District",NA,NA,-75.8923788094379,-12.2157264524034
"PER.15.1.22_1","PER","Peru","PER.15_1","Lima Province",NA,"PER.15.1_1","Lima",NA,"Miraflores",NA,NA,"Distrito","District",NA,NA,-77.0254002595491,-12.1229847143478
