"Longitude","Latitude","Loc_ID"
-71.4857787333125,-16.3311843515119,"A.S.A."
-71.5370401285313,-16.40675656388,"AREQUIPA"
-71.57705912347,-16.3047038276382,"C. COLORADO"
-71.4572091721246,-16.2488066914629,"CAYMA"
-71.3854850919049,-16.4587204928902,"CHARACATO"
-71.2946495137463,-16.3544769750031,"CHIGUATA"
-71.5634451389606,-16.4596387096176,"HUNTER"
-71.5222115110398,-16.4327611981885,"J. L. B Y R"
-71.13511660701,-16.3702412579711,"L. LORISCOTA"
-71.7941029902565,-16.5898367110688,"LA JOYA"
-71.4659664376366,-16.3803982568951,"M. MELGAR"
-71.4771725534177,-16.3625777233199,"MIRAFLORES"
-71.472524067645,-16.5034602186787,"MOLLEBAYA"
-71.4754021737766,-16.4197150970292,"PAUCARPATA"
-71.3321642821029,-16.4986221106593,"POCSI"
-71.3582113674669,-16.6426670889981,"POLOBAYA"
-71.4436627232316,-16.5439800882411,"QUEQUEÑA"
-72.1516980808237,-16.2465756473545,"S.I. de Siguas"
-72.1584455663677,-16.4182695025574,"S.J. Siguas"
-71.0844436769335,-16.1803295558017,"S.J. Tarucani"
-72.1461524393108,-16.5377385087491,"S.R. de Siguas"
-71.460690527433,-16.4484298999468,"SABANDIA"
-71.5799350932842,-16.4201067633708,"SACHACA"
-71.5359260680939,-16.4731909722601,"SOCABAYA"
-71.5984716958123,-16.4639908187215,"TIABAYA"
-71.6903902317921,-16.4606661186986,"UCHUMAYO"
-71.9874691746962,-16.4894451590444,"VITOR"
-71.5477857845589,-16.3940135917615,"YANAHUARA"
-71.5486383458574,-16.6137778658661,"YARABAMBA"
-71.6067623879089,-16.13116044208,"YURA"
