sequenced.,ID_MUESTRA,year,X,case_regional,case_local,district,locality,dog_status,complaint_date,symptom_date,kill_date,sample_date,ship_date,contain_date,infectious_period,noncontained_period,lon,lat,x_utm,y_utm,X.1,best_date,species
Y,202,2021,202_2021,Caso041,NA,PEDREGAL,LOS MOLLES,CON DUENHO,6/14/21,10/6/21,14/06/21,14/06/21,15/06/21,17/06/21,4,7,-72.20092481,-16.3489947,799117.5441,8190438.856,NA,10-Jun-21,LIVESTOCK
Y,250,2021,250_2021,Caso048,NA,PEDREGAL,PEDREGAL SUR II ETAPA,SIN DUENHO,8/9/21,9/8/21,10/8/21,10/8/21,11/8/21,12/8/21,1,3,-72.19833388,-16.38321775,799342.2911,8186645.505,NA,9-Aug-21,LIVESTOCK
Y,236,2022,236_2022,Caso028,NA,PEDREGAL,NA,CON DUENHO,9/7/22,4/9/22,7/9/22,7/9/22,7/9/22,8/9/22,3,4,-72.19504,-16.335434,799767.4034,8191931.773,NA,4-Sep-22,DOG
Y,147,2021,147_2021,Caso035,NA,PEDREGAL,CIUDAD MAJES,CON DUEÑO,4/18/21,12/4/21,18/04/21,19/04/21,20/04/21,22/04/21,6,10,-72.18179114,-16.32494862,801200.0496,8193073.269,NA,12-Apr-21,DOG
Y,71,2021,71_2021,Caso020,NA,PEDREGAL,NA,NA,3/5/21,5/3/21,6/3/21,6/3/21,8/3/21,8/3/21,1,3,-72.180824,-16.310675,801325.33,8194652.378,NA,5-Mar-21,DOG
Y,52,2021,52_2021,Caso016,NA,PEDREGAL,CIUDAD MAJES MODULO B,NA,2/24/21,22/02/21,24/02/21,24/02/21,25/02/21,27/02/21,2,5,-72.18033884,-16.3277413,801351.0575,8192761.882,NA,22-Feb-21,DOG
Y,34,2021,34_2021,Caso014,NA,PEDREGAL,CIUDAD MAJES MODULO E SECTOR 2,NA,2/9/21,5/2/21,10/2/21,11/2/21,11/2/21,12/2/21,5,7,-72.17833375,-16.32003749,801577.2704,8193611.969,NA,5-Feb-21,DOG
Y,73,2021,73_2021,Caso021,NA,PEDREGAL,LA COLINA,NA,3/6/21,5/3/21,6/3/21,6/3/21,6/3/21,6/3/21,1,1,-72.17603,-16.333763,801802.5342,8192088.702,NA,5-Mar-21,DOG
Y,107,2021,107_2021,Caso029,NA,PEDREGAL,NA,NA,3/20/21,18/03/21,20/03/21,20/03/21,22/03/21,23/03/21,2,5,-72.17553218,-16.30828596,801894.8752,8194909.088,NA,18-Mar-21,DOG
Y,68,2021,68_2021,Caso019,NA,PEDREGAL,NUEVO HORIZONTE EL BOSQUE,NA,3/3/21,26/02/21,3/3/21,3/3/21,3/3/21,5/3/21,5,7,-72.17536,-16.307302,801914.797,8195017.788,NA,26-Feb-21,DOG
Y,251,2021,251_2021,Caso049,NA,PEDREGAL,LA GRANJA EL PARAISO,CON DUENHO,8/10/21,9/8/21,9/8/21,10/8/21,11/8/21,12/8/21,0,3,-72.17306338,-16.31916435,802142.1722,8193700.841,NA,9-Aug-21,DOG
Y,16,2021,16_2021,Caso007,NA,YURA,CIUDAD DE DIOS,CON DUENHO,1/24/21,18/01/21,24/01/21,24/01/21,25/01/21,25/01/21,6,7,-71.65079812,-16.30894284,858018.2404,8193986.409,NA,18-Jan-21,DOG
Y,321,2023,321_2023,Caso024,NA,YURA,Asociación Bellavista - Las Ardillas Zona 1 J -9,CON DUENHO,8/25/23,24/08/23,26/08/23,26/08/23,28/08/23,26/08/23,2,2,-71.64627,-16.309694,858501.2939,8193895.231,NA,24-Aug-23,DOG
Y,147,2022,147_2022,Caso015,NA,YURA,LAS PERLAS,CON DUENHO,6/10/22,9/6/22,10/6/22,10/6/22,10/6/22,11/6/22,1,2,-71.64023135,-16.28942697,859184.3075,8196129.757,NA,9-Jun-22,DOG
Y,225,2017,225_2017,Caso029,NA,YURA,RESIDENTES PUNO,NA,7/2/17,30/06/17,3/7/17,3/7/17,3/7/17,3/7/17,3,3,-71.63782737,-16.3095575,859404.746,8193895.469,NA,30-Jun-17,DOG
Y,61,2021,61_2021,Caso018,NA,CERRO COLORADO,LAS LOMAS,NA,2/28/21,24/02/21,28/02/21,1/3/21,1/3/21,3/3/21,4,7,-71.63603084,-16.36436253,859496.5592,8187821.003,NA,24-Feb-21,DOG
Y,25,2020,25_2020,Caso003,NA,YURA,NA,CON DUENHO,2/4/20,NA,4/2/20,4/2/20,4/2/20,5/2/20,NA,NA,-71.63416176,-16.30158003,859811.4918,8194772.74,NA,4-Feb-20,DOG
Y,56,2021,56_2021,Caso017,NA,CERRO COLORADO,PROFAN 1RA ETAPA,NA,2/26/21,25/02/21,26/02/21,27/02/21,27/02/21,1/3/21,1,4,-71.63340684,-16.311133,859874.779,8193713.129,NA,25-Feb-21,DOG
Y,30,2023,30_2023,Caso003,NA,YURA,CIUDAD DE DIOS PROFAM MZ 3 LT 3,CON DUENHO,2/7/23,3/2/23,7/2/23,7/2/23,7/2/23,9/2/23,4,6,-71.62962094,-16.31970472,860264.09,8192756.855,NA,3-Feb-23,DOG
Y,209,2018,209_2018,Caso025,NA,YURA,NA,NS,NA,NA,16/05/18,18/05/18,18/05/18,18/05/18,NA,NA,-71.6272,-16.307352,860545.728,8194121.009,NA,16-May-18,DOG
Y,374,2018,374_2018,Caso037,NA,YURA,CIUDAD DE DIOS,NA,NA,NA,6/10/18,8/10/18,9/10/18,11/10/18,NA,NA,-71.627045,-16.293726,860587.2809,8195630.23,NA,6-Oct-18,DOG
Y,152,2023,152_2023,Caso009,NA,YURA,ASOCIACION DE VIVIENDASEL ALTIPLANO MZF LT 4,CON DUENHO,4/1/23,31/03/23,1/4/23,3/4/23,3/4/23,3/4/23,1,3,-71.62690187,-16.30825707,860575.9633,8194020.217,NA,31-Mar-23,DOG
Y,244,2019,244_2019,Caso023,NA,YURA,NA,NS,8/7/19,30/07/19,7/8/19,7/8/19,8/8/19,14/08/19,8,15,-71.62578761,-16.29681517,860716.1498,8195285.785,NA,30-Jul-19,DOG
Y,236,2019,236_2019,Caso020,NA,YURA,NA,NA,NA,NA,1/8/19,1/8/19,2/8/19,31/07/19,NA,NA,-71.62386,-16.328714,860863.8294,8191748.591,NA,1-Aug-19,DOG
Y,227,2019,227_2019,Caso019,NA,YURA,NA,CON DUENHO,7/23/19,NA,24/07/19,24/07/19,25/07/19,26/07/19,NA,NA,-71.6234298,-16.32870047,860909.8737,8191749.326,NA,24-Jul-19,DOG
Y,30,2021,30_2021,Caso013,NA,YURA,COMITE 7,NA,2/5/21,4/2/21,5/2/21,7/2/21,8/2/21,9/2/21,1,5,-71.6234,-16.293974,860976.81,8195596.305,NA,4-Feb-21,DOG
Y,280,2022,280_2022,Caso034,NA,CERRO COLORADO,MARISCAL CASTILLA,CON DUENHO,10/13/22,8/10/22,12/10/22,13/10/22,13/10/22,17/10/22,4,9,-71.62308263,-16.37918904,860854.0839,8186155.523,NA,8-Oct-22,DOG
