Taxon	ID	district	sequenced.	ID_MUESTRA	year	country	case_regional	case_local	locality	dog_status	complaint_date	symptom_date	kill_date	sample_date	ship_date	contain_date	infectious_period	noncontained_period	lon	lat	x_utm	y_utm	X.1	best_date	species
182_2019_11-Jun-19	182_2019	asa	Y	182	2019	Peru	Caso015	NA	NA	NA	6/13/19	11/6/19	13/06/19	13/06/19	13/06/19	14/06/19	2	3	-71.526245	-16.373264	871222.0484	8186637.156	NA	11-Jun-19	DOG
114_2015_3-Apr-15	114_2015	asa	Y	114	2015	Peru	6	NA	INDEPENDENCIA ZONA B	CON DUENHO	NA	3/4/15	7/4/15	7/4/15	8/4/15	NA	4	NA	-71.52094741	-16.36856114	871797.5933	8187148.49	NA	3-Apr-15	DOG
302_2016_16-Jun-16	302_2016	asa	Y	302	2016	Peru		NA	VILLA INDEPENDIENTE C 9		NA	NA	NA	16/06/16	16/06/16	NA	NA	NA	-71.5193246	-16.36897699	NA	NA	NA	16-Jun-16	DOG
101_2017_9-Mar-17	101_2017	asa	Y	101	2017	Peru	Caso014	NA	VILLA INDEPENDIENTE MZ Ñ CMTE IV ZN B		NA	NA	NA	9/3/17	10/3/17	NA	NA	NA	-71.52116468	-16.36891794	NA	NA	NA	9-Mar-17	DOG
279_2017_20-Aug-17	279_2017	asa	Y	279	2017	Peru	Caso035	NA	LETICIA 602		NA	NA	NA	20/08/17	21/08/17	NA	NA	NA	-71.51478562	-16.37336654	NA	NA	NA	20-Aug-17	DOG
298_2017_14-Sep-17	298_2017	asa	Y	298	2017	Peru	Caso037	NA	APURIMAC V 9		NA	NA	NA	14/09/17	15/09/17	NA	NA	NA	-71.51095321	-16.36917267	NA	NA	NA	14-Sep-17	DOG
315_2017_2-Oct-17	315_2017	asa	Y	315	2017	Peru	Caso040	NA	CANTERAS ASA		NA	NA	NA	2/10/17	2/10/17	NA	NA	NA	-71.52693936	-16.34398399	NA	NA	NA	2-Oct-17	DOG
218_2023_23-May-23	218_2023	asa	Y	218	2023	Peru	Caso014	NA	Villa Unión A-4	CON DUENHO	5/23/23	NA	23/05/23	23/05/23	23/05/23	25/05/23	NA	NA	-71.51012145	-16.36792002	NA	NA	NA	23-May-23	DOG
4_2023_6-Jan-23	4_2023	asa	Y	4	2023	Peru	Caso001	NA	VILLA CONFRATERNIDAD AGRUPAMIENTO FAMILIAR ZC C MZ 3  LT 10	SIN DUENHO	1/7/23	6/1/23	7/1/23	7/1/23	9/1/23	11/1/23	NA	NA	-71.524679	-16.3512505	NA	NA	NA	6-Jan-23	DOG
48_2019_15-Feb-19	48_2019	cayma	Y	48	2019	Peru	Caso007	NA	NA	NS	NA	NA	15/02/19	16/02/19	18/02/19	NA	NA	NA	-71.55114	-16.339685	868622.5143	8190402.716	NA	15-Feb-19	DOG
46_2019_13-Feb-19	46_2019	cayma	Y	46	2019	Peru	Caso005	NA	NA	CON DUENHO	NA	NA	13/02/19	14/02/19	14/02/19	19/02/19	NA	NA	-71.54350258	-16.35595102	869408.8801	8188586.752	NA	13-Feb-19	DOG
240_2019_6-Aug-19	240_2019	cayma	Y	240	2019	Peru	Caso021	NA	NA	NA	8/6/19	6/8/19	6/8/19	6/8/19	7/8/19	8/8/19	0	2	-71.53282426	-16.32087619	870617.3249	8192453.234	NA	6-Aug-19	DOG
145_2017_13-Apr-17	145_2017	cayma	Y	145	2017	Peru	Caso019	NA	CABRERIAS	NA	4/15/17	13/04/17	15/04/17	15/04/17	17/04/17	19/04/17	2	6	-71.5314321	-16.30212347	870801.6339	8194528.311	NA	13-Apr-17	DOG
131_2019_26-Apr-19	131_2019	cayma	Y	131	2019	Peru	Caso014	NA	NA	NS	NA	NA	26/04/19	26/04/19	29/04/19	29/04/19	NA	NA	-71.5287674	-16.29254743	871104.8056	8195584.389	NA	26-Apr-19	DOG
172_2022_7-Jul-22	172_2022	cayma	Y	172	2022	Peru	Caso019	NA	PIONEROS ZONA A	CON DUENHO	7/7/22	7/7/22	7/7/22	8/7/22	11/7/22	14/07/22	0	7	-71.525222	-16.30329	871463.8873	8194387.756	NA	7-Jul-22	DOG
