taxon	lon	lat	district	ID_MUESTRA	year	case_regional	case_local	locality	dog_status	contain_date	infectious_period	noncontained_period	best_date	species	lon	lat			
10_2020_15-Jan-20	-71.62229	-16.31943	yura	10	2020	Caso001	NA	J. A QUIÑONES SECTOR VILLA QUIÑONES KM 14 MZ 38 LT 3 ZN 1 1RA ETAPA	CON DUENHO	22/01/20	NA	NA	15-Jan-20	DOG	-70.1019	-15.2557			
10_2021_8-Jan-21	-71.584953	-16.349799	ccolorado	10	2021	Caso004	NA	AV INSUSTRIAL		15/01/21	NA	NA	8-Jan-21	DOG	-70.1018	-15.2419			
100_2023_13-Mar-23	-71.576738	-16.368006	ccolorado	100	2023	Caso008	NA	VIA DE EVITAMIENTO  KM 4.5	CON DUENHO	15/03/23	1	2	13-Mar-23	DOG	-70.11214	-15.695499			
101_2017_9-Mar-17	-71.521165	-16.368918	asa	101	2017	Caso014	NA	VILLA INDEPENDIENTE MZ Ñ CMTE IV ZN B		NA	NA	NA	9-Mar-17	DOG	-71.62229	-16.31943			
103_2022_15-Apr-22	-71.513204	-16.491966	mollebaya	103	2022	Caso010	NA	ASOC HUERTO DEL EDEN	CON DUENHO	19/04/22	1	4	15-Apr-22	DOG	-71.584953	-16.349799			
107_2018_25-Mar-18	-71.56632	-16.35346	ccolorado	107	2018	Caso015	6	MARIO VARGAS LLOSA	CON DUENHO	NA	NA	NA	25-Mar-18	DOG	-71.576738	-16.368006			
107_2021_18-Mar-21	-72.175532	-16.308286	pedregal	107	2021	Caso029	NA	NA	NA	23/03/21	2	5	18-Mar-21	DOG	-71.521165	-16.368918			
1101786_2011_26-Feb-11	-70.1019	-15.2557	puno	NA	2011		NA	SAN PEDRO		NA	NA	NA	26-Feb-11	LIVESTOCK	-71.513204	-16.491966			
1101787_2011_3-Mar-11	-70.1018	-15.2419	puno	NA	2011		NA	C AN SEBASTIAN		NA		NA	3-Mar-11	LIVESTOCK	-71.56632	-16.35346			
112_2017_9-Apr-17	-71.583058	-16.326129	ccolorado	112	2017	Caso017	10	CIUDAD MUNICIPAL	CON DUENHO	NA	1	NA	9-Apr-17	CAT	-72.175532	-16.308286			
114_2015_3-Apr-15	-71.520947	-16.368561	asa	114	2015	6	NA	INDEPENDENCIA ZONA B	CON DUENHO	NA	4	NA	3-Apr-15	DOG	-71.583058	-16.326129			
12_2017_5-Jan-17	-71.5816	-16.348183	ccolorado	12	2017	Caso003	2	VIA EVITAMIENTO	CON DUENHO	10/1/17	1	5	5-Jan-17	DOG	-71.520947	-16.368561			
1203037_2012_8-May-12	-70.11214	-15.695499	puno	NA	2012		NA	CC TICANIPAMPA		NA		NA	8-May-12	LIVESTOCK	-71.5816	-16.348183			
121_2019_20-Apr-19	-71.54525	-16.316534	ccolorado	121	2019	Caso012	NA	NA	NA	24/04/19	3	4	20-Apr-19	CAT	-71.54525	-16.316534			
126_2021_29-Mar-21	-71.546422	-16.313365	ccolorado	126	2021	Caso032	NA	VILLA CERRILLOS	NA	3/4/21	2	5	29-Mar-21	DOG	-71.546422	-16.313365			
130_2016_4-Apr-16	-71.582786	-16.316522	ccolorado	130	2016	13	5	VILLA CERRILLOS	NA	7/4/16	1	3	4-Apr-16	DOG	-71.582786	-16.316522			
131_2019_26-Apr-19	-71.528767	-16.292547	cayma	131	2019	Caso014	NA	NA	NS	29/04/19	NA	NA	26-Apr-19	DOG	-71.528767	-16.292547			
140_2018_6-Apr-18	-71.61238	-16.345425	ccolorado	140	2018	Caso018	7	JLBYR SECTOR 9	SIN DUENHO	17/04/18	8	11	6-Apr-18	DOG	-71.61238	-16.345425			
140_2020_28-Nov-20	-71.616081	-16.302902	yura	140	2020	Caso017	NA	NA	NA	4/12/20	2	6	28-Nov-20	DOG	-71.616081	-16.302902			
145_2017_13-Apr-17	-71.531432	-16.302123	cayma	145	2017	Caso019	NA	CABRERIAS	NA	19/04/17	2	6	13-Apr-17	DOG	-71.531432	-16.302123			
145_2022_6-Jun-22	-71.606472	-16.339641	ccolorado	145	2022	Caso014	NA	JLByR SECTOR 5	SIN DUENHO	11/6/22	2	5	6-Jun-22	DOG	-71.606472	-16.339641			
146_2021_20-Apr-21	-71.594948	-16.328681	ccolorado	146	2021	Caso034	NA	VILLA  AVIACION		22/04/21	NA	NA	20-Apr-21	DOG	-71.594948	-16.328681			
147_2021_12-Apr-21	-72.181791	-16.324949	pedregal	147	2021	Caso035	NA	CIUDAD MAJES	CON DUE√ëO	22/04/21	6	10	12-Apr-21	DOG	-72.181791	-16.324949			
147_2022_9-Jun-22	-71.640231	-16.289427	yura	147	2022	Caso015	NA	LAS PERLAS	CON DUENHO	11/6/22	1	2	9-Jun-22	DOG	-71.640231	-16.289427			
149_2020_17-Dec-20	-71.572472	-16.33256	ccolorado	149	2020	Caso021	NA	NA	NA	21/12/20	3	4	17-Dec-20	DOG	-71.572472	-16.33256			
15_2021_22-Jan-21	-71.597225	-16.315417	ccolorado	15	2021	Caso008	NA	GRANJEROS UNIDOS	CON DUENHO	26/01/21	NA	NA	22-Jan-21	DOG	-71.597225	-16.315417			
151_2024_13-Apr-24	-71.563368	-16.320437	ccolorado	151	2024	Caso003	NA	Las Gardenias	CON DUENHO	18/04/24	0	5	13-Apr-24	DOG	-71.563368	-16.320437			
152_2023_31-Mar-23	-71.626902	-16.308257	yura	152	2023	Caso009	NA	ASOCIACION DE VIVIENDASEL ALTIPLANO MZF LT 4	CON DUENHO	3/4/23	1	3	31-Mar-23	DOG	-71.626902	-16.308257			
158_2022_17-Jun-22	-71.576484	-16.45533	hunter	158	2022	Caso017	NA	TINGO GRANDE	CON DUENHO	24/06/22	4	7	17-Jun-22	DOG	-71.576484	-16.45533			
159_2017_28-Apr-17	-71.49068	-16.394381	mmelgar	159	2017	Caso020	NA	AAHH MIRADOR MZ C LT 12		NA	NA	NA	28-Apr-17	DOG	-71.49068	-16.394381			
16_2021_18-Jan-21	-71.650798	-16.308943	yura	16	2021	Caso007	NA	CIUDAD DE DIOS	CON DUENHO	25/01/21	6	7	18-Jan-21	DOG	-71.650798	-16.308943			
162_2018_23-Apr-18	-71.539085	-16.447126	jlbyr	162	2018	Caso022	NA	CENTRO CANINO		NA	NA	NA	23-Apr-18	DOG	-71.539085	-16.447126			
162_2024_27-Apr-24	-71.51038	-16.419827	paucarpata	162	2024	Caso004	NA	Villa Maria el Triunfo	SIN DUENHO	3/5/24	2	6	27-Apr-24	DOG	-71.51038	-16.419827			
166_2016_21-Apr-16	-71.550783	-16.314332	ccolorado	166	2016	NA	8	JOSE MARIA ARGUEDAS	NA	26/04/16	4	5	21-Apr-16	DOG	-71.550783	-16.314332			
172_2022_7-Jul-22	-71.525222	-16.30329	cayma	172	2022	Caso019	NA	PIONEROS ZONA A	CON DUENHO	14/07/22	0	7	7-Jul-22	DOG	-71.525222	-16.30329			
173_2022_11-Jul-22	-71.554181	-16.448238	hunter	173	2022	Caso020	NA	AV. SAN MIGUEL	CON DUENHO	14/07/22	0	3	11-Jul-22	DOG	-71.554181	-16.448238			
175_2023_20-Apr-23	-71.502463	-16.43881	paucarpata	175	2023	Caso012	NA	Calle Bolivar s/n	CON DUENHO	25/04/23	2	5	20-Apr-23	DOG	-71.502463	-16.43881			
182_2019_11-Jun-19	-71.526245	-16.373264	asa	182	2019	Caso015	NA	NA	NA	14/06/19	2	3	11-Jun-19	DOG	-71.526245	-16.373264			
183_2019_13-Jun-19	-71.47797	-16.396154	mmelgar	183	2019	Caso016	NA	NA	NS	18/06/19	NA	NA	13-Jun-19	DOG	-71.47797	-16.396154			
183_2023_26-Apr-23	-71.513626	-16.407912	mmelgar	183	2023	Caso013	NA	AV JESUS 513	COMUNITARIO	5/5/23	6	9	26-Apr-23	DOG	-71.513626	-16.407912			
186_2018_2-May-18	-71.58366	-16.31917	ccolorado	186	2018	Caso024	10	NA	CON DUENHO	7/5/18	3	5	2-May-18	DOG	-71.58366	-16.31917			
2_2017_3-Jan-17	-71.565203	-16.445101	hunter	2	2017	Caso001	NA	NA	NA	NA	NA	NA	3-Jan-17	DOG	-71.565203	-16.445101			
201_2017_12-Jun-17	-71.586289	-16.337949	ccolorado	201	2017	Caso024	11	VILLA SAN JUAN	SIN DUENHO	15/06/17	2	3	12-Jun-17	DOG	-71.586289	-16.337949			
202_2021_10-Jun-21	-72.200925	-16.348995	pedregal	202	2021	Caso041	NA	LOS MOLLES	CON DUENHO	17/06/21	4	7	10-Jun-21	LIVESTOCK	-72.200925	-16.348995			
209_2018_16-May-18	-71.6272	-16.307352	yura	209	2018	Caso025	NA	NA	NS	18/05/18	NA	NA	16-May-18	DOG	-71.6272	-16.307352			
213_2021_26-Jun-21	-71.548055	-16.314645	ccolorado	213	2021	Caso042	NA	VILLA CERRILLOS	CON DUENHO	1/7/21	4	5	26-Jun-21	DOG	-71.548055	-16.314645			
218_2023_23-May-23	-71.510121	-16.36792	asa	218	2023	Caso014	NA	Villa Unión A-4	CON DUENHO	25/05/23	NA	NA	23-May-23	DOG	-71.510121	-16.36792			
219_2022_20-Aug-22	-71.4593	-16.473722	characato	219	2022	Caso024	NA	YANAYACO	CON DUENHO	1/9/22	9	12	20-Aug-22	DOG	-71.4593	-16.473722			
219_2024_7-Aug-24	-71.516342	-16.391328	miraflores	219	2024	Caso005	NA	Calle Jorge Polar 312	CON DUENHO	13/08/24		NA	7-Aug-24	DOG	-71.516342	-16.391328			
22_2016_27-Jan-16	-71.551273	-16.308933	ccolorado	22	2016	2	1	LOS ANGELES	CON DUENHO	3/2/16	5	7	27-Jan-16	DOG	-71.551273	-16.308933			
22_2018_24-Jan-18	-71.52636	-16.414825	jlbyr	22	2018	Caso003	NA	Av. Los incas s/n 		NA	NA	NA	24-Jan-18	DOG	-71.52636	-16.414825			
225_2017_30-Jun-17	-71.637827	-16.309558	yura	225	2017	Caso029	NA	RESIDENTES PUNO	NA	3/7/17	3	3	30-Jun-17	DOG	-71.637827	-16.309558			
225_2019_23-Jul-19	-71.505706	-16.374308	miraflores	225	2019	Caso018	NA	NA	NS	25/07/19	NA	NA	23-Jul-19	DOG	-71.505706	-16.374308			
225_2023_22-May-23	-71.548277	-16.454735	socabaya	225	2023	Caso015	NA	PAMPAS VIEJAS S/N	CON DUENHO	31/05/23	NA	NA	22-May-23	DOG	-71.548277	-16.454735			
227_2019_24-Jul-19	-71.62343	-16.3287	yura	227	2019	Caso019	NA	NA	CON DUENHO	26/07/19	NA	NA	24-Jul-19	DOG	-71.62343	-16.3287			
23_2020_31-Jan-20	-71.524882	-16.316575	cayma	23	2020	Caso002	NA	NA	CON DUENHO	3/2/20	3	3	31-Jan-20	DOG	-71.524882	-16.316575			
231_2021_14-Jul-21	-71.604023	-16.334226	ccolorado	231	2021	Caso044	NA	J.L.B Y RIVERO SECTOR V	CON DUENHO	17/07/21	1	3	14-Jul-21	DOG	-71.604023	-16.334226			
232_2023_24-May-23	-71.488773	-16.510921	mollebaya	232	2023	Caso016	NA	Amigos de San Miguel mz J lote 9 Alto Pajonal	CON DUENHO	31/05/23	NA	NA	24-May-23	DOG	-71.488773	-16.510921			
234_2016_24-May-16	-71.595254	-16.317778	ccolorado	234	2016	NA	9	VILLA CONO NORTE	NA	26/04/16	NA	NA	24-May-16	DOG	-71.595254	-16.317778			
236_2019_1-Aug-19	-71.62386	-16.328714	yura	236	2019	Caso020	NA	NA	NA	31/07/19	NA	NA	1-Aug-19	DOG	-71.62386	-16.328714			
236_2022_4-Sep-22	-72.19504	-16.335434	pedregal	236	2022	Caso028	NA	NA	CON DUENHO	8/9/22	3	4	4-Sep-22	DOG	-72.19504	-16.335434			
24_2019_24-Jan-19	-71.563202	-16.371876	ccolorado	24	2019	Caso004	NA	Calle Sosa Ruiz 909 -		26/01/19	NA	NA	24-Jan-19	DOG	-71.563202	-16.371876			
240_2019_6-Aug-19	-71.532824	-16.320876	cayma	240	2019	Caso021	NA	NA	NA	8/8/19	0	2	6-Aug-19	DOG	-71.532824	-16.320876			
