tip,date,group
1101787,2011.167123,puno
1203037,2012.349727,puno
202_2021,2021.438356,pedregal
250_2021,2021.60274,pedregal
236_2022,2022.673973,pedregal
147_2021,2021.276712,pedregal
71_2021,2021.172603,pedregal
52_2021,2021.142466,pedregal
34_2021,2021.09589,pedregal
73_2021,2021.172603,pedregal
107_2021,2021.208219,pedregal
68_2021,2021.153425,pedregal
251_2021,2021.60274,pedregal
16_2021,2021.046575,yura
321_2023,2023.643836,yura
147_2022,2022.435616,yura
225_2017,2017.493151,yura
61_2021,2021.147945,ccolarado
25_2020,2020.092896,yura
56_2021,2021.150685,ccolarado
30_2023,2023.090411,yura
209_2018,2018.369863,yura
374_2018,2018.761644,yura
152_2023,2023.243836,yura
244_2019,2019.575342,yura
236_2019,2019.580822,yura
227_2019,2019.558904,yura
30_2021,2021.093151,yura
280_2022,2022.767123,ccolarado
375_2018,2018.767123,yura
51_2018,2018.109589,ccolarado
47_2019,2019.126027,yura
442_2016,2016.704918,ccolarado
140_2020,2020.907104,yura
88_2019,2019.20274,ccolarado
140_2018,2018.260274,ccolarado
447_2018,2018.89863,ccolarado
56_2023,2023.123288,ccolarado
41_2020,2020.10929,yura
145_2022,2022.427397,ccolarado
35_2018,2018.073973,ccolarado
90_2021,2021.191781,yura
231_2021,2021.531507,ccolarado
52_2018,2018.109589,ccolarado
266_2022,2022.734247,ccolarado
75_2021,2021.183562,ccolarado
234_2016,2016.393443,ccolarado
333_2018,2018.709589,ccolarado
91_2017,2017.205479,ccolarado
480_2016,2016.765027,ccolarado
44_2016,2016.128415,ccolarado
534_2016,2016.877049,ccolarado
357_2016,2016.519126,ccolarado
201_2017,2017.443836,ccolarado
186_2018,2018.331507,ccolarado
112_2017,2017.268493,ccolarado
562_2016,2016.931694,ccolarado
130_2016,2016.256831,ccolarado
12_2017,2017.010959,ccolarado
563_2016,2016.931694,ccolarado
100_2023,2023.194521,ccolarado
158_2022,2022.457534,hunter
57_2017,2017.073973,ccolarado
149_2020,2020.959016,ccolarado
31_2021,2021.10137,ccolarado
297_2023,2023.545205,ccolarado
242_2019,2019.6,ccolarado
107_2018,2018.227397,ccolarado
2_2017,2017.005479,hunter
151_2024,2024.281421,ccolarado
32_2016,2016.092896,ccolarado
69_2022,2022.216438,hunter
173_2022,2022.523288,hunter
40_2021,2021.106849,ccolarado
22_2016,2016.071038,ccolarado
48_2019,2019.123288,cayma
166_2016,2016.303279,ccolarado
576_2016,2016.964481,ccolarado
255_2019,2019.621918,ccolarado
462_2016,2016.729508,ccolarado
213_2021,2021.482192,ccolarado
302_2017,2017.70137,ccolarado
54_2024,2024.117486,ccolarado
126_2021,2021.238356,ccolarado
121_2019,2019.29863,ccolarado
495_2016,2016.786885,ccolarado
89_2018,2018.186301,ccolarado
46_2019,2019.117808,cayma
259_2017,2017.572603,ccolarado
247_2018,2018.408219,ccolarado
275_2017,2017.613699,ccolarado
270_2023,2023.449315,socabaya
240_2019,2019.594521,cayma
145_2017,2017.279452,cayma
358_2023,2023.794521,jlbyr
131_2019,2019.315068,cayma
182_2019,2019.441096,asa
172_2022,2022.512329,cayma
23_2020,2020.081967,cayma
114_2015,2015.252055,asa
312_2019,2019.764384,jlbyr
219_2024,2024.598361,miraflores
183_2023,2023.315068,mmelgar
435_2018,2018.868493,paucarpata
103_2022,2022.284932,mollebaya
162_2024,2024.319672,paucarpata
468_2016,2016.734973,jlbyr
9_2019,2019.043836,miraflores
367_2015,2015.528767,mmelgar
225_2019,2019.556164,miraflores
272_2019,2019.635616,miraflores
289_2019,2019.70137,miraflores
696_2015,2015.857534,mmelgar
175_2023,2023.29863,paucarpata
73_2015,2015.219178,miraflores
273_2023,2023.468493,mmelgar
560_2015,2015.682192,mmelgar
699_2015,2015.865753,mmelgar
704_2015,2015.89863,mmelgar
42_2020,2020.098361,paucarpata
40_2025,2025.180822,miraflores
653_2015,2015.780822,mmelgar
246_2022,2022.69589,characato
711_2015,2015.917808,mmelgar
609_2015,2015.734247,mmelgar
41_2024,2024.087432,mmelgar
183_2019,2019.446575,mmelgar
286_2022,2022.780822,characato
219_2022,2022.632877,characato
1101786,2011.153425,puno
3553_2010,2010.882192,puno
291_2016,2016.442623,yura
302_2016,2016.456284,asa
386_2016,2016.551913,mmelgar
481_2016,2016.775956,mmelgar
485_2016,2016.775956,sachaca
571_2016,2016.956284,uchumayo
69_2016,2016.163934,miraflores
101_2017,2017.183562,asa
159_2017,2017.320548,mmelgar
272_2017,2017.605479,cayma
279_2017,2017.632877,asa
298_2017,2017.70137,asa
315_2017,2017.750685,asa
319_2017,2017.756164,mmelgar
375_2017,2017.893151,mmelgar
402_2017,2017.953425,ccolarado
46_2017,2017.065753,socabaya
97_2017,2017.164384,uchumayo
162_2018,2018.306849,jlbyr
22_2018,2018.063014,jlbyr
92_2018,2018.205479,jlbyr
93_2018,2018.213699,jlbyr
24_2019,2019.063014,ccolarado
320_2019,2019.8,yura
336_2019,2019.824658,cayma
10_2020,2020.038251,yura
10_2021,2021.019178,ccolarado
146_2021,2021.29863,ccolarado
15_2021,2021.057534,ccolarado
29_2021,2021.09589,yura
218_2023,2023.389041,asa
225_2023,2023.386301,socabaya
232_2023,2023.391781,mollebaya
240_2023,2023.386301,socabaya
348_2023,2023.761644,jlbyr
4_2023,2023.013699,asa
