tip	date	group
1101787	2011.16712	puno
1203037	2012.34973	puno
202_2021	2021.43836	pedregal
250_2021	2021.60274	pedregal
236_2022	2022.67397	pedregal
147_2021	2021.27671	pedregal
71_2021	2021.1726	pedregal
52_2021	2021.14247	pedregal
34_2021	2021.09589	pedregal
73_2021	2021.1726	pedregal
107_2021	2021.20822	pedregal
68_2021	2021.15343	pedregal
251_2021	2021.60274	pedregal
16_2021	2021.04658	yura
321_2023	2023.64384	yura
147_2022	2022.43562	yura
225_2017	2017.49315	yura
61_2021	2021.14795	ccolarado
25_2020	2020.0929	yura
56_2021	2021.15069	ccolarado
30_2023	2023.09041	yura
209_2018	2018.36986	yura
374_2018	2018.76164	yura
152_2023	2023.24384	yura
244_2019	2019.57534	yura
236_2019	2019.58082	yura
227_2019	2019.5589	yura
30_2021	2021.09315	yura
280_2022	2022.76712	ccolarado
375_2018	2018.76712	yura
51_2018	2018.10959	ccolarado
47_2019	2019.12603	yura
442_2016	2016.70492	ccolarado
140_2020	2020.9071	yura
88_2019	2019.20274	ccolarado
140_2018	2018.26027	ccolarado
447_2018	2018.89863	ccolarado
56_2023	2023.12329	ccolarado
41_2020	2020.10929	yura
145_2022	2022.4274	ccolarado
35_2018	2018.07397	ccolarado
90_2021	2021.19178	yura
231_2021	2021.53151	ccolarado
52_2018	2018.10959	ccolarado
266_2022	2022.73425	ccolarado
75_2021	2021.18356	ccolarado
234_2016	2016.39344	ccolarado
333_2018	2018.70959	ccolarado
91_2017	2017.20548	ccolarado
480_2016	2016.76503	ccolarado
44_2016	2016.12842	ccolarado
534_2016	2016.87705	ccolarado
357_2016	2016.51913	ccolarado
201_2017	2017.44384	ccolarado
186_2018	2018.33151	ccolarado
112_2017	2017.26849	ccolarado
562_2016	2016.93169	ccolarado
130_2016	2016.25683	ccolarado
12_2017	2017.01096	ccolarado
563_2016	2016.93169	ccolarado
100_2023	2023.19452	ccolarado
158_2022	2022.45753	hunter
57_2017	2017.07397	ccolarado
149_2020	2020.95902	ccolarado
31_2021	2021.10137	ccolarado
297_2023	2023.54521	ccolarado
242_2019	2019.6	ccolarado
107_2018	2018.2274	ccolarado
2_2017	2017.00548	hunter
151_2024	2024.28142	ccolarado
32_2016	2016.0929	ccolarado
69_2022	2022.21644	hunter
173_2022	2022.52329	hunter
40_2021	2021.10685	ccolarado
22_2016	2016.07104	ccolarado
48_2019	2019.12329	cayma
166_2016	2016.30328	ccolarado
576_2016	2016.96448	ccolarado
255_2019	2019.62192	ccolarado
462_2016	2016.72951	ccolarado
213_2021	2021.48219	ccolarado
302_2017	2017.70137	ccolarado
54_2024	2024.11749	ccolarado
126_2021	2021.23836	ccolarado
121_2019	2019.29863	ccolarado
495_2016	2016.78689	ccolarado
89_2018	2018.1863	ccolarado
46_2019	2019.11781	cayma
259_2017	2017.5726	ccolarado
247_2018	2018.40822	ccolarado
275_2017	2017.6137	ccolarado
270_2023	2023.44932	socabaya
240_2019	2019.59452	cayma
145_2017	2017.27945	cayma
358_2023	2023.79452	jlbyr
131_2019	2019.31507	cayma
182_2019	2019.4411	asa
172_2022	2022.51233	cayma
23_2020	2020.08197	cayma
114_2015	2015.25206	asa
312_2019	2019.76438	jlbyr
219_2024	2024.59836	miraflores
183_2023	2023.31507	mmelgar
435_2018	2018.86849	paucarpata
103_2022	2022.28493	mollebaya
162_2024	2024.31967	paucarpata
468_2016	2016.73497	jlbyr
9_2019	2019.04384	miraflores
367_2015	2015.52877	mmelgar
225_2019	2019.55616	miraflores
272_2019	2019.63562	miraflores
289_2019	2019.70137	miraflores
696_2015	2015.85753	mmelgar
175_2023	2023.29863	paucarpata
73_2015	2015.21918	miraflores
273_2023	2023.46849	mmelgar
560_2015	2015.68219	mmelgar
699_2015	2015.86575	mmelgar
704_2015	2015.89863	mmelgar
42_2020	2020.09836	paucarpata
40_2025	2025.18082	miraflores
653_2015	2015.78082	mmelgar
246_2022	2022.69589	characato
711_2015	2015.91781	mmelgar
609_2015	2015.73425	mmelgar
41_2024	2024.08743	mmelgar
183_2019	2019.44658	mmelgar
286_2022	2022.78082	characato
219_2022	2022.63288	characato
1101786	2011.15343	puno
3553_2010	2010.88219	puno
291_2016	2016.44262	yura
302_2016	2016.45628	asa
386_2016	2016.55191	mmelgar
481_2016	2016.77596	mmelgar
485_2016	2016.77596	sachaca
571_2016	2016.95628	uchumayo
69_2016	2016.16393	miraflores
101_2017	2017.18356	asa
159_2017	2017.32055	mmelgar
272_2017	2017.60548	cayma
279_2017	2017.63288	asa
298_2017	2017.70137	asa
315_2017	2017.75069	asa
319_2017	2017.75616	mmelgar
375_2017	2017.89315	mmelgar
402_2017	2017.95343	ccolarado
46_2017	2017.06575	socabaya
97_2017	2017.16438	uchumayo
162_2018	2018.30685	jlbyr
22_2018	2018.06301	jlbyr
92_2018	2018.20548	jlbyr
93_2018	2018.2137	jlbyr
24_2019	2019.06301	ccolarado
320_2019	2019.8	yura
336_2019	2019.82466	cayma
10_2020	2020.03825	yura
10_2021	2021.01918	ccolarado
146_2021	2021.29863	ccolarado
15_2021	2021.05753	ccolarado
29_2021	2021.09589	yura
218_2023	2023.38904	asa
225_2023	2023.3863	socabaya
232_2023	2023.39178	mollebaya
240_2023	2023.3863	socabaya
348_2023	2023.76164	jlbyr
4_2023	2023.0137	asa
