sequenced?,ID_MUESTRA,year,X,case_regional,case_local,district,locality,dog_status,complaint_date,symptom_date,kill_date,sample_date,ship_date,contain_date,infectious_period,noncontained_period,lon,lat,x_utm,y_utm
Y,73,2015,73_2015,2,NA,MIRAFLORES,UPIS EL SALVADOR,SIN DUENHO,2015-03-22,2015-03-22,2015-03-22,2015-03-23,2015-03-25,NA,0,NA,-71.501509035398001,-16.375656270272799,873863.20131794305,8186326.6743759103
Y,114,2015,114_2015,6,NA,ALTO SELVA ALEGRE,INDEPENDENCIA ZONA B,CON DUENHO,NA,2015-04-03,2015-04-07,2015-04-07,2015-04-08,NA,4,NA,-71.520947414560297,-16.368561136451401,871797.59329223202,8187148.4900616501
Y,367,2015,367_2015,9,NA,MARIANO MELGAR,SANTA ROSA,CON DUENHO,2015-07-16,2015-07-13,2015-07-17,2015-07-17,2015-07-17,NA,4,NA,-71.507208462652898,-16.408133179566398,873191.62312208896,8182738.9621879896
Y,560,2015,560_2015,13,NA,MARIANO MELGAR,PSJE SR. DE HUANCA MZ2 L6,CON DUENHO,NA,2015-09-07,2015-09-07,2015-09-07,2015-09-07,2015-09-08,0,1,-71.496185168469196,-16.402557885838199,874381.14171541203,8183336.3148536403
Y,609,2015,609_2015,14,NA,MARIANO MELGAR,NUEVO MILENIUM,SIN DUENHO,NA,NA,2015-09-26,2015-09-28,2015-09-28,2015-09-28,NA,NA,-71.483946301929905,-16.392432800487299,875709.48184513603,8184435.45588974
Y,653,2015,653_2015,15,NA,MARIANO MELGAR,PANAMA 347,CON DUENHO,NA,NA,2015-10-13,2015-10-13,2015-10-14,2015-10-15,NA,NA,-71.493298879841305,-16.402406542231802,874690.10378846398,8183347.74366422
Y,696,2015,696_2015,16,NA,MARIANO MELGAR,SANTA ROSA,CON DUENHO,2015-11-13,2015-11-10,2015-11-13,2015-11-13,2015-11-13,NA,3,NA,-71.503795176550994,-16.402882506395699,873566.67861784296,8183314.4052603804
Y,699,2015,699_2015,17,NA,MARIANO MELGAR,SENHOR DE LOS MILAGROS,CON DUENHO,2015-11-17,2015-11-13,2015-11-16,2015-11-18,2015-11-18,NA,3,NA,-71.495716850807796,-16.394229489136801,874447.17805233703,8184258.1859630104
Y,704,2015,704_2015,18,NA,MARIANO MELGAR,PUEBLO LIBRE,SIN DUENHO,NA,NA,2015-11-25,2015-11-26,2015-11-26,2015-12-04,NA,NA,-71.493909746673395,-16.3949261511267,874639.11087005702,8184177.6585243298
Y,711,2015,711_2015,19,NA,MARIANO MELGAR,NUEVO MILENIO B7,SIN DUENHO,NA,NA,2015-12-02,2015-12-03,2015-12-03,2015-12-04,NA,NA,-71.485483706178897,-16.392892488998399,875544.17249314405,8184387.3752539204
Y,22,2016,22_2016,2,1,CERRO COLORADO,LOS ANGELES,CON DUENHO,2016-02-01,2016-01-27,2016-02-01,2016-02-01,2016-02-02,2016-02-03,5,7,-71.551272842136598,-16.308932960644501,868666.01331178297,8193809.9162473399
Y,32,2016,32_2016,3,2,CERRO COLORADO,CARLOS BACA FLOR,CON DUENHO,2016-02-04,NA,2016-02-04,2016-02-04,2016-02-05,2016-02-05,NA,NA,-71.561367480670199,-16.330183795257199,867546.24059989897,8191473.84966408
Y,44,2016,44_2016,6,4,CERRO COLORADO,VILLA CANTERAS,CON DUENHO,2016-02-17,2016-02-17,2016-02-17,2016-02-17,2016-02-17,2016-02-18,0,1,-71.590567567264898,-16.331575660085399,864419.94432216301,8191372.2032739203
Y,234,2016,234_2016,NA,9,CERRO COLORADO,VILLA CONO NORTE,NA,NA,NA,2016-05-24,2016-05-25,2016-05-25,2016-04-26,NA,NA,-71.595253636764696,-16.317778302656599,863944.21847717999,8192909.1184598897
Y,462,2016,462_2016,NA,18,CERRO COLORADO,NAZARENO 6TA ETAPA,NA,2016-09-27,2016-09-24,2016-09-27,2016-09-27,2016-09-28,2016-09-29,3,5,-71.548656676548802,-16.326284102820001,868913.34441260202,8191882.8742490802
Y,468,2016,468_2016,NA,NA,JLBYR,BENIGNO BALLON FARFAN,NA,2016-10-01,2016-09-26,2016-10-01,2016-10-01,2016-10-03,2016-10-03,5,7,-71.509114049537502,-16.4436555521815,872919.94999105402,8178806.8469124204
Y,2,2017,2_2017,Caso001,NA,HUNTER,NA,NA,NA,NA,2017-01-03,2017-01-03,2017-01-03,NA,NA,NA,-71.565202840155393,-16.4451007369879,866920.35434797395,8178749.4598977501
Y,225,2017,225_2017,Caso029,NA,YURA,RESIDENTES PUNO,NA,2017-07-02,2017-06-30,2017-07-03,2017-07-03,2017-07-03,2017-07-03,3,3,-71.637827368356398,-16.309557504304699,859404.746041651,8193895.4693979602
Y,35,2018,35_2018,Caso005,2,CERRO COLORADO,JLBYR SECTOR 6,CON DUENHO,2018-01-28,2018-01-28,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2,5,-71.605050000000006,-16.341963,862851.50849130901,8190247.3620439405
Y,52,2018,52_2018,Caso009,4,CERRO COLORADO,PERUARBO SECTOR PERU 3,CON DUENHO,2018-02-14,2018-02-10,2018-02-14,2018-02-14,2018-02-14,2018-02-15,4,5,-71.598830000000007,-16.352281999999999,863497.72264507494,8189093.0707649598
Y,107,2018,107_2018,Caso015,6,CERRO COLORADO,MARIO VARGAS LLOSA,CON DUENHO,NA,NA,2018-03-25,2018-03-25,2018-03-26,NA,NA,NA,-71.566320000000005,-16.353459999999998,866972.89926203701,8188904.1001451099
Y,374,2018,374_2018,Caso037,NA,YURA,CIUDAD DE DIOS,NA,NA,NA,2018-10-06,2018-10-08,2018-10-09,2018-10-11,NA,NA,-71.627044999999995,-16.293725999999999,860587.28090211703,8195630.2302116696
Y,375,2018,375_2018,Caso038,NA,YURA,CIUDAD DE DIOS,NA,NA,NA,2018-10-08,2018-10-09,2018-10-09,2018-10-11,NA,NA,-71.618325196855295,-16.309101506795901,861491.97627541295,8193911.4639100898
Y,46,2019,46_2019,Caso005,NA,CAYMA,NA,CON DUENHO,NA,NA,2019-02-13,2019-02-14,2019-02-14,2019-02-19,NA,NA,-71.543502580899599,-16.355951023187501,869408.88012937596,8188586.7521264805
Y,47,2019,47_2019,Caso006,NA,YURA,NA,NS,NA,NA,2019-02-16,2019-02-16,2019-02-18,2019-02-23,NA,NA,-71.616979999999998,-16.303799999999999,861645.63839467999,8194496.3844027603
Y,88,2019,88_2019,Caso008,NA,CERRO COLORADO,NA,CON DUENHO,2019-03-18,2019-03-16,2019-03-18,2019-03-18,2019-03-18,2019-03-19,2,3,-71.614345536240904,-16.3561589574559,861831.00812979403,8188691.2782268897
Y,227,2019,227_2019,Caso019,NA,YURA,NA,CON DUENHO,2019-07-23,NA,2019-07-24,2019-07-24,2019-07-25,2019-07-26,NA,NA,-71.623429801334197,-16.328700472559301,860909.87366187805,8191749.3261462199
Y,236,2019,236_2019,Caso020,NA,YURA,NA,NA,NA,NA,2019-08-01,2019-08-01,2019-08-02,2019-07-31,NA,NA,-71.623859999999993,-16.328714000000002,860863.829383153,8191748.5908757299
Y,272,2019,272_2019,Caso026,NA,MIRAFLORES,NA,NS,2019-08-29,2019-08-21,2019-08-28,2019-09-03,2019-09-03,2019-08-30,7,9,-71.5056141250422,-16.3764665356587,873422.58294289396,8186244.4662377397
Y,289,2019,289_2019,Caso029,NA,MIRAFLORES,NA,NA,2019-09-16,2019-09-14,2019-09-16,2019-09-16,2019-09-16,2019-09-18,2,4,-71.503900801445397,-16.374674615217799,873609.25552692497,8186439.8428724296
Y,312,2019,312_2019,Caso032,NA,JLBYR,NA,NA,NA,2019-10-07,2019-10-07,2019-10-07,2019-10-07,2019-10-08,0,1,-71.520850904383295,-16.4420356970817,871668.13800278096,8179007.9470822802
Y,23,2020,23_2020,Caso002,NA,CAYMA,NA,CON DUENHO,2020-02-01,2020-01-31,2020-02-03,2020-02-03,2020-02-03,2020-02-03,3,3,-71.524881761833399,-16.316575186964101,871475.18987281795,8192915.2613459798
Y,25,2020,25_2020,Caso003,NA,YURA,NA,CON DUENHO,2020-02-04,NA,2020-02-04,2020-02-04,2020-02-04,2020-02-05,NA,NA,-71.634161762216607,-16.301580027220002,859811.49175922305,8194772.7398861703
Y,41,2020,41_2020,Caso005,NA,YURA,NA,CON DUENHO,2020-02-12,2020-02-10,2020-02-11,2020-02-13,2020-02-13,2020-02-14,1,4,-71.6091538389406,-16.317720599649402,862457.274672286,8192940.3171347501
Y,42,2020,42_2020,Caso006,NA,PAUCARPATA,NA,NA,2020-02-13,2020-02-06,2020-02-09,2020-02-13,2020-02-13,2020-02-15,3,9,-71.493821070379497,-16.428706132540299,874583.80444747198,8180434.8628370203
Y,140,2020,140_2020,Caso017,NA,YURA,NA,NA,2020-11-29,2020-11-28,2020-11-30,2020-11-30,2020-11-30,2020-12-04,2,6,-71.616080932258399,-16.302902224166399,861743.47762652696,8194594.2449887097
Y,149,2020,149_2020,Caso021,NA,CERRO COLORADO,NA,NA,2020-12-19,2020-12-17,2020-12-20,2020-12-20,2020-12-21,2020-12-21,3,4,-71.572471953016802,-16.332559722708002,866353.88425684301,8191230.6674911296
Y,16,2021,16_2021,Caso007,NA,YURA,CIUDAD DE DIOS,CON DUENHO,2021-01-24,2021-01-18,2021-01-24,2021-01-24,2021-01-25,2021-01-25,6,7,-71.650798121995194,-16.3089428430712,858018.24037923501,8193986.4094040403
Y,31,2021,31_2021,Caso012,NA,CERRO COLORADO,ASOC. LAS FLORES,NA,2021-02-08,2021-02-07,2021-02-08,2021-02-08,2021-02-08,2021-02-09,1,2,-71.5687417846096,-16.329853564319698,866757.97501237399,8191523.7485513296
Y,30,2021,30_2021,Caso013,NA,YURA,COMITE 7,NA,2021-02-05,2021-02-04,2021-02-05,2021-02-07,2021-02-08,2021-02-09,1,5,-71.623400000000004,-16.293973999999999,860976.80998994503,8195596.3045024099
Y,34,2021,34_2021,Caso014,NA,PEDREGAL,CIUDAD MAJES MODULO E SECTOR 2,NA,2021-02-09,2021-02-05,2021-02-10,2021-02-11,2021-02-11,2021-02-12,5,7,-72.178333745270706,-16.3200374874496,801577.270449462,8193611.9689328596
Y,40,2021,40_2021,Caso015,NA,CERRO COLORADO,PEDRO P DIAZ,NA,2021-02-15,2021-02-09,2021-02-13,2021-02-15,2021-02-16,2021-02-19,4,10,-71.553594189510306,-16.3198239809015,868397.24005387595,8192607.5259605004
Y,52,2021,52_2021,Caso016,NA,PEDREGAL,CIUDAD MAJES MODULO B,NA,2021-02-24,2021-02-22,2021-02-24,2021-02-24,2021-02-25,2021-02-27,2,5,-72.180338839761404,-16.327741295374299,801351.05753377802,8192761.8819353702
Y,56,2021,56_2021,Caso017,NA,CERRO COLORADO,PROFAN 1RA ETAPA,NA,2021-02-26,2021-02-25,2021-02-26,2021-02-27,2021-02-27,2021-03-01,1,4,-71.633406839088494,-16.311133000000002,859874.77901957498,8193713.1286824904
Y,61,2021,61_2021,Caso018,NA,CERRO COLORADO,LAS LOMAS,NA,2021-02-28,2021-02-24,2021-02-28,2021-03-01,2021-03-01,2021-03-03,4,7,-71.636030843599897,-16.364362527450499,859496.55917405104,8187821.0029224502
Y,68,2021,68_2021,Caso019,NA,PEDREGAL,NUEVO HORIZONTE EL BOSQUE,NA,2021-03-03,2021-02-26,2021-03-03,2021-03-03,2021-03-03,2021-03-05,5,7,-72.175359999999998,-16.307302,801914.796967829,8195017.78829295
Y,71,2021,71_2021,Caso020,NA,PEDREGAL,NA,NA,2021-03-05,2021-03-05,2021-03-06,2021-03-06,2021-03-08,2021-03-08,1,3,-72.180824000000001,-16.310675,801325.33003490802,8194652.3779242299
