sequenced?,ID_MUESTRA,year,X,case_regional,case_local,district,locality,dog_status,complaint_date,symptom_date,kill_date,sample_date,ship_date,contain_date,infectious_period,noncontained_period,lon,lat,x_utm,y_utm,
Y,NA,2011,1101786,,NA,CAMINACA (PUNO),SAN PEDRO,,NA,NA,,26-Feb-11,NA,NA,,,-70.1019,-15.2557,,,
Y,NA,2011,1101787,,NA,CAMINACA (PUNO),C AN SEBASTIAN,,NA,NA,,3-Mar-11,NA,NA,,,-70.1018,-15.2419,,,
Y,NA,2012,1203037,,NA,ATUNCOLLA (PUNO),CC TICANIPAMPA,,NA,NA,,8-May-12,NA,NA,,,-70.11214,-15.69549937,,,
Y,10,2020,10_2020,Caso001,NA,YURA,J. A QUIÑONES SECTOR VILLA QUIÑONES KM 14 MZ 38 LT 3 ZN 1 1RA ETAPA,CON DUENHO,1/18/20,15-Jan-20,18-Jan-20,18-Jan-20,20-Jan-20,22-Jan-20,,,,,,,
Y,10,2021,10_2021,Caso004,NA,CERRO COLORADO,AV INSUSTRIAL,,1/11/21,8-Jan-21,1-Dec-21,14-Jan-21,15-Jan-21,15-Jan-21,,,,,,,
Y,100,2023,100_2023,Caso008,NA,CERRO COLORADO,VIA DE EVITAMIENTO  KM 4.5,CON DUENHO,3/14/23,13-Mar-23,14-Mar-23,14-Mar-23,14-Mar-23,15-Mar-23,1,2,-71.57673781,-16.36800562,865831.4176,8187311.449,
Y,101,2017,101_2017,,NA,ALTO SELVA ALEGRE,VILLA INDEPENDIENTE MZ Ñ CMTE IV ZN B,,NA,NA,,9-Mar-17,10-Mar-17,NA,,,,,,,
Y,103,2022,103_2022,Caso010,NA,MOLLEBAYA,ASOC HUERTO DEL EDEN,CON DUENHO,4/15/22,15-Apr-22,16-Apr-22,16-Apr-22,18-Apr-22,19-Apr-22,1,4,-71.5132039,-16.49196629,872390.2118,8173461.911,
Y,107,2018,107_2018,Caso015,6,CERRO COLORADO,MARIO VARGAS LLOSA,CON DUENHO,NA,NA,25-Mar-18,25-Mar-18,26-Mar-18,NA,NA,NA,-71.56632,-16.35346,866972.8993,8188904.1,
Y,107,2021,107_2021,Caso029,NA,PEDREGAL,NA,NA,3/20/21,18-Mar-21,20-Mar-21,20-Mar-21,22-Mar-21,23-Mar-21,2,5,-72.17553218,-16.30828596,801894.8752,8194909.088,
