"sample_id","redcap_repeat_instance","ngs_runid","duplicate_id","ngs_rundate","ngs_location","ngs_provider","ngs_submission","ngs_platform","primer_scheme","primer_scheme_version","nanopore_platform","ngs_flowcell","illumina_platform","ngs_prep","ngs_barcode","ngs_library","ngs_analysis_type","ngs_merged_from","total_reads","mapped_reads","mean_depth","stdev_depth","median_depth","minimum_reads","maximum_reads","genomecov_depthx1","genomecov_depthx5","genomecov_depthx20","genomecov_depthx100","negative_control_sample","genbank_accession","consensus_coverage","consensus_fasta","ngs_notes","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes"
"4_2023","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode16",NA,"Single run",NA,"10307","9229","463.4199446","271.0680603","384","0","1604","11889","11879","11877","11870","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"16_2021","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode04",NA,"Single run",NA,"24666","22435","975.9361738","614.3578772","793","0","3675","11906","11878","11878","11875","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"22_2016","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode07",NA,"Single run",NA,"33965","30597","1096.708798","892.3021698","937","0","4218","11891","11879","11878","11153","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"23_2020","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode22",NA,"Single run",NA,"7947","6831","247.819844","220.0925476","199","0","1171","11880","11698","11116","8990","No",NA,"10319",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"24_2019","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode11",NA,"Single run",NA,"54136","50659","2468.229221","1365.676284","2223","0","6943","11895","11880","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"25_2020","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode20",NA,"Single run",NA,"17854","15844","566.2783695","526.6100066","428","0","2624","11704","11692","11366","10172","No",NA,"11272",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"30_2021","1","aqp14","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion","FAS90955","Unknown","Amplicon",NA,NA,NA,NA,"50742","50742","2183","936","2127","0","5015","11909","11885","11879","11877","No","PP965359.1","11821",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"30_2023","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode17",NA,"Single run",NA,"20754","18353","669.5494423","644.911899","425","0","2855","11886","11879","11620","10925","No",NA,"11272",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"31_2021","1","aqp14","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion","FAS90955","Unknown","Amplicon",NA,NA,NA,NA,"71634","71634","2593","1262","2377","0","7101","11888","11882","11878","11877","No","PP965357.1","11820",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"32_2016","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode08",NA,"Single run",NA,"39351","38464","1663.281976","834.473131","1596","0","4530","11904","11879","11877","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"34_2021","1","aqp12","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion",NA,"Unknown","Amplicon",NA,NA,NA,NA,"148926","148926","7481.355196","2403.341829","7228","0","13172","11891","11886","11879","11878","No","PP965349.1","10565",NA,NA,"1",NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other","labid is epi caseid"
"35_2018","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode21",NA,"Single run",NA,"20660","19014","1345.954458","540.1857205","1262","0","3448","11881","11880","11877","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"40_2021","1","aqp14","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion","FAS90955","Unknown","Amplicon",NA,NA,NA,NA,"9237","9237","393","169","374","0","910","11886","11878","11877","11738","No","PP965353.1","11826",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"41_2020","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode02",NA,"Single run",NA,"10812","9313","344.3229892","287.3228103","268","0","1476","11881","11878","11371","9853","No",NA,"11012",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"41_2024","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode05",NA,"Single run",NA,"29797","28426","1414.376331","628.7020233","1401","0","3242","11890","11878","11877","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"42_2020","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode03",NA,"Single run",NA,"8551","8194","304.3450474","207.5063933","248","0","1113","11881","11877","11691","10111","No",NA,"11592",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"44_2016","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode09",NA,"Single run",NA,"84294","80975","3571.040426","2070.066062","3289","0","10248","11888","11879","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
