sample_id,case_regional,district,locality,lon,lat,species,group_area,group_river,group_geo,group_district
182_2019,Caso015,ALTO SELVA ALEGRE,NA,-71.526245,-16.373264,DOG,urban,south,F,asa
114_2015,6,ALTO SELVA ALEGRE,INDEPENDENCIA ZONA B,-71.52094741,-16.36856114,DOG,urban,south,F,asa
302_2016,,ALTO SELVA ALEGRE,VILLA INDEPENDIENTE C 9,-71.5193246,-16.36897699,DOG,urban,south,F,asa
101_2017,Caso014,ALTO SELVA ALEGRE,VILLA INDEPENDIENTE MZ Ñ CMTE IV ZN B,-71.52116468,-16.36891794,DOG,urban,south,F,asa
279_2017,Caso035,ALTO SELVA ALEGRE,LETICIA 602,-71.51478562,-16.37336654,DOG,urban,south,F,asa
298_2017,Caso037,ALTO SELVA ALEGRE,APURIMAC V 9,-71.51095321,-16.36917267,DOG,urban,south,F,asa
315_2017,Caso040,ALTO SELVA ALEGRE,CANTERAS ASA,-71.52693936,-16.34398399,DOG,periurban,south,F,asa
218_2023,Caso014,ALTO SELVA ALEGRE,Villa Unión A-4,-71.51012145,-16.36792002,DOG,urban,south,F,asa
4_2023,Caso001,ALTO SELVA ALEGRE,VILLA CONFRATERNIDAD AGRUPAMIENTO FAMILIAR ZC C MZ 3  LT 10,-71.524679,-16.3512505,DOG,periurban,south,F,asa
48_2019,Caso007,CAYMA,NA,-71.55114,-16.339685,DOG,urban,north,A,cayma
46_2019,Caso005,CAYMA,NA,-71.54350258,-16.35595102,DOG,urban,north,A,cayma
240_2019,Caso021,CAYMA,NA,-71.53282426,-16.32087619,DOG,periurban,north,A,cayma
145_2017,Caso019,CAYMA,CABRERIAS,-71.5314321,-16.30212347,DOG,periurban,north,A,cayma
131_2019,Caso014,CAYMA,NA,-71.5287674,-16.29254743,DOG,periurban,north,A,cayma
172_2022,Caso019,CAYMA,PIONEROS ZONA A,-71.525222,-16.30329,DOG,periurban,north,A,cayma
23_2020,Caso002,CAYMA,NA,-71.52488176,-16.31657519,DOG,periurban,north,A,cayma
272_2017,Caso033,CAYMA,AV SAN PEDRO 308,-71.54444964,-16.33896804,DOG,urban,north,A,cayma
336_2019,Caso037,CAYMA,Los Jazmines Zona B ,-71.52127815,-16.2945582,DOG,periurban,north,A,cayma
61_2021,Caso018,CERRO COLORADO,LAS LOMAS,-71.63603084,-16.36436253,DOG,periurban,north,B,ccolorado
280_2022,Caso034,CERRO COLORADO,MARISCAL CASTILLA,-71.62308263,-16.37918904,DOG,periurban,north,B,ccolorado
51_2018,Caso008,CERRO COLORADO,JLBYR SECTOR 9 AMPLIACION,-71.61768,-16.351608,DOG,periurban,north,B,ccolorado
442_2016,NA,CERRO COLORADO,APIPA SECTOR XII,-71.61649811,-16.33453865,DOG,periurban,north,B,ccolorado
88_2019,Caso008,CERRO COLORADO,NA,-71.61434554,-16.35615896,DOG,periurban,north,B,ccolorado
140_2018,Caso018,CERRO COLORADO,JLBYR SECTOR 9,-71.61238,-16.345425,DOG,periurban,north,B,ccolorado
447_2018,Caso047,CERRO COLORADO,NA,-71.612175,-16.35057,DOG,periurban,north,B,ccolorado
56_2023,Caso004,CERRO COLORADO,APIPA 3 MZ F LOTE 21,-71.61011813,-16.33019529,DOG,periurban,north,B,ccolorado
145_2022,Caso014,CERRO COLORADO,JLByR SECTOR 5,-71.60647222,-16.33964061,DOG,periurban,north,B,ccolorado
35_2018,Caso005,CERRO COLORADO,JLBYR SECTOR 6,-71.60505,-16.341963,DOG,periurban,north,B,ccolorado
231_2021,Caso044,CERRO COLORADO,J.L.B Y RIVERO SECTOR V,-71.6040233,-16.33422596,DOG,periurban,north,B,ccolorado
52_2018,Caso009,CERRO COLORADO,PERUARBO SECTOR PERU 3,-71.59883,-16.352282,DOG,periurban,north,B,ccolorado
266_2022,Caso031,CERRO COLORADO,PERUARBO SECTOR III,-71.597638,-16.352273,DOG,periurban,north,B,ccolorado
75_2021,Caso022,CERRO COLORADO,CIUDAD MUNICIPAL,-71.596666,-16.323315,DOG,urban,north,B,ccolorado
234_2016,NA,CERRO COLORADO,VILLA CONO NORTE,-71.59525364,-16.3177783,DOG,periurban,north,B,ccolorado
