city;type;lat;long;y_proj;x_proj
arequipa;national; ; ;-1.516416327;20763369.87
arequipa;national;-16.41526;-71.46931;-1943839.644;2845707.412
arequipa;national;-16.41521;-71.46917;-1943835.54;2845723.946
arequipa;national;-16.41516;-71.46903;-1943831.437;2845740.48
arequipa;national;-16.41511;-71.46888;-1943827.46;2845758.148
arequipa;national;-16.41506;-71.46873;-1943823.483;2845775.816
arequipa;national;-16.41501;-71.46858;-1943819.506;2845793.484
arequipa;national;-16.41497;-71.46842;-1943816.831;2845812.155
arequipa;national;-16.41492;-71.46826;-1943812.98;2845830.957
arequipa;national;-16.41488;-71.46809;-1943810.432;2845850.762
arequipa;national;-16.41483;-71.46791;-1943806.834;2845871.832
arequipa;national;-16.41479;-71.46773;-1943804.412;2845892.772
arequipa;national;-16.41474;-71.46755;-1943800.815;2845913.842
arequipa;national;-16.4147;-71.46737;-1943798.393;2845934.782
arequipa;national;-16.41465;-71.4672;-1943794.669;2845954.718
arequipa;national;-16.41461;-71.46702;-1943792.247;2845975.658
arequipa;national;-16.41457;-71.46684;-1943789.825;2845996.597
arequipa;national;-16.41453;-71.46666;-1943787.403;2846017.537
arequipa;national;-16.4145;-71.46648;-1943786.156;2846038.346
arequipa;national;-16.41448;-71.4663;-1943786.084;2846059.023
arequipa;national;-16.41447;-71.46612;-1943787.187;2846079.569
arequipa;national;-16.41446;-71.46595;-1943788.164;2846098.981
arequipa;national;-16.41445;-71.46577;-1943789.267;2846119.528
arequipa;national;-16.41445;-71.4656;-1943791.419;2846138.809
arequipa;national;-16.41443;-71.46543;-1943791.221;2846158.352
arequipa;national;-16.41439;-71.46528;-1943788.419;2846175.889
arequipa;national;-16.41433;-71.46514;-1943783.141;2846192.555
arequipa;national;-16.41425;-71.465;-1943775.512;2846209.482
arequipa;national;-16.41418;-71.46487;-1943768.932;2846225.145
arequipa;national;-16.4141;-71.46474;-1943761.177;2846240.938
arequipa;national;-16.41404;-71.4646;-1943755.898;2846257.604
arequipa;national;-16.41399;-71.46446;-1943751.795;2846274.138
arequipa;national;-16.41395;-71.46432;-1943748.867;2846290.541
