ident;lat;long;y_proj;x_proj
Ferrocarril_01; ; ;-1.516416327;20763369.87
Ferrocarril_01;-16.40201283;-71.74367509;-1938840.217;2814785.355
Ferrocarril_01;-16.40195768;-71.74373707;-1938832.975;2814779.048
Ferrocarril_01;-16.40187446;-71.74379578;-1938822.48;2814773.472
Ferrocarril_01;-16.40173869;-71.74387264;-1938805.594;2814766.518
Ferrocarril_01;-16.40151586;-71.74396018;-1938778.359;2814759.478
Ferrocarril_01;-16.40122669;-71.74397487;-1938744.25;2814761.545
Ferrocarril_01;-16.40096802;-71.74387496;-1938715.145;2814776.195
Ferrocarril_01;-16.40065326;-71.74366864;-1938680.784;2814803.621
Ferrocarril_01;-16.40049526;-71.74343003;-1938665.217;2814832.681
Ferrocarril_01;-16.40037025;-71.74312721;-1938654.32;2814868.589
Ferrocarril_01;-16.4003492;-71.74310328;-1938652.148;2814871.57
Ferrocarril_01;-16.400341;-71.74305697;-1938651.763;2814876.921
Ferrocarril_01;-16.40032032;-71.74302598;-1938649.722;2814880.696
Ferrocarril_01;-16.40030004;-71.74298801;-1938647.815;2814885.259
Ferrocarril_01;-16.40030194;-71.7429605;-1938648.381;2814888.349
Ferrocarril_01;-16.40030528;-71.74291241;-1938649.371;2814893.753
Ferrocarril_01;-16.40030765;-71.7428781;-1938650.077;2814897.608
Ferrocarril_01;-16.40031003;-71.74284381;-1938650.782;2814901.46
Ferrocarril_01;-16.40031288;-71.74280271;-1938651.628;2814906.078
Ferrocarril_01;-16.40031294;-71.74277575;-1938651.972;2814909.131
Ferrocarril_01;-16.40030794;-71.74274993;-1938651.706;2814912.12
Ferrocarril_01;-16.40030167;-71.74271757;-1938651.373;2814915.865
Ferrocarril_01;-16.40029412;-71.74267865;-1938650.972;2814920.37
Ferrocarril_01;-16.40029782;-71.74263847;-1938651.906;2814924.874
Ferrocarril_01;-16.40030027;-71.74259173;-1938652.775;2814930.135
Ferrocarril_01;-16.4003026;-71.74253142;-1938653.799;2814936.934
Ferrocarril_01;-16.40031019;-71.74248368;-1938655.285;2814942.244
Ferrocarril_01;-16.40032959;-71.74242817;-1938658.252;2814948.28
Ferrocarril_01;-16.40033856;-71.74239384;-1938659.732;2814952.052
Ferrocarril_01;-16.40034822;-71.7423662;-1938661.21;2814955.058
Ferrocarril_01;-16.4003682;-71.74231767;-1938664.158;2814960.296
Ferrocarril_01;-16.40037712;-71.74228352;-1938665.63;2814964.049
Ferrocarril_01;-16.40041001;-71.74224097;-1938670.019;2814968.443
Ferrocarril_01;-16.40044407;-71.74221189;-1938674.376;2814971.297
Ferrocarril_01;-16.4004779;-71.742183;-1938678.705;2814974.133
Ferrocarril_01;-16.40050078;-71.74216823;-1938681.573;2814975.511
Ferrocarril_01;-16.40051017;-71.74214117;-1938683.012;2814978.454
Ferrocarril_01;-16.40056358;-71.74207918;-1938690.05;2814984.785
Ferrocarril_01;-16.4005937;-71.74203864;-1938694.089;2814988.988
Ferrocarril_01;-16.40061782;-71.74201808;-1938697.176;2814991.006
Ferrocarril_01;-16.40063976;-71.74198458;-1938700.166;2814994.517
Ferrocarril_01;-16.4006627;-71.74195766;-1938703.193;2814997.27
Ferrocarril_01;-16.40068453;-71.74192431;-1938706.169;2815000.764
Ferrocarril_01;-16.40070735;-71.74189754;-1938709.18;2815003.503
Ferrocarril_01;-16.400737;-71.74185762;-1938713.156;2815007.641
Ferrocarril_01;-16.40076757;-71.74182432;-1938717.157;2815011.018
Ferrocarril_01;-16.40078814;-71.74178484;-1938720.062;2815015.224
Ferrocarril_01;-16.40081853;-71.74175176;-1938724.04;2815018.578
Ferrocarril_01;-16.40085041;-71.74172526;-1938728.11;2815021.168
Ferrocarril_01;-16.40088737;-71.7416987;-1938732.778;2815023.699
Ferrocarril_01;-16.4009228;-71.74165293;-1938737.504;2815028.425
Ferrocarril_01;-16.40094977;-71.74162685;-1938740.993;2815031.032
Ferrocarril_01;-16.40097704;-71.74160732;-1938744.436;2815032.892
Ferrocarril_01;-16.40101405;-71.74159425;-1938748.94;2815033.894
Ferrocarril_01;-16.40103162;-71.74157494;-1938751.242;2815035.854
Ferrocarril_01;-16.40105808;-71.74154928;-1938754.666;2815038.419
Ferrocarril_01;-16.40110137;-71.74149828;-1938760.381;2815043.637
Ferrocarril_01;-16.40113594;-71.74146029;-1938764.909;2815047.493
Ferrocarril_01;-16.40115274;-71.74143503;-1938767.195;2815050.137
Ferrocarril_01;-16.40116949;-71.74140984;-1938769.475;2815052.774
Ferrocarril_01;-16.40118187;-71.74137824;-1938771.321;2815056.193
Ferrocarril_01;-16.40120144;-71.74134697;-1938774.005;2815059.482
Ferrocarril_01;-16.40122745;-71.7413096;-1938777.522;2815063.379
Ferrocarril_01;-16.40123434;-71.74127818;-1938778.722;2815066.848
Ferrocarril_01;-16.4012488;-71.74123436;-1938780.964;2815071.625
Ferrocarril_01;-16.40125591;-71.74120932;-1938782.11;2815074.369
Ferrocarril_01;-16.40127079;-71.74117823;-1938784.244;2815077.698
Ferrocarril_01;-16.40127765;-71.74114695;-1938785.437;2815081.152
Ferrocarril_01;-16.40129249;-71.74111596;-1938787.564;2815084.469
Ferrocarril_01;-16.40129955;-71.74109105;-1938788.704;2815087.2
Ferrocarril_01;-16.40130684;-71.74107245;-1938789.79;2815089.212
Ferrocarril_01;-16.40131344;-71.74103499;-1938791.031;2815093.369
Ferrocarril_01;-16.40132798;-71.7409979;-1938793.199;2815097.382
Ferrocarril_01;-16.40133456;-71.74096051;-1938794.436;2815101.531
Ferrocarril_01;-16.40134929;-71.74092983;-1938796.547;2815104.816
Ferrocarril_01;-16.40134794;-71.7408921;-1938796.858;2815109.106
Ferrocarril_01;-16.40135563;-71.74088623;-1938797.833;2815109.672
Ferrocarril_01;-16.40135538;-71.74084242;-1938798.349;2815114.637
Ferrocarril_01;-16.4013645;-71.74081807;-1938799.722;2815117.278
Ferrocarril_01;-16.40137343;-71.74079997;-1938800.995;2815119.212
Ferrocarril_01;-16.40137413;-71.74077513;-1938801.388;2815122.016
Ferrocarril_01;-16.40138322;-71.74075089;-1938802.755;2815124.645
Ferrocarril_01;-16.40139229;-71.74072669;-1938804.121;2815127.268
Ferrocarril_01;-16.40139928;-71.74068345;-1938805.48;2815132.074
Ferrocarril_01;-16.40139857;-71.74066463;-1938805.63;2815134.216
Ferrocarril_01;-16.401406;-71.7406402;-1938806.807;2815136.886
Ferrocarril_01;-16.4014139;-71.74062834;-1938807.881;2815138.127
Ferrocarril_01;-16.40141272;-71.74059698;-1938808.133;2815141.694
Ferrocarril_01;-16.40141177;-71.74057188;-1938808.334;2815144.549
Ferrocarril_01;-16.40141919;-71.74054752;-1938809.508;2815147.212
Ferrocarril_01;-16.40142613;-71.74051064;-1938810.782;2815151.299
Ferrocarril_01;-16.40142472;-71.74047299;-1938811.085;2815155.582
Ferrocarril_01;-16.4014233;-71.74043531;-1938811.388;2815159.868
Ferrocarril_01;-16.40142165;-71.74039131;-1938811.742;2815164.871
Ferrocarril_01;-16.40142094;-71.74037245;-1938811.893;2815167.017
Ferrocarril_01;-16.40141952;-71.7403347;-1938812.197;2815171.31
Ferrocarril_01;-16.40141834;-71.74030322;-1938812.45;2815174.89
Ferrocarril_01;-16.40141739;-71.74027803;-1938812.653;2815177.755
Ferrocarril_01;-16.40141589;-71.74023397;-1938813.025;2815182.765
Ferrocarril_01;-16.40141613;-71.74020911;-1938813.364;2815185.577
Ferrocarril_01;-16.40142505;-71.74019161;-1938814.628;2815187.444
Ferrocarril_01;-16.40142554;-71.74014196;-1938815.303;2815193.061
Ferrocarril_01;-16.40142572;-71.74012334;-1938815.557;2815195.167
Ferrocarril_01;-16.40142621;-71.7400737;-1938816.232;2815200.783
Ferrocarril_01;-16.40142645;-71.74004888;-1938816.569;2815203.59
Ferrocarril_01;-16.40142806;-71.74000588;-1938817.293;2815208.439
Ferrocarril_01;-16.40142926;-71.73998143;-1938817.739;2815211.193
Ferrocarril_01;-16.40143106;-71.73994477;-1938818.407;2815215.321
Ferrocarril_01;-16.40143256;-71.73991425;-1938818.963;2815218.759
Ferrocarril_01;-16.40143496;-71.73986545;-1938819.852;2815224.254
Ferrocarril_01;-16.40143646;-71.73983499;-1938820.407;2815227.685
Ferrocarril_01;-16.40143825;-71.73979845;-1938821.072;2815231.8
Ferrocarril_01;-16.40143945;-71.73977412;-1938821.516;2815234.541
Ferrocarril_01;-16.40144154;-71.73973155;-1938822.291;2815239.334
Ferrocarril_01;-16.40144333;-71.73969511;-1938822.955;2815243.438
Ferrocarril_01;-16.40144452;-71.73967083;-1938823.397;2815246.173
Ferrocarril_01;-16.40143709;-71.73964499;-1938822.847;2815249.195
Ferrocarril_01;-16.40142965;-71.73961912;-1938822.296;2815252.221
Ferrocarril_01;-16.40142249;-71.73958715;-1938821.855;2815255.934
Ferrocarril_01;-16.40140725;-71.73954134;-1938820.637;2815261.318
Ferrocarril_01;-16.40139942;-71.73951519;-1938820.043;2815264.381
Ferrocarril_01;-16.40138336;-71.73947508;-1938818.659;2815269.131
Ferrocarril_01;-16.40137568;-71.73944269;-1938818.161;2815272.898
Ferrocarril_01;-16.4013592;-71.7394147;-1938816.576;2815276.28
Ferrocarril_01;-16.4013513;-71.73938837;-1938815.977;2815279.364
Ferrocarril_01;-16.40134358;-71.73935584;-1938815.476;2815283.148
Ferrocarril_01;-16.40133698;-71.7393301;-1938815.023;2815286.148
Ferrocarril_01;-16.40132286;-71.73929686;-1938813.779;2815290.095
Ferrocarril_01;-16.40132404;-71.73928495;-1938814.067;2815291.428
Ferrocarril_01;-16.40118504;-71.73861445;-1938806.108;2815369.158
Ferrocarril_01;-16.40122273;-71.73808636;-1938817.105;2815428.479
Ferrocarril_01;-16.4013598;-71.73776179;-1938837.231;2815463.47
Ferrocarril_01;-16.40136742;-71.73774553;-1938838.327;2815465.214
Ferrocarril_01;-16.40136696;-71.73772047;-1938838.585;2815468.058
Ferrocarril_01;-16.40139744;-71.73766189;-1938842.891;2815474.298
Ferrocarril_01;-16.40141257;-71.73762959;-1938845.069;2815477.762
Ferrocarril_01;-16.4014199;-71.73760098;-1938846.284;2815480.908
Ferrocarril_01;-16.40143487;-71.73756256;-1938848.519;2815485.065
Ferrocarril_01;-16.40145014;-71.73754293;-1938850.555;2815487.092
Ferrocarril_01;-16.4014653;-71.7374988;-1938852.884;2815491.894
Ferrocarril_01;-16.4014807;-71.73746726;-1938855.083;2815495.267
Ferrocarril_01;-16.40148833;-71.73744537;-1938856.251;2815497.648
Ferrocarril_01;-16.40150373;-71.73742011;-1938858.373;2815500.31
Ferrocarril_01;-16.4015192;-71.73740721;-1938860.348;2815501.571
