ident;lat;long;y_proj;x_proj;ingreso_economico
6.92.69-199; ; ;-1.516416327;20763369.87;C
6.92.69-199;-16.3533125;-72.23121875;-1927156.096;2760255.799;C
6.92.69-199;-16.35239258;-72.22940234;-1927070.379;2760472.522;C
6.92.69-199;-16.35175977;-72.22975781;-1926992.036;2760440.274;C
6.92.69-199;-16.35269141;-72.23157422;-1927079.126;2760223.405;C
6.92.69-200; ; ;-1.516416327;20763369.87;C
6.92.69-200;-16.35411523;-72.2307793;-1927255.336;2760295.41;C
6.92.69-200;-16.3531875;-72.22897461;-1927168.564;2760510.907;C
6.92.69-200;-16.35252148;-72.22932617;-1927086.383;2760479.516;C
6.92.69-200;-16.35344727;-72.23115234;-1927172.668;2760261.617;C
6.92.69-201; ; ;-1.516416327;20763369.87;C
6.92.69-201;-16.35494922;-72.2303125;-1927358.563;2760337.719;C
6.92.69-201;-16.35405859;-72.22852148;-1927275.971;2760551.207;C
6.92.69-201;-16.35333984;-72.22889648;-1927187.335;2760517.829;C
6.92.69-201;-16.35426953;-72.23069922;-1927274.358;2760302.528;C
6.92.69-202; ; ;-1.516416327;20763369.87;C
6.92.69-202;-16.35651953;-72.22946484;-1927552.554;2760413.846;C
6.92.69-202;-16.35563672;-72.22766992;-1927470.925;2760627.678;C
6.92.69-202;-16.35495703;-72.22802539;-1927387.096;2760596.019;C
6.92.69-202;-16.35588672;-72.22983789;-1927473.998;2760379.614;C
6.92.69-203; ; ;-1.516416327;20763369.87;C
6.92.69-203;-16.35643965;-72.22723565;-1927570.129;2760666.698;C
6.92.69-203;-16.35574219;-72.22760547;-1927484.045;2760633.641;C
6.92.69-203;-16.35665039;-72.22936719;-1927569.046;2760423.242;C
6.92.69-203;-16.35734033;-72.22899134;-1927654.32;2760457.074;C
6.92.69-204; ; ;-1.516416327;20763369.87;C
6.92.69-204;-16.35727913;-72.22679021;-1927673.744;2760706.521;C
6.92.69-204;-16.35658166;-72.22716003;-1927587.66;2760673.465;C
6.92.69-204;-16.35748986;-72.22892175;-1927672.659;2760463.066;C
6.92.69-204;-16.3581798;-72.22854591;-1927757.934;2760496.897;C
6.92.69-205; ; ;-1.516416327;20763369.87;C
6.92.69-205;-16.35799609;-72.22628125;-1927763.792;2760755.054;C
6.92.69-205;-16.35735352;-72.22666797;-1927683.926;2760719.402;C
6.92.69-205;-16.35829102;-72.22844531;-1927772.163;2760506.871;C
6.92.69-205;-16.3589082;-72.22809766;-1927848.585;2760538.427;C
6.92.69-206; ; ;-1.516416327;20763369.87;C
6.92.69-206;-16.35854952;-72.22597534;-1927832.249;2760782.69;C
6.92.69-206;-16.35814633;-72.22621021;-1927782.231;2760761.2;C
6.92.69-206;-16.3590708;-72.22800131;-1927868.775;2760547.277;C
6.92.69-206;-16.35945325;-72.22780247;-1927915.931;2760564.957;C
6.92.69-207; ; ;-1.516416327;20763369.87;C
6.92.69-207;-16.35463867;-72.23177539;-1927304.56;2760176.327;C
6.92.69-207;-16.35419727;-72.23093945;-1927263.001;2760276.29;C
6.92.69-207;-16.35277148;-72.23174609;-1927086.421;2760202.985;C
6.92.69-207;-16.35319336;-72.23257227;-1927125.814;2760104.369;C
6.92.69-210; ; ;-1.516416327;20763369.87;C
6.92.69-210;-16.35954303;-72.22796396;-1927924.487;2760545.589;C
6.92.69-210;-16.3591513;-72.22817563;-1927876.09;2760526.576;C
6.92.69-210;-16.35955284;-72.22895686;-1927913.64;2760433.291;C
6.92.69-210;-16.35968485;-72.22888072;-1927930.008;2760440.241;C
6.92.69-210;-16.35986377;-72.2286776;-1927953.398;2760460.951;C
6.92.69-211; ; ;-1.516416327;20763369.87;C
6.92.69-211;-16.35941211;-72.22913281;-1927895.047;2760415.173;C
6.92.69-211;-16.35898242;-72.22826758;-1927855.217;2760518.301;C
6.92.69-211;-16.35755273;-72.22906055;-1927678.34;2760446.598;C
6.92.69-211;-16.35798633;-72.22991602;-1927718.746;2760344.525;C
6.92.69-212; ; ;-1.516416327;20763369.87;C
6.92.69-212;-16.35781836;-72.22999414;-1927698.147;2760337.8;C
6.92.69-212;-16.35738281;-72.22914062;-1927657.489;2760439.677;C
6.92.69-212;-16.35596875;-72.22996289;-1927482.088;2760364.466;C
6.92.69-212;-16.35639258;-72.23080273;-1927521.542;2760264.281;C
6.92.69-213; ; ;-1.516416327;20763369.87;C
6.92.69-213;-16.35624023;-72.23088281;-1927502.748;2760257.139;C
6.92.69-213;-16.35580469;-72.23004883;-1927461.852;2760356.809;C
6.92.69-213;-16.35436328;-72.23085937;-1927283.395;2760283.261;C
6.92.69-213;-16.35479492;-72.23167969;-1927324;2760185.185;C
6.92.69-222; ; ;-1.516416327;20763369.87;C
6.92.69-222;-16.35515039;-72.23275781;-1927352.578;2760058.935;C
6.92.69-222;-16.3547207;-72.23192773;-1927312.32;2760158.089;C
6.92.69-222;-16.35329102;-72.23273047;-1927135.331;2760085.275;C
6.92.69-222;-16.35370703;-72.23355859;-1927174.015;2759986.513;C
6.92.69-223; ; ;-1.516416327;20763369.87;C
6.92.69-223;-16.35674414;-72.23187695;-1927549.709;2760138.521;C
6.92.69-223;-16.35631445;-72.23106445;-1927509.239;2760235.69;C
6.92.69-223;-16.35488477;-72.2318418;-1927332.555;2760165.747;C
6.92.69-223;-16.35531836;-72.23265039;-1927373.53;2760068.971;C
6.92.69-224; ; ;-1.516416327;20763369.87;C
6.92.69-224;-16.35833984;-72.23098828;-1927747.164;2760218.962;C
6.92.69-224;-16.35791602;-72.23016406;-1927707.523;2760317.381;C
6.92.69-224;-16.35647656;-72.23096484;-1927529.412;2760244.916;C
6.92.69-224;-16.35689453;-72.23179102;-1927568.345;2760146.349;C
6.92.69-225; ; ;-1.516416327;20763369.87;C
6.92.69-225;-16.35995117;-72.23011719;-1927946.238;2760297.218;C
6.92.69-225;-16.35951367;-72.22928711;-1927905.068;2760396.471;C
6.92.69-225;-16.3580918;-72.23008398;-1927729.059;2760324.229;C
6.92.69-225;-16.35850977;-72.23090234;-1927768.086;2760226.545;C
6.92.69-226; ; ;-1.516416327;20763369.87;C
6.92.69-226;-16.36006477;-72.22898799;-1927973.17;2760423.369;C
6.92.69-226;-16.3596686;-72.22919121;-1927924.356;2760405.366;C
6.92.69-226;-16.36009216;-72.23006107;-1927963.413;2760301.794;C
6.92.69-226;-16.36047692;-72.22983207;-1928011.202;2760322.852;C
6.92.69-227; ; ;-1.516416327;20763369.87;C
6.92.69-227;-16.36056877;-72.22999955;-1928019.928;2760302.781;C
6.92.69-227;-16.36016226;-72.23020055;-1927969.932;2760285.16;C
6.92.69-227;-16.36062732;-72.23103149;-1928014.316;2760185.465;C
6.92.69-227;-16.36100524;-72.23078245;-1928061.546;2760208.873;C
6.92.69-228; ; ;-1.516416327;20763369.87;C
6.92.69-228;-16.36045508;-72.23110547;-1927993.266;2760179.263;C
6.92.69-228;-16.36002148;-72.23027344;-1927952.578;2760278.686;C
6.92.69-228;-16.35858398;-72.23107617;-1927774.671;2760205.979;C
6.92.69-228;-16.35901367;-72.23189844;-1927815.022;2760107.708;C
6.92.69-229; ; ;-1.516416327;20763369.87;C
6.92.69-229;-16.35885547;-72.23198828;-1927795.424;2760099.536;C
6.92.69-229;-16.35842383;-72.23116406;-1927754.869;2760198.052;C
6.92.69-229;-16.35699219;-72.23195508;-1927577.791;2760126.593;C
6.92.69-229;-16.35742773;-72.23277539;-1927618.852;2760028.469;C
6.92.69-230; ; ;-1.516416327;20763369.87;C
6.92.69-230;-16.35725195;-72.23286719;-1927597.174;2760020.297;C
6.92.69-230;-16.35683203;-72.23203906;-1927558.036;2760119.107;C
6.92.69-230;-16.35539453;-72.23283789;-1927380.18;2760046.835;C
6.92.69-230;-16.35583008;-72.2336582;-1927421.242;2759948.712;C
6.92.69-231; ; ;-1.516416327;20763369.87;C
6.92.69-231;-16.35566406;-72.23374609;-1927400.754;2759940.859;C
6.92.69-231;-16.35523047;-72.23293164;-1927359.85;2760038.295;C
6.92.69-231;-16.35378906;-72.23371875;-1927181.68;2759967.393;C
6.92.69-231;-16.3542168;-72.2345332;-1927221.9;2759870.03;C
6.92.69-240; ; ;-1.516416327;20763369.87;C
6.92.69-240;-16.35619727;-72.23474414;-1927451.098;2759821.436;C
6.92.69-240;-16.35575;-72.23391211;-1927408.806;2759921.028;C
6.92.69-240;-16.35431055;-72.23470703;-1927230.772;2759849.219;C
6.92.69-240;-16.35474219;-72.2355332;-1927271.307;2759750.484;C
6.92.69-241; ; ;-1.516416327;20763369.87;C
6.92.69-241;-16.35776367;-72.23384961;-1927645.191;2759902.907;C
6.92.69-241;-16.35735352;-72.23303711;-1927607.007;2759999.83;C
6.92.69-241;-16.35588867;-72.23381445;-1927426.212;2759930.327;C
6.92.69-241;-16.35632617;-72.2346543;-1927467.267;2759829.974;C
6.92.69-242; ; ;-1.516416327;20763369.87;C
6.92.69-242;-16.36098284;-72.23208957;-1928043.137;2760061.482;C
6.92.69-242;-16.36055664;-72.23127148;-1928003.146;2760159.236;C
6.92.69-242;-16.35911719;-72.23207227;-1927825.035;2760086.774;C
6.92.69-242;-16.35953516;-72.23286523;-1927864.368;2759991.961;C
6.92.69-243; ; ;-1.516416327;20763369.87;C
6.92.69-243;-16.3615481;-72.23178896;-1928112.912;2760088.372;C
6.92.69-243;-16.36110188;-72.23097476;-1928070.531;2760185.937;C
6.92.69-243;-16.36068896;-72.23118682;-1928019.652;2760167.147;C
6.92.69-243;-16.3611357;-72.23198927;-1928062.236;2760070.902;C
6.92.69-244; ; ;-1.516416327;20763369.87;C
6.92.69-244;-16.36196453;-72.23281212;-1928149.283;2759967.572;C
6.92.69-244;-16.36200761;-72.23272707;-1928155.351;2759976.642;C
6.92.69-244;-16.36159558;-72.23195166;-1928116.503;2760069.396;C
6.92.69-244;-16.36122479;-72.23216017;-1928070.596;2760050.48;C
6.92.69-244;-16.3616456;-72.23299278;-1928109.782;2759951.152;C
6.92.69-245; ; ;-1.516416327;20763369.87;C
6.92.69-245;-16.36107042;-72.23225438;-1928051.395;2760041.767;C
6.92.69-245;-16.35962695;-72.23304687;-1927872.916;2759970.292;C
6.92.69-245;-16.36005273;-72.23387305;-1927912.762;2759871.631;C
6.92.69-245;-16.36082812;-72.23344727;-1928008.636;2759910.034;C
6.92.69-245;-16.36148498;-72.23308197;-1928089.91;2759943.086;C
6.92.69-246; ; ;-1.516416327;20763369.87;C
6.92.69-246;-16.35989648;-72.23396094;-1927893.417;2759863.656;C
6.92.69-246;-16.3594668;-72.23312891;-1927853.185;2759963.028;C
6.92.69-246;-16.35802344;-72.23392383;-1927674.691;2759891.274;C
6.92.69-246;-16.35844922;-72.23476172;-1927714.397;2759791.289;C
6.92.69-247; ; ;-1.516416327;20763369.87;C
6.92.69-247;-16.3582832;-72.23485352;-1927693.862;2759782.994;C
6.92.69-247;-16.35787305;-72.23401367;-1927656.009;2759883.005;C
