ident;lat;long;y_proj;x_proj;ingreso_economico
1.3.5-14; ; ;-1.516416327;20763369.87;A
1.3.5-14;-16.3846918;-71.55057934;-1939223.16;2836890.989;A
1.3.5-14;-16.38473922;-71.55066736;-1939227.623;2836880.392;A
1.3.5-14;-16.38483795;-71.55063144;-1939239.672;2836883.178;A
1.3.5-14;-16.3847736;-71.55016023;-1939238.039;2836937.445;A
1.3.5-14;-16.38457918;-71.55019427;-1939214.775;2836936.119;A
1.3.5-14;-16.38427237;-71.55029965;-1939177.413;2836928.167;A
1.3.5-14;-16.3842547;-71.55073353;-1939169.881;2836879.202;A
1.3.6-8; ; ;-1.516416327;20763369.87;A
1.3.6-8;-16.38537871;-71.55145935;-1939292.774;2836782.261;A
1.3.6-8;-16.38550685;-71.55196486;-1939301.467;2836723.274;A
1.3.6-8;-16.38552368;-71.55215064;-1939301.108;2836701.991;A
1.3.6-8;-16.38570452;-71.55222888;-1939321.365;2836690.764;A
1.3.6-8;-16.38590395;-71.55240335;-1939342.594;2836668.383;A
1.3.6-8;-16.3861011;-71.55261788;-1939363.052;2836641.491;A
1.3.6-8;-16.38618282;-71.55265255;-1939372.215;2836636.495;A
1.3.6-8;-16.38630391;-71.55267542;-1939386.15;2836632.324;A
1.3.6-8;-16.38630761;-71.55243278;-1939389.636;2836659.787;A
1.3.6-8;-16.38595575;-71.55207811;-1939352.769;2836704.586;A
1.3.6-8;-16.38574702;-71.55192686;-1939330.155;2836724.454;A
1.3.6-8;-16.38565168;-71.55169555;-1939321.865;2836751.923;A
1.3.6-8;-16.3856291;-71.55155058;-1939321.036;2836768.655;A
1.3.6-8;-16.38561692;-71.55094494;-1939327.223;2836837.483;A
1.3.6-8;-16.38519463;-71.55087918;-1939278.45;2836850.442;A
1.3.6-8;-16.38513216;-71.55142074;-1939264.301;2836789.851;A
1.3.7-1; ; ;-1.516416327;20763369.87;A
1.3.7-1;-16.38450761;-71.5521;-1939182.402;2836720.969;A
1.3.7-1;-16.38478133;-71.55218425;-1939213.492;2836707.851;A
1.3.7-1;-16.38479193;-71.55222917;-1939214.172;2836702.62;A
1.3.7-1;-16.38488881;-71.55221288;-1939225.757;2836703.204;A
1.3.7-1;-16.38491618;-71.55212615;-1939230.061;2836712.682;A
1.3.7-1;-16.38499953;-71.55212046;-1939239.923;2836712.241;A
1.3.7-1;-16.38498226;-71.55195654;-1939239.956;2836731.052;A
1.3.7-1;-16.38454197;-71.55190346;-1939188.909;2836742.806;A
1.3.7-2; ; ;-1.516416327;20763369.87;A
1.3.7-2;-16.38495267;-71.55172786;-1939239.357;2836757.366;A
1.3.7-2;-16.38456993;-71.55165061;-1939195.373;2836771.112;A
1.3.7-2;-16.38454236;-71.55186636;-1939189.422;2836747.008;A
1.3.7-2;-16.38497485;-71.55191723;-1939239.58;2836735.605;A
1.3.7-3; ; ;-1.516416327;20763369.87;A
1.3.7-3;-16.3848843;-71.55152824;-1939233.836;2836780.891;A
1.3.7-3;-16.38488438;-71.5514763;-1939234.499;2836786.779;A
1.3.7-3;-16.38507883;-71.55150847;-1939256.934;2836780.598;A
1.3.7-3;-16.38510512;-71.55140085;-1939261.376;2836792.457;A
1.3.7-3;-16.38489988;-71.55138374;-1939237.483;2836797.072;A
1.3.7-3;-16.38488042;-71.55126119;-1939236.739;2836811.22;A
1.3.7-3;-16.38462916;-71.55130794;-1939206.639;2836809.193;A
1.3.7-3;-16.38457645;-71.55161202;-1939196.624;2836775.402;A
1.3.7-3;-16.38493785;-71.55167251;-1939238.312;2836763.835;A
1.3.7-4; ; ;-1.516416327;20763369.87;A
1.3.7-4;-16.38429087;-71.55125022;-1939167.63;2836820.145;A
1.3.7-4;-16.38418232;-71.55200538;-1939145.385;2836735.935;A
1.3.7-4;-16.38445031;-71.55205722;-1939176.209;2836726.566;A
1.3.7-4;-16.38458577;-71.55130399;-1939201.593;2836810.207;A
1.3.7-5; ; ;-1.516416327;20763369.87;A
1.3.7-5;-16.38395637;-71.55122014;-1939128.721;2836827.913;A
1.3.7-5;-16.38383433;-71.55195467;-1939105.149;2836746.218;A
1.3.7-5;-16.38412119;-71.55202308;-1939137.982;2836734.725;A
1.3.7-5;-16.38423068;-71.55122806;-1939160.84;2836823.442;A
1.3.7-6; ; ;-1.516416327;20763369.87;A
1.3.7-6;-16.38377038;-71.55195241;-1939097.666;2836747.307;A
1.3.7-6;-16.38388572;-71.55121872;-1939120.44;2836828.995;A
1.3.7-6;-16.38373877;-71.55129111;-1939102.269;2836822.701;A
1.3.7-6;-16.38358881;-71.55133356;-1939084.122;2836819.841;A
1.3.7-6;-16.38349141;-71.55190053;-1939065.551;2836756.824;A
1.3.7-7; ; ;-1.516416327;20763369.87;A
1.3.7-7;-16.38353087;-71.55133799;-1939077.26;2836820.093;A
1.3.7-7;-16.3832205;-71.55136211;-1939040.502;2836821.402;A
1.3.7-7;-16.38313357;-71.55192383;-1939023.228;2836758.843;A
1.3.7-7;-16.38344039;-71.55194689;-1939058.977;2836752.232;A
1.3.7-8; ; ;-1.516416327;20763369.87;A
1.3.7-8;-16.38512361;-71.55109743;-1939267.363;2836826.62;A
1.3.7-8;-16.3851389;-71.55086406;-1939272.094;2836852.881;A
1.3.7-8;-16.38504699;-71.55082479;-1939261.792;2836858.532;A
