type;ident;lat;long;y_proj;x_proj;ingreso_economico
TRACK;1.4.27-1; ; ;-1.516416327;20763369.87;A
TRACK;1.4.27-1;-16.38188868;-71.56301962;-1938737.535;2835516.984;A
TRACK;1.4.27-1;-16.38191692;-71.56311975;-1938739.594;2835505.264;A
TRACK;1.4.27-1;-16.38276803;-71.56313382;-1938839.378;2835492.59;A
TRACK;1.4.27-1;-16.38286864;-71.56304677;-1938852.288;2835501.149;A
TRACK;1.4.27-1;-16.38285427;-71.56268577;-1938855.137;2835542.266;A
TRACK;1.4.27-1;-16.38273788;-71.56272061;-1938841.03;2835539.831;A
TRACK;1.4.27-1;-16.38159101;-71.56282395;-1938705.033;2835543.044;A
TRACK;1.4.27-2; ; ;-1.516416327;20763369.87;A
TRACK;1.4.27-2;-16.38248142;-71.56243288;-1938814.525;2835575.793;A
TRACK;1.4.27-2;-16.3815348;-71.56250676;-1938702.417;2835579.738;A
TRACK;1.4.27-2;-16.38148776;-71.56110443;-1938714.515;2835739.348;A
TRACK;1.4.27-2;-16.38128037;-71.56104398;-1938690.916;2835748.902;A
TRACK;1.4.27-2;-16.38127052;-71.56278704;-1938667.856;2835551.401;A
TRACK;1.4.27-2;-16.38253864;-71.56266534;-1938818.325;2835548.691;A
TRACK;1.4.27-3; ; ;-1.516416327;20763369.87;A
TRACK;1.4.27-3;-16.38218891;-71.56137567;-1938793.456;2835699.467;A
TRACK;1.4.27-3;-16.38208992;-71.56130385;-1938782.733;2835708.898;A
TRACK;1.4.27-3;-16.38155077;-71.56113259;-1938721.561;2835735.335;A
TRACK;1.4.27-3;-16.38160796;-71.56243613;-1938711.898;2835586.795;A
TRACK;1.4.27-3;-16.38246819;-71.56236173;-1938813.866;2835584.032;A
TRACK;1.4.27-4; ; ;-1.516416327;20763369.87;A
TRACK;1.4.27-4;-16.38242826;-71.56106924;-1938825.418;2835731.093;A
TRACK;1.4.27-4;-16.38130753;-71.56075459;-1938697.743;2835781.359;A
TRACK;1.4.27-4;-16.38125873;-71.5609947;-1938688.994;2835754.77;A
TRACK;1.4.27-4;-16.38221432;-71.56126592;-1938797.82;2835711.58;A
TRACK;1.4.27-4;-16.38226808;-71.56138375;-1938802.653;2835697.519;A
TRACK;1.4.27-4;-16.38262966;-71.56267121;-1938828.94;2835546.841;A
TRACK;1.4.27-4;-16.38282766;-71.56262415;-1938852.787;2835549.599;A
TRACK;1.4.27-5; ; ;-1.516416327;20763369.87;A
TRACK;1.4.27-5;-16.38251239;-71.56111572;-1938834.716;2835724.729;A
TRACK;1.4.27-5;-16.38329057;-71.56121421;-1938924.875;2835703.43;A
TRACK;1.4.27-5;-16.38330891;-71.56102937;-1938929.352;2835724.149;A
TRACK;1.4.27-5;-16.38246402;-71.56086511;-1938832.184;2835753.772;A
TRACK;1.4.27-5;-16.38170703;-71.56064371;-1938746.058;2835788.73;A
TRACK;1.4.27-5;-16.38180359;-71.56015555;-1938763.534;2835842.821;A
TRACK;1.4.27-5;-16.38137284;-71.56009485;-1938713.705;2835855.312;A
TRACK;1.4.27-5;-16.38130338;-71.56071778;-1938697.719;2835785.587;A
TRACK;1.4.27-5;-16.3824124;-71.56103409;-1938823.997;2835735.286;A
TRACK;1.4.27-6; ; ;-1.516416327;20763369.87;A
TRACK;1.4.27-6;-16.38332531;-71.56093309;-1938932.488;2835734.851;A
TRACK;1.4.27-6;-16.38335578;-71.56078059;-1938937.984;2835751.745;A
TRACK;1.4.27-6;-16.38333005;-71.56065046;-1938936.596;2835766.834;A
TRACK;1.4.27-6;-16.38325629;-71.56038244;-1938931.303;2835798.183;A
TRACK;1.4.27-6;-16.38184949;-71.56017954;-1938768.623;2835839.503;A
TRACK;1.4.27-6;-16.38179746;-71.56058723;-1938757.389;2835793.957;A
TRACK;1.4.27-6;-16.38213223;-71.56068961;-1938795.422;2835777.991;A
TRACK;1.4.27-7; ; ;-1.516416327;20763369.87;A
TRACK;1.4.27-7;-16.38344345;-71.56071523;-1938949.102;2835758.014;A
TRACK;1.4.27-7;-16.38341169;-71.56105356;-1938941.119;2835720.068;A
TRACK;1.4.27-7;-16.3837212;-71.56107198;-1938977.24;2835713.95;A
TRACK;1.4.27-7;-16.38362185;-71.56041162;-1938973.871;2835790.115;A
TRACK;1.4.27-7;-16.38366581;-71.55997087;-1938984.573;2835839.515;A
TRACK;1.4.27-7;-16.3817782;-71.55969491;-1938766.341;2835895.38;A
TRACK;1.4.27-7;-16.38172304;-71.55940651;-1938763.488;2835928.797;A
