ident;lat;long;y_proj;x_proj;ingreso_economico
1.10.54-1; ; ;-1.516416327;20763369.87;A
1.10.54-1;-16.40205581;-71.51795358;-1941673.735;2840363.857;A
1.10.54-1;-16.40245299;-71.51824168;-1941716.76;2840325.999;A
1.10.54-1;-16.40236702;-71.51835367;-1941705.249;2840314.423;A
1.10.54-1;-16.4023205;-71.51832356;-1941700.164;2840318.445;A
1.10.54-1;-16.40236124;-71.51826651;-1941705.669;2840324.382;A
1.10.54-1;-16.40202473;-71.51800361;-1941669.453;2840358.59;A
1.10.54-1;-16.40177504;-71.51836361;-1941635.581;2840321.03;A
1.10.54-1;-16.40218399;-71.51863989;-1941680.137;2840284.359;A
1.10.54-1;-16.40212334;-71.51873305;-1941671.838;2840274.588;A
1.10.54-1;-16.40174867;-71.51845562;-1941631.322;2840310.942;A
1.10.54-1;-16.40111453;-71.51927561;-1941546.486;2840226.245;A
1.10.54-1;-16.4013061;-71.51947453;-1941566.483;2840201.187;A
1.10.54-1;-16.4014627;-71.51962557;-1941582.974;2840182.014;A
1.10.54-1;-16.40163481;-71.51984946;-1941600.37;2840154.378;A
1.10.54-1;-16.40176166;-71.52001102;-1941613.234;2840134.401;A
1.10.54-1;-16.40202445;-71.52020628;-1941641.642;2840108.827;A
1.10.54-1;-16.40236094;-71.5204858;-1941677.646;2840072.736;A
1.10.54-1;-16.40246401;-71.52053303;-1941689.159;2840066.033;A
1.10.54-1;-16.40266329;-71.52014068;-1941717.517;2840107.919;A
1.10.54-1;-16.40293076;-71.51985985;-1941752.478;2840136.269;A
1.10.54-1;-16.40306088;-71.5196607;-1941770.276;2840157.15;A
1.10.54-1;-16.40310013;-71.51951035;-1941776.783;2840173.686;A
1.10.54-1;-16.40318706;-71.5194217;-1941788.113;2840182.603;A
1.10.54-1;-16.40329083;-71.51946391;-1941799.771;2840176.46;A
1.10.54-1;-16.40333251;-71.51956266;-1941803.423;2840164.719;A
1.10.54-1;-16.40336006;-71.51965039;-1941805.552;2840154.411;A
1.10.54-1;-16.4035171;-71.51986036;-1941821.352;2840128.55;A
1.10.54-1;-16.40387407;-71.51961726;-1941866.353;2840151.452;A
1.10.54-1;-16.40360853;-71.51908109;-1941841.92;2840215.718;A
1.10.54-1;-16.40344624;-71.51865656;-1941828.21;2840265.977;A
1.10.54-1;-16.40323465;-71.51876921;-1941801.932;2840255.968;A
1.10.54-1;-16.4029562;-71.51908679;-1941765.217;2840223.595;A
1.10.54-1;-16.40243001;-71.519887;-1941693.311;2840139.732;A
1.10.54-1;-16.40187247;-71.51957136;-1941631.795;2840182.807;A
1.10.54-1;-16.40287471;-71.51813168;-1941767.689;2840332.962;A
1.10.54-1;-16.40226766;-71.51769422;-1941701.893;2840390.498;A
1.10.54-2; ; ;-1.516416327;20763369.87;A
1.10.54-2;-16.40201206;-71.51950779;-1941648.995;2840188.192;A
1.10.54-2;-16.40220788;-71.51970323;-1941669.534;2840163.472;A
1.10.54-2;-16.40240141;-71.51982042;-1941690.791;2840147.655;A
1.10.54-2;-16.40272786;-71.51922497;-1941736.65;2840210.909;A
1.10.54-2;-16.40311971;-71.51873441;-1941788.869;2840261.416;A
1.10.54-2;-16.40334186;-71.51851846;-1941817.69;2840283;A
1.10.54-2;-16.40295631;-71.51820869;-1941776.304;2840323.163;A
1.10.54-3; ; ;-1.516416327;20763369.87;A
1.10.54-3;-16.40462881;-71.52136605;-1941932.96;2839943.294;A
1.10.54-3;-16.4043047;-71.52093467;-1941900.326;2839996.443;A
1.10.54-3;-16.4041697;-71.52110701;-1941882.294;2839978.665;A
1.10.54-3;-16.40398286;-71.52105293;-1941861.027;2839987.238;A
1.10.54-3;-16.40376712;-71.52093649;-1941837.152;2840003.26;A
1.10.54-3;-16.40366411;-71.52073801;-1941827.554;2840027.112;A
1.10.54-3;-16.40388195;-71.52042412;-1941857.103;2840059.858;A
1.10.54-3;-16.40350781;-71.51998415;-1941818.7;2840114.635;A
1.10.54-3;-16.40292839;-71.52086489;-1941739.526;2840022.337;A
1.10.54-3;-16.40415725;-71.52174761;-1941872.753;2839906.19;A
1.10.54-4; ; ;-1.516416327;20763369.87;A
1.10.54-4;-16.40465241;-71.52148252;-1941934.263;2839929.78;A
1.10.54-4;-16.40428015;-71.52183063;-1941886.144;2839895.172;A
1.10.54-4;-16.40456941;-71.52215639;-1941916.015;2839854.455;A
1.10.54-4;-16.40528161;-71.52156006;-1942007.199;2839912.767;A
1.10.54-4;-16.40492033;-71.52085725;-1941973.622;2839997.179;A
1.10.54-4;-16.40458155;-71.52043425;-1941939.159;2840049.569;A
1.10.54-4;-16.40395788;-71.51972208;-1941874.876;2840138.47;A
1.10.54-4;-16.4035602;-71.5199275;-1941825.569;2840120.374;A
1.10.54-4;-16.40471125;-71.52131002;-1941943.351;2839948.571;A
1.10.54-5; ; ;-1.516416327;20763369.87;A
1.10.54-5;-16.40350173;-71.51839796;-1941837.99;2840294.575;A
1.10.54-5;-16.40375912;-71.5186789;-1941864.683;2840259.356;A
1.10.54-5;-16.40360127;-71.51802932;-1941854.333;2840335.075;A
1.10.54-5;-16.40323517;-71.51730438;-1941820.469;2840422.062;A
1.10.54-5;-16.40317328;-71.51665567;-1941821.381;2840496.429;A
1.10.54-5;-16.40313346;-71.51657183;-1941817.76;2840506.458;A
1.10.54-5;-16.40240937;-71.51751059;-1941720.857;2840409.469;A
1.10.54-5;-16.40342706;-71.51825977;-1941830.961;2840311.221;A
1.10.55-1; ; ;-1.516416327;20763369.87;A
1.10.55-1;-16.40024875;-71.52233383;-1941406.22;2839890.774;A
1.10.55-1;-16.4006785;-71.52183608;-1941462.979;2839941.603;A
1.10.55-1;-16.40095406;-71.52135919;-1941501.362;2839992.078;A
1.10.55-1;-16.40169844;-71.52012926;-1941604.316;2840121.82;A
1.10.55-1;-16.40142244;-71.51972933;-1941576.936;2840170.774;A
1.10.55-1;-16.40106454;-71.51939937;-1941539.052;2840212.865;A
1.10.55-1;-16.3995429;-71.52161028;-1941332.423;2839982.039;A
1.10.55-2; ; ;-1.516416327;20763369.87;A
1.10.55-2;-16.40093084;-71.5224872;-1941484.413;2839864.475;A
1.10.55-2;-16.40101711;-71.52227286;-1941497.249;2839887.652;A
1.10.55-2;-16.40131208;-71.52181982;-1941537.612;2839935.171;A
1.10.55-2;-16.4015164;-71.5215582;-1941564.914;2839962.167;A
1.10.55-2;-16.40173529;-71.52143799;-1941592.142;2839972.939;A
1.10.55-2;-16.4019769;-71.52110886;-1941624.675;2840007.103;A
1.10.55-2;-16.40176471;-71.52103838;-1941600.638;2840017.866;A
1.10.55-2;-16.40154667;-71.52100156;-1941575.487;2840024.89;A
1.10.55-2;-16.40119756;-71.5210972;-1941533.271;2840018.605;A
1.10.55-2;-16.40097421;-71.52140266;-1941503.181;2839986.886;A
1.10.55-2;-16.40065551;-71.52205365;-1941457.535;2839917.233;A
1.10.55-2;-16.40035922;-71.52236884;-1941418.755;2839885.362;A
1.10.55-2;-16.40065542;-71.52278645;-1941448.286;2839834.14;A
1.10.55-3; ; ;-1.516416327;20763369.87;A
1.10.55-3;-16.40141062;-71.52093744;-1941560.314;2840033.938;A
1.10.55-3;-16.40161876;-71.52095141;-1941584.589;2840029.635;A
1.10.55-3;-16.40184422;-71.52097695;-1941610.752;2840023.793;A
