ident;lat;long;y_proj;x_proj;ingreso_economico
1.17.4-1; ; ;-1.516416327;20763369.87;B
1.17.4-1;-16.45721915;-71.4940149;-1948456.814;2842355.644;B
1.17.4-1;-16.45708293;-71.49365322;-1948445.392;2842398.435;B
1.17.4-1;-16.45705147;-71.49337669;-1948445.198;2842430.199;B
1.17.4-1;-16.45699467;-71.49320095;-1948440.75;2842450.867;B
1.17.4-1;-16.45695357;-71.49302167;-1948438.193;2842471.731;B
1.17.4-1;-16.45684646;-71.49269016;-1948429.809;2842510.72;B
1.17.4-1;-16.45635929;-71.49210542;-1948379.98;2842583.406;B
1.17.4-1;-16.45628241;-71.4921034;-1948370.974;2842584.644;B
1.17.4-1;-16.45636152;-71.49253485;-1948374.803;2842534.692;B
1.17.4-1;-16.45646327;-71.49281782;-1948383.173;2842501.277;B
1.17.4-1;-16.45661696;-71.49300129;-1948398.906;2842478.46;B
1.17.4-1;-16.45671509;-71.49319069;-1948408.035;2842455.7;B
1.17.4-1;-16.45679968;-71.49340334;-1948415.28;2842430.482;B
1.17.4-1;-16.45675979;-71.49357088;-1948408.471;2842412.011;B
1.17.4-1;-16.45686046;-71.49366335;-1948419.127;2842400.207;B
1.17.4-1;-16.45707701;-71.49412122;-1948438.769;2842345.457;B
1.17.4-2; ; ;-1.516416327;20763369.87;B
1.17.4-2;-16.45693343;-71.49388363;-1948424.91;2842374.276;B
1.17.4-2;-16.45683819;-71.4936986;-1948416.064;2842396.503;B
1.17.4-2;-16.45674578;-71.49360293;-1948406.419;2842408.562;B
1.17.4-2;-16.45661679;-71.49372404;-1948389.731;2842396.525;B
1.17.4-2;-16.45679012;-71.49399634;-1948406.646;2842363.379;B
1.17.4-2;-16.45666191;-71.49407427;-1948390.596;2842356.227;B
1.17.4-2;-16.45659456;-71.49407267;-1948382.705;2842357.293;B
1.17.4-2;-16.45649392;-71.49411765;-1948370.31;2842353.515;B
1.17.4-2;-16.45632197;-71.49424435;-1948348.505;2842341.408;B
1.17.4-2;-16.4564771;-71.49447929;-1948363.754;2842312.737;B
1.17.4-2;-16.457059;-71.49414433;-1948436.36;2842343.073;B
1.17.4-3; ; ;-1.516416327;20763369.87;B
1.17.4-3;-16.45624143;-71.49463108;-1948334.145;2842298.622;B
1.17.4-3;-16.45646806;-71.49449888;-1948362.445;2842310.635;B
1.17.4-3;-16.45536595;-71.49301033;-1948251.818;2842493.854;B
1.17.4-3;-16.45501751;-71.49338065;-1948206.192;2842456.444;B
1.17.4-3;-16.4558333;-71.49465822;-1948285.854;2842300.901;B
1.17.4-3;-16.45604268;-71.49466334;-1948310.387;2842297.573;B
1.17.4-4; ; ;-1.516416327;20763369.87;B
1.17.4-4;-16.45553623;-71.49422155;-1948256.483;2842354.305;B
1.17.4-4;-16.4552673;-71.49426404;-1948224.35;2842353.017;B
1.17.4-4;-16.45517589;-71.49427899;-1948213.422;2842352.522;B
1.17.4-4;-16.45509774;-71.49423376;-1948204.813;2842358.675;B
1.17.4-4;-16.45493579;-71.49433064;-1948184.56;2842349.817;B
1.17.4-4;-16.45481769;-71.49437032;-1948170.184;2842346.869;B
1.17.4-4;-16.45478608;-71.49430776;-1948167.262;2842354.375;B
1.17.4-4;-16.45451948;-71.49451589;-1948133.306;2842334.279;B
1.17.4-4;-16.45447255;-71.49456007;-1948127.232;2842329.886;B
1.17.4-4;-16.45431162;-71.49462424;-1948107.513;2842324.723;B
1.17.4-4;-16.45410195;-71.49434687;-1948086.393;2842358.92;B
1.17.4-4;-16.45394593;-71.49444573;-1948066.811;2842349.759;B
1.17.4-4;-16.45422668;-71.49489283;-1948094.133;2842295.388;B
1.17.4-4;-16.45446942;-71.49482456;-1948123.515;2842299.942;B
1.17.4-4;-16.45580935;-71.49466877;-1948282.906;2842300.02;B
1.17.4-5; ; ;-1.516416327;20763369.87;B
1.17.4-5;-16.45410412;-71.49471449;-1948081.993;2842317.214;B
1.17.4-5;-16.45397815;-71.49452301;-1948069.618;2842340.576;B
1.17.4-5;-16.4538346;-71.49465359;-1948051.1;2842327.655;B
1.17.4-5;-16.45372231;-71.49446579;-1948040.286;2842350.419;B
1.17.4-5;-16.45355383;-71.49457746;-1948019.078;2842339.971;B
1.17.4-5;-16.45366323;-71.49474127;-1948029.857;2842319.963;B
1.17.4-5;-16.4534127;-71.49487473;-1947998.735;2842308.121;B
1.17.4-5;-16.45329824;-71.49466091;-1947987.995;2842333.864;B
1.17.4-5;-16.45312473;-71.49477204;-1947966.203;2842323.541;B
1.17.4-5;-16.45326209;-71.49500218;-1947979.426;2842295.649;B
1.17.4-5;-16.45343934;-71.4953177;-1947996.255;2842257.552;B
1.17.4-5;-16.45420486;-71.49489961;-1948091.484;2842294.905;B
1.17.4-6; ; ;-1.516416327;20763369.87;B
1.17.4-6;-16.4531274;-71.49429411;-1947972.568;2842377.69;B
1.17.4-6;-16.45323321;-71.4941334;-1947987.034;2842394.521;B
1.17.4-6;-16.45284655;-71.49354981;-1947948.999;2842465.757;B
1.17.4-6;-16.45254355;-71.49370886;-1947911.387;2842451.702;B
1.17.4-6;-16.45285659;-71.49429966;-1947940.682;2842380.614;B
1.17.4-6;-16.4530247;-71.49458064;-1947956.875;2842346.554;B
1.17.4-6;-16.45314131;-71.4944411;-1947972.341;2842360.843;B
1.17.4-7; ; ;-1.516416327;20763369.87;B
1.17.4-7;-16.45251008;-71.49563511;-1947883.064;2842233.76;B
1.17.4-7;-16.45280944;-71.49554157;-1947919.418;2842240.437;B
1.17.4-7;-16.4530481;-71.49546014;-1947948.488;2842246.537;B
1.17.4-7;-16.45340606;-71.4953185;-1947992.335;2842257.898;B
1.17.4-7;-16.45325995;-71.49503551;-1947978.753;2842291.897;B
1.17.4-7;-16.452832;-71.49519592;-1947926.445;2842279.328;B
1.17.4-7;-16.45279686;-71.49510936;-1947923.413;2842289.602;B
1.17.4-7;-16.45242974;-71.49522504;-1947878.818;2842281.303;B
1.17.4-7;-16.45223833;-71.49517046;-1947857.022;2842290.003;B
1.17.4-7;-16.45201278;-71.49523458;-1947829.712;2842285.693;B
1.17.4-7;-16.45188162;-71.49529518;-1947813.536;2842280.544;B
1.17.4-7;-16.45146903;-71.49542025;-1947763.48;2842271.777;B
1.17.4-7;-16.45159048;-71.49574374;-1947773.653;2842233.51;B
1.17.4-7;-16.45219501;-71.4956927;-1947845.32;2842231.365;B
1.17.4-8; ; ;-1.516416327;20763369.87;B
1.17.4-8;-16.45145486;-71.49541436;-1947761.89;2842272.631;B
1.17.4-8;-16.45154404;-71.49538521;-1947772.736;2842274.766;B
1.17.4-8;-16.45139551;-71.49491894;-1947761.19;2842329.576;B
1.17.4-8;-16.45104391;-71.49506328;-1947718.056;2842317.825;B
1.17.4-8;-16.45082331;-71.49464623;-1947697.419;2842368.001;B
1.17.4-8;-16.45039955;-71.49481158;-1947645.541;2842354.815;B
1.17.4-8;-16.45051717;-71.49500376;-1947656.926;2842331.483;B
1.17.4-8;-16.4508004;-71.49491198;-1947691.363;2842338.173;B
1.17.4-8;-16.4512134;-71.49577644;-1947728.938;2842234.75;B
1.17.4-8;-16.45157713;-71.49574134;-1947772.115;2842233.957;B
1.17.4-9; ; ;-1.516416327;20763369.87;B
1.17.4-9;-16.45053563;-71.49503342;-1947658.719;2842327.879;B
1.17.4-9;-16.45055836;-71.49513535;-1947660.1;2842316.025;B
1.17.4-9;-16.45039196;-71.49517153;-1947640.092;2842314.106;B
1.17.4-9;-16.45010956;-71.49521496;-1947606.365;2842312.888;B
1.17.4-9;-16.45008633;-71.4954462;-1947600.708;2842286.976;B
1.17.4-9;-16.45021365;-71.49548397;-1947615.188;2842281.024;B
1.17.4-9;-16.45041162;-71.49554959;-1947637.615;2842270.987;B
1.17.4-9;-16.45061182;-71.49568058;-1947659.477;2842253.509;B
1.17.4-9;-16.45079989;-71.4958229;-1947679.77;2842234.907;B
1.17.4-9;-16.45098833;-71.49578375;-1947702.404;2842236.874;B
1.17.4-9;-16.45117562;-71.49577183;-1947724.558;2842235.769;B
1.17.4-9;-16.4507956;-71.49493918;-1947690.454;2842335.152;B
1.17.4-11; ; ;-1.516416327;20763369.87;B
1.17.4-11;-16.44990888;-71.49545195;-1947579.788;2842288.651;B
1.17.4-11;-16.45000699;-71.49543822;-1947591.488;2842288.921;B
1.17.4-11;-16.45007515;-71.49544274;-1947599.439;2842287.515;B
1.17.4-11;-16.45009487;-71.49522503;-1947604.511;2842311.938;B
1.17.4-11;-16.44997613;-71.49522118;-1947590.61;2842313.932;B
1.17.4-11;-16.44987821;-71.49519635;-1947579.421;2842318.032;B
1.17.4-11;-16.44969549;-71.4951411;-1947558.654;2842326.694;B
1.17.4-11;-16.44957289;-71.4951511;-1947544.124;2842327.168;B
1.17.4-11;-16.44961666;-71.49536256;-1947546.589;2842302.62;B
1.17.4-11;-16.44970473;-71.49552251;-1947554.912;2842283.331;B
1.17.4-11;-16.44980038;-71.4954928;-1947566.524;2842285.444;B
1.17.4-12; ; ;-1.516416327;20763369.87;B
1.17.4-12;-16.44993727;-71.49479307;-1947591.466;2842362.978;B
1.17.4-12;-16.44988662;-71.49429081;-1947591.873;2842420.585;B
1.17.4-12;-16.44949412;-71.49427046;-1947546.019;2842428.042;B
1.17.4-12;-16.44956692;-71.4950723;-1947544.42;2842336.18;B
1.17.4-12;-16.4497083;-71.49505366;-1947561.266;2842336.438;B
1.17.4-12;-16.44968933;-71.494887;-1947561.147;2842355.582;B
1.17.4-12;-16.44985046;-71.49491016;-1947579.784;2842350.842;B
1.17.4-12;-16.45003354;-71.49492357;-1947601.123;2842346.92;B
1.17.4-12;-16.45021567;-71.49489155;-1947622.926;2842348.161;B
1.17.4-12;-16.45020473;-71.49476653;-1947623.224;2842362.478;B
1.17.4-13; ; ;-1.516416327;20763369.87;B
1.17.4-13;-16.44927133;-71.49441781;-1947517.979;2842414.259;B
1.17.4-13;-16.44944276;-71.49448026;-1947537.329;2842404.93;B
1.17.4-13;-16.44944815;-71.49444396;-1947538.422;2842408.975;B
1.17.4-13;-16.44940468;-71.4943013;-1947535.12;2842425.719;B
1.17.4-13;-16.44916281;-71.49435008;-1947506.088;2842423.361;B
1.17.4-14; ; ;-1.516416327;20763369.87;B
1.17.4-14;-16.44901547;-71.49436726;-1947488.56;2842423.346;B
1.17.4-14;-16.44867618;-71.49444323;-1947447.737;2842419.185;B
1.17.4-14;-16.44856046;-71.49452575;-1947433.097;2842411.347;B
1.17.4-14;-16.44861823;-71.49567805;-1947425.297;2842279.949;B
1.17.4-14;-16.44890169;-71.49563115;-1947459.193;2842281.548;B
1.17.4-15; ; ;-1.516416327;20763369.87;B
1.17.4-15;-16.4498726;-71.49565078;-1947573.008;2842266.586;B
1.17.4-15;-16.44974479;-71.49557876;-1947558.905;2842276.427;B
1.17.4-15;-16.44964891;-71.49548309;-1947548.852;2842288.532;B
1.17.4-15;-16.44956361;-71.49530947;-1947541.029;2842309.335;B
1.17.4-15;-16.44948963;-71.49506146;-1947535.478;2842338.423;B
1.17.4-15;-16.44918613;-71.49516697;-1947498.486;2842330.442;B
1.17.4-15;-16.44924022;-71.49537627;-1947502.191;2842306.003;B
1.17.4-15;-16.44933799;-71.49564567;-1947510.266;2842274.178;B
1.17.4-15;-16.44964896;-71.49593161;-1947543.18;2842237.682;B
1.17.4-15;-16.44980374;-71.49571952;-1947564.049;2842259.696;B
1.17.4-16; ; ;-1.516416327;20763369.87;B
1.17.4-16;-16.45043183;-71.4958462;-1947636.234;2842237.095;B
1.17.4-16;-16.45027661;-71.49576645;-1947619.009;2842248.172;B
1.17.4-16;-16.45001455;-71.49564855;-1947589.714;2842264.977;B
1.17.4-16;-16.44994;-71.49565841;-1947580.831;2842264.837;B
1.17.4-16;-16.44987377;-71.49566866;-1947572.92;2842264.544;B
1.17.4-16;-16.44986399;-71.4957129;-1947571.211;2842259.657;B
1.17.4-16;-16.44989893;-71.49575582;-1947574.772;2842254.333;B
1.17.4-16;-16.4499639;-71.49588244;-1947580.802;2842239.124;B
1.17.4-16;-16.44998427;-71.4959933;-1947581.793;2842226.289;B
1.17.4-16;-16.45002478;-71.49614491;-1947584.632;2842208.569;B
1.17.4-16;-16.45003488;-71.49626369;-1947584.314;2842194.97;B
1.17.4-16;-16.45005922;-71.49639697;-1947585.487;2842179.54;B
1.17.4-16;-16.45008976;-71.49646705;-1947588.189;2842171.195;B
1.17.4-16;-16.45012111;-71.49651679;-1947591.241;2842165.145;B
1.17.4-16;-16.45026454;-71.49631648;-1947610.627;2842185.973;B
1.17.4-16;-16.45044113;-71.49610341;-1947634.071;2842207.812;B
1.17.4-16;-16.45055758;-71.49594987;-1947649.696;2842223.692;B
1.17.4-17; ; ;-1.516416327;20763369.87;B
1.17.4-17;-16.45011657;-71.49653386;-1947590.492;2842163.27;B
