ident;lat;long;y_proj;x_proj;ingreso_economico
1.1.19-1; ; ;-1.516416327;20763369.87;A
1.1.19-1;-16.38191865;-71.53201771;-1939130.97;2839031.884;A
1.1.19-1;-16.38075012;-71.53173867;-1938997.216;2839078.764;A
1.1.19-1;-16.3800037;-71.53175927;-1938909.275;2839086.16;A
1.1.19-1;-16.37837679;-71.53180952;-1938717.53;2839101.674;A
1.1.19-1;-16.37728893;-71.53172362;-1938590.819;2839125.598;A
1.1.19-1;-16.3764463;-71.53105635;-1938500.233;2839212.253;A
1.1.19-1;-16.37638426;-71.53042813;-1938500.852;2839284.305;A
1.1.19-1;-16.37631848;-71.53021762;-1938495.774;2839309.035;A
1.1.19-1;-16.37612548;-71.53016082;-1938473.817;2839317.993;A
1.1.19-1;-16.37583039;-71.53035635;-1938436.691;2839299.667;A
1.1.19-1;-16.3755633;-71.5306117;-1938402.102;2839274.19;A
1.1.19-1;-16.3754351;-71.53074531;-1938385.361;2839260.71;A
1.1.19-1;-16.37536966;-71.53092292;-1938375.439;2839241.42;A
1.1.19-1;-16.37536456;-71.53092185;-1938374.853;2839241.608;A
1.1.19-1;-16.37535182;-71.5311515;-1938370.466;2839215.731;A
1.1.19-1;-16.37533712;-71.53152832;-1938363.997;2839173.189;A
1.1.19-1;-16.37544189;-71.53239273;-1938365.427;2839073.796;A
1.1.19-1;-16.37528892;-71.53258263;-1938345.069;2839054.255;A
1.1.19-1;-16.37385849;-71.53269479;-1938175.624;2839060.18;A
1.1.19-1;-16.37116602;-71.53391838;-1937843.947;2838956.506;A
1.1.19-1;-16.3702374;-71.53323552;-1937743.452;2839046.047;A
1.1.19-1;-16.36978717;-71.53332606;-1937689.424;2839041.645;A
1.1.19-1;-16.37000753;-71.53371239;-1937710.449;2838994.961;A
1.1.19-1;-16.36965108;-71.53371488;-1937668.546;2838999.324;A
1.1.19-1;-16.36878079;-71.53327807;-1937571.807;2839060.2;A
1.1.19-1;-16.36687356;-71.53317429;-1937349.07;2839096.818;A
1.1.19-1;-16.36564338;-71.53295833;-1937207.276;2839137.337;A
1.1.19-1;-16.36348648;-71.53335626;-1936948.898;2839120.303;A
1.1.19-1;-16.36119773;-71.53422489;-1936669.114;2839051.598;A
1.1.19-1;-16.35793534;-71.53422856;-1936285.83;2839093.662;A
1.1.19-1;-16.35512004;-71.535038;-1935944.938;2839038.511;A
1.1.19-1;-16.3519648;-71.53476853;-1935577.673;2839110.143;A
1.1.19-1;-16.35099155;-71.5358868;-1935449.292;2838995.976;A
1.1.19-1;-16.35146698;-71.53610018;-1935502.46;2838965.588;A
1.1.19-1;-16.35227683;-71.53619765;-1935596.369;2838943.992;A
1.1.19-1;-16.35421257;-71.5369352;-1935814.494;2838835.148;A
1.1.19-1;-16.35595163;-71.53573508;-1936033.865;2838948.625;A
1.1.19-1;-16.35723741;-71.53551017;-1936187.733;2838957.394;A
1.1.19-1;-16.35726146;-71.53551555;-1936190.491;2838956.471;A
1.1.19-1;-16.35801804;-71.53583476;-1936275.355;2838910.418;A
1.1.19-1;-16.35877969;-71.53661678;-1936354.996;2838811.81;A
1.1.19-1;-16.36416801;-71.53654294;-1936988.887;2838750.022;A
1.1.19-1;-16.36604399;-71.5362167;-1937213.359;2838762.587;A
1.1.19-1;-16.3673534;-71.53539678;-1937377.485;2838838.517;A
1.1.19-1;-16.37014157;-71.5350239;-1937709.698;2838844.482;A
1.1.19-1;-16.37016716;-71.53500717;-1937712.915;2838846.045;A
1.1.19-1;-16.37107063;-71.53515116;-1937817.233;2838817.945;A
1.1.19-1;-16.37152555;-71.53519086;-1937870.173;2838807.514;A
1.1.19-1;-16.37260846;-71.5347016;-1938003.536;2838848.888;A
1.1.19-1;-16.37387238;-71.5336185;-1938165.634;2838955.246;A
1.1.19-1;-16.37389301;-71.53360479;-1938168.23;2838956.531;A
1.1.19-1;-16.37391879;-71.53358765;-1938171.474;2838958.138;A
1.1.19-1;-16.37503596;-71.53302415;-1938309.798;2839007.481;A
1.1.19-1;-16.37679311;-71.53350485;-1938510.16;2838930.065;A
1.1.19-1;-16.37775132;-71.53322887;-1938626.192;2838948.871;A
1.1.19-1;-16.37819111;-71.53344991;-1938675.072;2838918.071;A
1.1.19-1;-16.3782375;-71.53346536;-1938680.327;2838915.714;A
1.1.19-1;-16.38014733;-71.53423908;-1938894.935;2838803.076;A
1.1.19-1;-16.38187228;-71.53450204;-1939094.252;2838750.768;A
1.1.19-1;-16.38266136;-71.53472052;-1939184.193;2838715.705;A
1.1.19-1;-16.38352948;-71.53505448;-1939281.965;2838666.516;A
1.1.19-1;-16.38363158;-71.53510305;-1939293.347;2838659.677;A
1.1.19-1;-16.38364191;-71.53466247;-1939300.106;2838709.503;A
1.1.19-1;-16.38372344;-71.53464022;-1939309.963;2838710.962;A
1.1.19-1;-16.38427188;-71.53269896;-1939398.825;2838923.943;A
1.1.19-1;-16.38385741;-71.53262652;-1939351.049;2838937.562;A
1.1.19-1;-16.38311159;-71.53253178;-1939264.632;2838958.032;A
1.1.19-1;-16.38249699;-71.53223824;-1939196.131;2838999.334;A
1.1.116-1; ; ;-1.516416327;20763369.87;A
1.1.116-1;-16.38907189;-71.5293115;-1940005.332;2839245.455;A
1.1.116-1;-16.38938753;-71.52923455;-1940043.38;2839250.064;A
1.1.116-1;-16.38967361;-71.52921552;-1940077.226;2839248.488;A
1.1.116-1;-16.38989845;-71.52925647;-1940103.122;2839240.911;A
1.1.116-1;-16.39023758;-71.52936863;-1940141.546;2839223.768;A
1.1.116-1;-16.39063831;-71.52954138;-1940186.444;2839198.95;A
1.1.116-1;-16.3906967;-71.52937797;-1940195.361;2839216.717;A
1.1.116-1;-16.39072741;-71.52914616;-1940201.889;2839242.603;A
1.1.116-1;-16.39076375;-71.52889554;-1940209.315;2839270.548;A
1.1.116-1;-16.39077374;-71.52866084;-1940213.445;2839297.032;A
1.1.116-1;-16.39076574;-71.52859514;-1940213.332;2839304.586;A
1.1.116-1;-16.39070283;-71.52851243;-1940206.985;2839314.786;A
1.1.116-1;-16.39049939;-71.52869658;-1940180.767;2839296.559;A
1.1.116-1;-16.39024888;-71.52879143;-1940150.144;2839289.072;A
1.1.116-1;-16.39012055;-71.52880335;-1940134.92;2839289.394;A
1.1.116-1;-16.38995322;-71.52872729;-1940116.221;2839300.203;A
1.1.116-1;-16.38967148;-71.52858277;-1940084.945;2839320.267;A
1.1.116-1;-16.38946848;-71.52847232;-1940062.49;2839335.441;A
1.1.116-1;-16.38937667;-71.52846516;-1940051.795;2839337.45;A
1.1.116-1;-16.38928095;-71.52854364;-1940039.563;2839329.8;A
1.1.116-1;-16.38921756;-71.52862975;-1940031.031;2839320.862;A
1.1.116-1;-16.38913182;-71.52876052;-1940019.313;2839307.153;A
1.1.116-1;-16.38900304;-71.52880339;-1940003.645;2839303.972;A
1.1.116-1;-16.38881231;-71.52886766;-1939980.43;2839299.172;A
1.1.116-1;-16.38855888;-71.52897589;-1939949.297;2839290.207;A
1.1.116-1;-16.38884527;-71.5294239;-1939977.296;2839235.666;A
1.1.116-2; ; ;-1.516416327;20763369.87;A
1.1.116-2;-16.38857274;-71.52908642;-1939949.532;2839277.492;A
1.1.116-2;-16.38837558;-71.52924184;-1939924.414;2839262.439;A
1.1.116-2;-16.38819046;-71.52941434;-1939900.496;2839245.294;A
1.1.116-2;-16.38799521;-71.52960372;-1939875.175;2839226.367;A
1.1.116-2;-16.38783575;-71.52972044;-1939854.974;2839215.211;A
