ident;lat;long;y_proj;x_proj;ingreso_economico
1.3.16-1; ; ;-1.516416327;20763369.87;A
1.3.16-1;-16.38411175;-71.54917215;-1939172.728;2837058.103;A
1.3.16-1;-16.38418683;-71.54930646;-1939179.857;2837041.895;A
1.3.16-1;-16.38433074;-71.54919672;-1939198.14;2837052.464;A
1.3.16-1;-16.3841702;-71.54895863;-1939182.278;2837081.551;A
1.3.16-1;-16.38399307;-71.54910377;-1939159.648;2837067.402;A
1.3.16-11; ; ;-1.516416327;20763369.87;A
1.3.16-11;-16.38360505;-71.54906124;-1939114.607;2837077.28;A
1.3.16-11;-16.38394208;-71.54908689;-1939153.871;2837069.981;A
1.3.16-11;-16.38395728;-71.54890362;-1939157.962;2837090.563;A
1.3.16-11;-16.38361147;-71.54889328;-1939117.473;2837096.241;A
1.3.16-12; ; ;-1.516416327;20763369.87;A
1.3.16-12;-16.38361105;-71.54881555;-1939118.402;2837105.06;A
1.3.16-12;-16.38453014;-71.54880275;-1939226.517;2837094.537;A
1.3.16-12;-16.38445847;-71.54857899;-1939220.913;2837120.841;A
1.3.16-12;-16.38429898;-71.54862385;-1939201.615;2837117.833;A
1.3.16-12;-16.38361062;-71.54864738;-1939120.466;2837124.134;A
1.3.16-20; ; ;-1.516416327;20763369.87;A
1.3.16-20;-16.38445813;-71.5493641;-1939210.998;2837031.826;A
1.3.16-20;-16.38457034;-71.54915459;-1939226.813;2837054.119;A
1.3.16-20;-16.3844878;-71.54908066;-1939218.049;2837063.577;A
1.3.16-20;-16.3843821;-71.54917513;-1939204.444;2837054.242;A
1.3.16-20;-16.38421584;-71.54932612;-1939183.017;2837039.289;A
1.3.16-20;-16.3842702;-71.54947874;-1939187.483;2837021.276;A
1.3.8-6; ; ;-1.516416327;20763369.87;A
1.3.8-6;-16.38366612;-71.55077402;-1939100.239;2836882.278;A
1.3.8-6;-16.3836742;-71.5507151;-1939101.929;2836888.854;A
1.3.8-6;-16.38355329;-71.55051119;-1939090.292;2836913.55;A
1.3.8-6;-16.38291703;-71.55043552;-1939016.51;2836930.418;A
1.3.8-6;-16.38292681;-71.55046859;-1939017.244;2836926.541;A
1.3.8-6;-16.38326975;-71.55124525;-1939047.757;2836834.011;A
1.3.8-6;-16.38329166;-71.55126249;-1939050.114;2836831.77;A
1.3.8-6;-16.38349624;-71.55125906;-1939074.185;2836829.494;A
1.3.8-6;-16.38339592;-71.55106985;-1939064.782;2836852.255;A
1.3.8-6;-16.38371457;-71.55089598;-1939104.396;2836867.818;A
1.3.8-7; ; ;-1.516416327;20763369.87;A
1.3.8-7;-16.38365079;-71.55053649;-1939101.425;2836909.411;A
1.3.8-7;-16.38374971;-71.55067908;-1939111.252;2836891.954;A
1.3.8-7;-16.3838245;-71.5507212;-1939119.506;2836886.204;A
1.3.8-7;-16.38420537;-71.5505855;-1939165.948;2836896.629;A
