ident;lat;long;y_proj;x_proj;ingreso_economico
1.18.3-8; ; ;-1.516416327;20763369.87;A
1.18.3-8;-16.43846632;-71.57571377;-1945222.313;2833340.634;A
1.18.3-8;-16.43838661;-71.57566787;-1945213.531;2833346.875;A
1.18.3-8;-16.43858201;-71.57506439;-1945244.077;2833412.717;A
1.18.3-8;-16.43846358;-71.57503472;-1945230.544;2833417.625;A
1.18.3-8;-16.43819057;-71.5750963;-1945197.708;2833414.21;A
1.18.3-8;-16.43814525;-71.57510196;-1945192.315;2833414.16;A
1.18.3-8;-16.4376995;-71.57508913;-1945140.131;2833421.43;A
1.18.3-8;-16.43762814;-71.57527161;-1945129.453;2833401.682;A
1.18.3-8;-16.43769744;-71.57530923;-1945137.117;2833396.514;A
1.18.3-8;-16.43779885;-71.57538827;-1945148.03;2833386.233;A
1.18.3-8;-16.43776901;-71.57560739;-1945141.767;2833361.79;A
1.18.3-8;-16.4384511;-71.57599923;-1945216.93;2833308.481;A
1.18.3-9; ; ;-1.516416327;20763369.87;A
1.18.3-9;-16.43743179;-71.57579897;-1945099.753;2833344.479;A
1.18.3-9;-16.43765983;-71.57609144;-1945122.849;2833308.357;A
1.18.3-9;-16.43776178;-71.5761126;-1945134.556;2833304.628;A
1.18.3-9;-16.43786445;-71.57607832;-1945147.044;2833307.173;A
1.18.3-9;-16.4378864;-71.57601163;-1945150.46;2833314.445;A
1.18.3-9;-16.43788921;-71.57596735;-1945151.349;2833319.427;A
1.18.3-9;-16.43799522;-71.57580068;-1945165.896;2833336.931;A
1.18.3-9;-16.43772755;-71.57563131;-1945136.597;2833359.619;A
1.18.3-11; ; ;-1.516416327;20763369.87;A
1.18.3-11;-16.43475797;-71.57365322;-1944812.783;2833622.551;A
1.18.3-11;-16.43463587;-71.57352076;-1944800.113;2833639.156;A
1.18.3-11;-16.43449238;-71.57341002;-1944784.658;2833653.579;A
1.18.3-11;-16.4343054;-71.57370545;-1944758.979;2833622.537;A
1.18.3-11;-16.43457985;-71.57385911;-1944789.274;2833601.541;A
1.18.3-12; ; ;-1.516416327;20763369.87;A
1.18.3-12;-16.43107354;-71.57092793;-1944414.424;2833979.5;A
1.18.3-12;-16.43066402;-71.57071797;-1944368.977;2834008.641;A
1.18.3-12;-16.43034898;-71.57053844;-1944334.241;2834033.099;A
1.18.3-12;-16.4303868;-71.57094486;-1944333.564;2833986.542;A
1.18.3-12;-16.43143574;-71.5711777;-1944453.815;2833946.466;A
1.18.3-12;-16.43159598;-71.57195306;-1944462.868;2833856.497;A
1.18.3-12;-16.43186832;-71.57175227;-1944497.379;2833875.701;A
1.18.3-12;-16.43181257;-71.57150454;-1944493.952;2833904.506;A
1.18.3-12;-16.43197709;-71.57151275;-1944513.169;2833901.428;A
1.18.3-12;-16.43200708;-71.57138171;-1944518.341;2833915.888;A
1.18.3-12;-16.43167991;-71.5711854;-1944482.392;2833942.407;A
1.18.3-13; ; ;-1.516416327;20763369.87;A
1.18.3-13;-16.43107766;-71.57065205;-1944418.383;2834010.714;A
1.18.3-13;-16.43085836;-71.57049781;-1944394.571;2834031.056;A
1.18.3-13;-16.43073551;-71.57067648;-1944377.895;2834012.41;A
1.18.3-13;-16.43097244;-71.57082157;-1944403.891;2833992.873;A
1.18.3-14; ; ;-1.516416327;20763369.87;A
1.18.3-14;-16.43032137;-71.57053084;-1944331.094;2834034.32;A
1.18.3-14;-16.42991984;-71.57034725;-1944286.252;2834060.366;A
1.18.3-14;-16.42952322;-71.57020959;-1944241.408;2834081.145;A
1.18.3-14;-16.42951619;-71.57040657;-1944238.101;2834058.911;A
1.18.3-14;-16.42992485;-71.57052699;-1944284.577;2834039.93;A
1.18.3-14;-16.42996561;-71.57078256;-1944286.145;2834010.432;A
1.18.3-14;-16.43034907;-71.57089972;-1944329.702;2833992.15;A
1.18.3-15; ; ;-1.516416327;20763369.87;A
1.18.3-15;-16.42952;-71.57131736;-1944227.08;2833955.633;A
1.18.3-15;-16.42945372;-71.57274947;-1944201.265;2833794.184;A
1.18.3-15;-16.42973047;-71.57278054;-1944233.374;2833787.052;A
1.18.3-15;-16.42964151;-71.5713507;-1944240.93;2833950.269;A
1.18.3-16; ; ;-1.516416327;20763369.87;A
1.18.3-16;-16.42896338;-71.57034168;-1944173.998;2834073.478;A
1.18.3-16;-16.42904862;-71.57059194;-1944180.858;2834044.001;A
1.18.3-16;-16.42950022;-71.57073295;-1944232.116;2834022.127;A
1.18.3-16;-16.42946342;-71.57047;-1944231.105;2834052.41;A
1.18.3-16;-16.42946255;-71.57017266;-1944234.748;2834086.122;A
1.18.3-16;-16.42905928;-71.57000564;-1944189.493;2834110.314;A
1.18.3-17; ; ;-1.516416327;20763369.87;A
1.18.3-17;-16.4290545;-71.57000189;-1944188.978;2834110.8;A
1.18.3-17;-16.42893854;-71.56995411;-1944175.962;2834117.729;A
1.18.3-17;-16.42869468;-71.56991914;-1944147.764;2834124.874;A
1.18.3-17;-16.42857681;-71.57015529;-1944130.948;2834099.647;A
1.18.3-17;-16.42860765;-71.57170249;-1944115.089;2833923.886;A
1.18.3-17;-16.42877519;-71.57169656;-1944134.839;2833922.371;A
1.18.3-17;-16.42874351;-71.57018635;-1944150.134;2834093.951;A
1.18.3-17;-16.42885945;-71.57013868;-1944164.349;2834097.841;A
1.18.3-17;-16.42901204;-71.57014383;-1944182.204;2834095.267;A
1.18.3-18; ; ;-1.516416327;20763369.87;A
1.18.3-18;-16.42854023;-71.57320027;-1944088.315;2833755.008;A
1.18.3-18;-16.42835979;-71.57319623;-1944067.176;2833757.819;A
1.18.3-18;-16.42825607;-71.57316248;-1944055.42;2833762.998;A
1.18.3-18;-16.42824278;-71.57320421;-1944053.334;2833758.442;A
1.18.3-18;-16.42825472;-71.57339172;-1944052.375;2833737.033;A
1.18.3-18;-16.42881981;-71.57348547;-1944117.556;2833719.037;A
1.18.3-18;-16.42877023;-71.57185531;-1944132.258;2833904.444;A
1.18.3-18;-16.42860667;-71.57184139;-1944113.225;2833908.155;A
1.18.3-18;-16.42860629;-71.57314658;-1944096.748;2833760.232;A
1.18.3-19; ; ;-1.516416327;20763369.87;A
1.18.3-19;-16.42831727;-71.57310136;-1944063.376;2833769.126;A
1.18.3-19;-16.42840717;-71.57312422;-1944073.646;2833765.363;A
1.18.3-19;-16.42853794;-71.57312434;-1944089.001;2833763.644;A
1.18.3-19;-16.42851502;-71.57196791;-1944100.869;2833895.011;A
1.18.3-19;-16.42818946;-71.57197449;-1944062.554;2833898.512;A
1.18.3-19;-16.42819637;-71.57297854;-1944050.725;2833784.625;A
1.18.3-19;-16.42827948;-71.57305443;-1944059.529;2833774.938;A
1.18.3-20; ; ;-1.516416327;20763369.87;A
1.18.3-20;-16.4281778;-71.57094003;-1944074.21;2834015.91;A
1.18.3-20;-16.42820565;-71.57144397;-1944071.135;2833958.43;A
1.18.3-20;-16.42850472;-71.57145065;-1944106.173;2833953.772;A
1.18.3-20;-16.42850158;-71.57073257;-1944114.845;2834035.199;A
1.18.3-21; ; ;-1.516416327;20763369.87;A
1.18.3-21;-16.42814574;-71.57235307;-1944052.653;2833856.174;A
1.18.3-21;-16.42811911;-71.5719789;-1944054.237;2833898.93;A
1.18.3-21;-16.42746788;-71.5724399;-1943971.956;2833855.176;A
1.18.3-21;-16.42767344;-71.57267727;-1943993.107;2833825.592;A
1.18.3-22; ; ;-1.516416327;20763369.87;A
1.18.3-22;-16.42812616;-71.57186988;-1944056.437;2833911.195;A
1.18.3-22;-16.42812141;-71.57148604;-1944060.712;2833954.761;A
1.18.3-22;-16.42725735;-71.57210821;-1943951.408;2833895.515;A
1.18.3-22;-16.42743503;-71.57236773;-1943969.007;2833863.784;A
1.18.3-23; ; ;-1.516416327;20763369.87;A
1.18.3-23;-16.42812635;-71.57140909;-1944062.261;2833963.418;A
1.18.3-23;-16.4281103;-71.57101815;-1944065.298;2834007.937;A
1.18.3-23;-16.42734513;-71.57156964;-1943968.496;2833955.412;A
1.18.3-23;-16.42752564;-71.57181547;-1943986.601;2833925.195;A
1.18.3-24; ; ;-1.516416327;20763369.87;A
1.18.3-24;-16.42741868;-71.57102836;-1943983.949;2834015.801;A
1.18.3-24;-16.42682175;-71.57144302;-1943908.628;2833976.591;A
1.18.3-24;-16.42699249;-71.57171257;-1943925.285;2833943.813;A
1.18.3-24;-16.42761124;-71.57128279;-1944003.359;2833984.452;A
1.18.3-25; ; ;-1.516416327;20763369.87;A
1.18.3-25;-16.42811161;-71.5705251;-1944071.661;2834063.802;A
1.18.3-25;-16.42769489;-71.57082346;-1944018.966;2834035.422;A
1.18.3-25;-16.42787662;-71.5710837;-1944037.031;2834003.556;A
1.18.3-25;-16.42812391;-71.57090527;-1944068.318;2834020.552;A
1.18.3-26; ; ;-1.516416327;20763369.87;A
1.18.3-26;-16.42719942;-71.57066909;-1943962.723;2834059.382;A
1.18.3-26;-16.426602;-71.57110233;-1943887.11;2834018.072;A
1.18.3-26;-16.42678705;-71.57136741;-1943905.504;2833985.613;A
1.18.3-26;-16.42738012;-71.57095184;-1943980.384;2834024.978;A
1.18.3-27; ; ;-1.516416327;20763369.87;A
1.18.3-27;-16.42822137;-71.56994584;-1944091.844;2834128.023;A
1.18.3-27;-16.42726647;-71.57062435;-1943971.161;2834063.578;A
1.18.3-27;-16.42744462;-71.57088801;-1943988.762;2834031.37;A
1.18.3-27;-16.42846677;-71.57017098;-1944117.828;2834099.304;A
1.18.3-28; ; ;-1.516416327;20763369.87;A
1.18.3-28;-16.42816155;-71.56989553;-1944085.453;2834134.506;A
1.18.3-28;-16.42789783;-71.56968842;-1944057.091;2834161.421;A
1.18.3-28;-16.42745931;-71.56998488;-1944001.859;2834133.541;A
1.18.3-28;-16.42754197;-71.57033384;-1944007.172;2834092.911;A
1.18.3-30; ; ;-1.516416327;20763369.87;A
1.18.3-30;-16.43951864;-71.57643439;-1945336.812;2833245.233;A
1.18.3-30;-16.4393084;-71.57668267;-1945308.997;2833219.839;A
1.18.3-30;-16.43946285;-71.57679089;-1945325.771;2833205.559;A
1.18.3-30;-16.43953541;-71.57682972;-1945333.803;2833200.212;A
1.18.3-30;-16.43965442;-71.57687167;-1945347.249;2833193.905;A
1.18.3-30;-16.44041524;-71.57724866;-1945431.844;2833141.253;A
1.18.3-30;-16.44053002;-71.57698825;-1945448.603;2833169.267;A
1.18.11A-2; ; ;-1.516416327;20763369.87;A
1.18.11A-2;-16.43203674;-71.57845721;-1944432.739;2833113.602;A
1.18.11A-2;-16.43185212;-71.57870636;-1944407.922;2833087.774;A
1.18.11A-2;-16.43246218;-71.57905364;-1944475.191;2833040.458;A
1.18.11A-2;-16.43247003;-71.5787567;-1944479.85;2833074.009;A
1.18.11A-3; ; ;-1.516416327;20763369.87;A
1.18.11A-3;-16.43136127;-71.57717166;-1944369.6;2833268.108;A
1.18.11A-3;-16.43102525;-71.57766427;-1944323.94;2833216.661;A
1.18.11A-3;-16.43145958;-71.57792074;-1944371.715;2833181.93;A
1.18.11A-3;-16.43171957;-71.57744503;-1944408.235;2833232.453;A
1.18.11A-13; ; ;-1.516416327;20763369.87;A
1.18.11A-13;-16.43011245;-71.57489074;-1944251.664;2833542.906;A
1.18.11A-13;-16.43052414;-71.5750832;-1944297.586;2833515.723;A
1.18.11A-13;-16.43086691;-71.57541678;-1944333.639;2833473.446;A
1.18.11A-13;-16.43118524;-71.57554379;-1944369.423;2833454.898;A
1.18.11A-13;-16.43130219;-71.57542323;-1944384.675;2833467.036;A
1.18.11A-13;-16.43127919;-71.57514145;-1944385.521;2833499.271;A
1.18.11A-13;-16.43115761;-71.57486075;-1944374.777;2833532.671;A
1.18.11A-13;-16.43088001;-71.57480147;-1944342.924;2833543.01;A
1.18.11A-13;-16.43054778;-71.57461853;-1944306.212;2833568.078;A
1.18.11A-13;-16.43037535;-71.57455996;-1944286.702;2833576.966;A
1.18.11A-13;-16.43020034;-71.57450344;-1944266.861;2833585.654;A
1.18.11A-13;-16.43007061;-71.57446986;-1944252.049;2833591.152;A
1.18.11A-13;-16.42993675;-71.57436701;-1944237.624;2833604.556;A
1.18.11A-13;-16.42988199;-71.57434965;-1944231.412;2833607.238;A
1.18.11A-13;-16.42991482;-71.57475303;-1944230.189;2833561.092;A
1.18.11A-36; ; ;-1.516416327;20763369.87;A
1.18.11A-36;-16.42716851;-71.57285793;-1943931.537;2833811.702;A
1.18.11A-36;-16.42741072;-71.57278884;-1943960.85;2833816.372;A
1.18.11A-36;-16.42734644;-71.57270209;-1943954.393;2833827.043;A
1.18.11A-36;-16.42731471;-71.57264649;-1943951.367;2833833.759;A
1.18.11A-36;-16.42712332;-71.57247861;-1943931.004;2833855.283;A
1.18.11A-36;-16.42704575;-71.57226951;-1943924.528;2833879.994;A
1.18.11A-36;-16.42700783;-71.57217041;-1943921.322;2833891.721;A
1.18.11A-36;-16.42683682;-71.57229101;-1943899.722;2833880.283;A
1.18.11A-36;-16.42711579;-71.57271742;-1943927.115;2833828.314;A
1.18.11A-37; ; ;-1.516416327;20763369.87;A
1.18.11A-37;-16.42738754;-71.57340712;-1943950.345;2833746.6;A
1.18.11A-37;-16.42708547;-71.5729068;-1943921.17;2833807.246;A
1.18.11A-37;-16.42702592;-71.57268653;-1943916.949;2833832.988;A
1.18.11A-37;-16.42686554;-71.57273092;-1943897.556;2833830.048;A
1.18.11A-37;-16.42631389;-71.57302401;-1943829.084;2833804.025;A
1.18.11A-37;-16.42664758;-71.57363526;-1943860.576;2833730.394;A
1.18.11A-38; ; ;-1.516416327;20763369.87;A
1.18.11A-38;-16.42567824;-71.57411713;-1943740.677;2833688.422;A
1.18.11A-38;-16.42591411;-71.57398596;-1943770.027;2833700.212;A
1.18.11A-38;-16.42612434;-71.57386286;-1943796.265;2833711.423;A
1.18.11A-38;-16.4262437;-71.5738312;-1943810.68;2833713.454;A
1.18.11A-38;-16.42641787;-71.57379108;-1943831.638;2833715.729;A
1.18.11A-38;-16.42658514;-71.57367771;-1943852.709;2833726.397;A
1.18.11A-38;-16.42646094;-71.57342925;-1943841.251;2833756.177;A
1.18.11A-38;-16.42526072;-71.57414166;-1943691.337;2833691.087;A
1.18.11A-38;-16.42539608;-71.57432778;-1943704.889;2833668.226;A
1.18.11A-39; ; ;-1.516416327;20763369.87;A
1.18.11A-39;-16.42642824;-71.57337442;-1943838.101;2833762.818;A
1.18.11A-39;-16.42625797;-71.57308588;-1943821.738;2833797.742;A
1.18.11A-39;-16.42562172;-71.57344893;-1943742.45;2833764.892;A
1.18.11A-39;-16.42579034;-71.57375004;-1943758.461;2833728.565;A
1.18.11A-40; ; ;-1.516416327;20763369.87;A
1.18.11A-40;-16.42555807;-71.57349203;-1943734.433;2833760.838;A
1.18.11A-40;-16.42502967;-71.57380039;-1943668.499;2833732.78;A
1.18.11A-40;-16.42523047;-71.57408974;-1943688.438;2833697.366;A
1.18.11A-40;-16.42572515;-71.57379005;-1943750.302;2833724.881;A
1.18.11A-41; ; ;-1.516416327;20763369.87;A
1.18.11A-41;-16.42537295;-71.573148;-1943717.024;2833802.244;A
1.18.11A-41;-16.42478443;-71.5735103;-1943643.351;2833768.857;A
1.18.11A-41;-16.42483542;-71.57360691;-1943648.122;2833757.242;A
1.18.11A-41;-16.4249712;-71.57373804;-1943662.417;2833740.608;A
1.18.11A-41;-16.42553149;-71.57342339;-1943732.175;2833768.964;A
1.18.11A-42; ; ;-1.516416327;20763369.87;A
1.18.11A-42;-16.42489602;-71.57299786;-1943662.905;2833825.481;A
1.18.11A-42;-16.42453912;-71.5732133;-1943618.281;2833805.718;A
1.18.11A-42;-16.42472252;-71.57347927;-1943636.471;2833773.181;A
1.18.11A-42;-16.42506081;-71.573261;-1943678.945;2833793.508;A
1.18.11A-43; ; ;-1.516416327;20763369.87;A
