type;ident;lat;long;y_proj;x_proj;Ingreso_economico;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.5.20-6;-16.46320895;-71.49364149;-1949165.238;2842319.344;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6; ; ;-1.516416327;20763369.87;B; ; ; ; ; ; ; ; ; ; 
TRACK;1.5.20-6;-16.4625506;-71.49511099;-1949069.277;2842161.4;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.46282916;-71.49471556;-1949107.012;2842202.57;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.46302067;-71.49445366;-1949132.829;2842229.745;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.46306368;-71.49433266;-1949139.415;2842242.898;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.46308942;-71.4941626;-1949144.594;2842261.839;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.46311512;-71.49395657;-1949150.223;2842284.857;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.4631536;-71.49376018;-1949157.232;2842306.616;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.46320895;-71.49364149;-1949165.238;2842319.344;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.46332713;-71.49345582;-1949181.474;2842338.84;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.46335228;-71.49342169;-1949184.862;2842342.378;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.46286593;-71.49284437;-1949135.039;2842414.212;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.46259386;-71.49253604;-1949106.982;2842452.739;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.46244814;-71.49233124;-1949092.457;2842477.869;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.46236057;-71.4921708;-1949084.203;2842497.207;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.46229081;-71.49198438;-1949078.369;2842519.256;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.46216633;-71.49165312;-1949067.941;2842558.444;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.46207526;-71.49140104;-1949060.436;2842588.217;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.20-6;-16.46202737;-71.49125783;-1949056.625;2842605.081;B;False; ; ;0; ; ; ; ; ; 
