type;ident;lat;long;y_proj;x_proj;ingreso_economico;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.25.25-7; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.25-7;-16.48490653;-71.5209044;-1951368.726;2838944.336;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-7;-16.48528681;-71.52040135;-1951419.765;2838996.355;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-7;-16.48511227;-71.52031989;-1951400.295;2839007.877;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-7;-16.48488009;-71.52022795;-1951374.187;2839021.345;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-7;-16.48477041;-71.52056413;-1951357.047;2838984.685;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-7;-16.48476792;-71.52089592;-1951352.553;2838947.117;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-8; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.25-8;-16.48512345;-71.52026692;-1951402.279;2839013.734;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-8;-16.48529134;-71.52037692;-1951420.606;2838999.064;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-8;-16.48547458;-71.52012399;-1951445.333;2839025.323;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-8;-16.48558967;-71.51997925;-1951460.685;2839040.216;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-8;-16.48538626;-71.51980109;-1951439.049;2839063.076;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-8;-16.48509847;-71.51965924;-1951407.042;2839082.93;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-8;-16.48491828;-71.52020947;-1951378.908;2839022.938;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-9; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.25-9;-16.48538005;-71.51972707;-1951439.257;2839071.547;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-9;-16.48564322;-71.5199257;-1951467.653;2839045.582;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-9;-16.48592306;-71.51966074;-1951503.879;2839071.935;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-9;-16.48612369;-71.51940981;-1951530.624;2839097.74;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-9;-16.48570603;-71.51913052;-1951485.103;2839134.875;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-9;-16.48533779;-71.51891959;-1951444.521;2839163.614;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-9;-16.48511373;-71.51958963;-1951409.715;2839090.619;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-10; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.25-10;-16.48616789;-71.51936754;-1951536.351;2839101.95;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-10;-16.48656485;-71.51872477;-1951591.12;2839169.583;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-10;-16.48594405;-71.51827771;-1951523.863;2839228.399;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-10;-16.48551344;-71.51890881;-1951465.29;2839162.53;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-11; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.25-11;-16.48661103;-71.51864984;-1951597.494;2839177.469;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-11;-16.4870266;-71.51799171;-1951654.645;2839246.599;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-11;-16.48643035;-71.51756653;-1951589.994;2839302.612;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-11;-16.48600181;-71.5181936;-1951531.713;2839237.173;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-12; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.25-12;-16.48594393;-71.51814175;-1951525.572;2839243.809;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-12;-16.48633982;-71.51751154;-1951580.056;2839310.033;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-12;-16.48579498;-71.51715388;-1951520.589;2839357.721;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-12;-16.48562846;-71.51789528;-1951491.637;2839275.883;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-13; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.25-13;-16.48564611;-71.51749507;-1951498.781;2839321.008;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-13;-16.48573988;-71.51710579;-1951514.726;2839363.895;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-13;-16.48549739;-71.51702127;-1951487.314;2839376.657;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-13;-16.48550343;-71.51746616;-1951482.388;2839326.158;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-14; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.25-14;-16.48549012;-71.51694748;-1951487.394;2839385.115;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-14;-16.48577853;-71.51700153;-1951520.587;2839375.203;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-14;-16.48590644;-71.51642354;-1951542.934;2839439.029;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-14;-16.48547546;-71.51638353;-1951492.817;2839449.221;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-14;-16.48546364;-71.51666542;-1951487.858;2839417.429;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-16; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.25-16;-16.48634101;-71.51535956;-1951607.46;2839553.905;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-16;-16.48640522;-71.51514979;-1951617.66;2839576.836;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-16;-16.48641964;-71.51534659;-1951616.86;2839554.342;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-16;-16.48655487;-71.51532579;-1951633.009;2839554.924;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-16;-16.48655485;-71.51506872;-1951636.263;2839584.058;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-16;-16.48623071;-71.5149408;-1951599.809;2839602.813;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-16;-16.48611295;-71.51527818;-1951581.702;2839566.123;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-16;-16.48601974;-71.51553973;-1951567.44;2839537.705;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-16;-16.48585277;-71.51591079;-1951543.126;2839497.844;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-16;-16.48604515;-71.51600728;-1951564.501;2839484.382;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-18; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.25-18;-16.48628105;-71.51648034;-1951586.217;2839427.673;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-18;-16.48648137;-71.51612432;-1951614.258;2839465.39;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-18;-16.48661373;-71.51585775;-1951633.183;2839493.863;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-18;-16.48629262;-71.515634;-1951598.298;2839523.437;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-18;-16.48610855;-71.51603122;-1951571.645;2839480.837;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-18;-16.48600847;-71.51634481;-1951555.917;2839446.611;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-19; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.25-19;-16.48638705;-71.5174418;-1951586.488;2839317.318;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-19;-16.48664668;-71.51698599;-1951622.759;2839365.565;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-19;-16.48669441;-71.51685514;-1951630.023;2839379.768;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-19;-16.48635077;-71.51664833;-1951592.278;2839407.718;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-19;-16.48617672;-71.51653026;-1951573.329;2839423.385;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-19;-16.48597811;-71.51642095;-1951551.385;2839438.381;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-19;-16.48581219;-71.51704543;-1951523.984;2839369.786;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-20; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.25-20;-16.4870625;-71.51789057;-1951660.143;2839257.589;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.25-20;-16.48744293;-71.51724526;-1951713.004;2839325.727;C;False; ; ;0; ; ; ; ; ; 
