type;ident;lat;long;y_proj;x_proj;ingreso_economico;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.5.8-1; ; ;-1.516416327;20763369.87;B; ; ; ; ; ; ; ; ; ; 
TRACK;1.5.8-1;-16.46349316;-71.49328648;-1949203.126;2842355.857;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-1;-16.46354719;-71.493294;-1949209.377;2842354.295;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-1;-16.46372624;-71.49328811;-1949230.487;2842352.611;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-1;-16.46371716;-71.49309588;-1949231.856;2842374.522;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-1;-16.46366797;-71.49293289;-1949228.143;2842393.646;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-1;-16.46357849;-71.49282239;-1949219.031;2842407.348;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-1;-16.46343913;-71.49265088;-1949204.832;2842428.62;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-1;-16.46328093;-71.49245511;-1949188.727;2842452.891;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-1;-16.46292175;-71.49279018;-1949142.283;2842419.623;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-1;-16.46333931;-71.49325835;-1949185.407;2842361.066;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-5; ; ;-1.516416327;20763369.87;B; ; ; ; ; ; ; ; ; ; 
TRACK;1.5.8-5;-16.46322987;-71.4924006;-1949183.419;2842459.741;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-5;-16.46317736;-71.49225452;-1949179.1;2842476.991;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-5;-16.46278838;-71.4923613;-1949132.049;2842469.994;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-5;-16.46270624;-71.49224898;-1949123.822;2842483.805;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-5;-16.46263577;-71.49214293;-1949116.887;2842496.753;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-5;-16.46260238;-71.49203506;-1949114.33;2842509.42;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-5;-16.46255367;-71.49185751;-1949110.857;2842530.188;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-5;-16.4623142;-71.49192732;-1949081.84;2842525.418;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-5;-16.46243644;-71.49215475;-1949093.319;2842498.03;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-5;-16.46253871;-71.49234584;-1949102.913;2842475.025;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-5;-16.46269208;-71.49255259;-1949118.312;2842449.572;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.8-5;-16.46284924;-71.49273679;-1949134.441;2842426.627;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47258329;-71.46799284;-1950591.906;2845103.874;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47268103;-71.46796284;-1950603.771;2845105.99;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47281887;-71.46789812;-1950620.788;2845111.513;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47287824;-71.46787382;-1950628.072;2845113.487;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47259356;-71.4675958;-1950598.153;2845148.752;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.4725301;-71.46741416;-1950593.003;2845170.181;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47253011;-71.46730428;-1950594.398;2845182.638;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47253011;-71.46711984;-1950596.74;2845203.548;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47254154;-71.4667982;-1950602.166;2845239.864;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.4725764;-71.46656048;-1950609.28;2845266.356;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47261077;-71.46645632;-1950614.642;2845277.713;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.4727944;-71.46621027;-1950639.341;2845303.192;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47287224;-71.46609096;-1950650.001;2845315.695;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47313002;-71.46590338;-1950682.672;2845333.569;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47325178;-71.46573034;-1950699.176;2845351.586;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47332222;-71.46562092;-1950708.841;2845363.064;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47310622;-71.4654802;-1950685.249;2845381.861;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47297313;-71.46571265;-1950666.66;2845357.258;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47287985;-71.46592796;-1950652.965;2845334.075;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47275749;-71.4661324;-1950635.993;2845312.507;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47248127;-71.4664725;-1950599.219;2845277.583;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.4723914;-71.46673519;-1950585.325;2845248.983;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47234985;-71.46689788;-1950578.378;2845231.085;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.5.4-3;-16.47232646;-71.46716376;-1950572.254;2845201.249;C;False; ; ;0; ; ; ; ; ; 
