type;ident;lat;long;y_proj;x_proj;ingreso_economico;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.16.4-1; ; ;-1.516416327;20763369.87;NA; ; ; ; ; ; ; ; ; ; 
TRACK;1.16.4-1;-16.51727654;-71.48620183;-1955611.499;2842451.424;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.4-1;-16.51765494;-71.48618394;-1955656.18;2842448.465;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.4-1;-16.51746713;-71.48587162;-1955638.088;2842486.333;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.4-1;-16.51698187;-71.48515154;-1955590.233;2842574.334;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.4-1;-16.51680646;-71.48531628;-1955567.532;2842557.975;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.4-1;-16.51683009;-71.48563537;-1955566.252;2842521.502;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.4-2; ; ;-1.516416327;20763369.87;NA; ; ; ; ; ; ; ; ; ; 
TRACK;1.16.4-2;-16.51780384;-71.48615809;-1955674.002;2842449.432;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.4-2;-16.51832344;-71.48575456;-1955740.173;2842488.316;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.4-2;-16.5188481;-71.48534283;-1955807.043;2842528.062;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.4-2;-16.51871603;-71.48499484;-1955795.952;2842569.239;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.4-2;-16.51866537;-71.484975;-1955790.252;2842572.156;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.4-2;-16.5175797;-71.48584867;-1955651.603;2842487.451;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.16.4-3; ; ;-1.516416327;20763369.87;NA; ; ; ; ; ; ; ; ; ; 
TRACK;1.16.4-3;-16.51752416;-71.48582887;-1955645.33;2842490.426;NA;False; ; ;0; ; ; ; ; ; 
