type;ident;lat;long;y_proj;x_proj;ingreso_economico;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.12.5-3; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-3;-16.48616679;-71.48234617;-1952005.649;2843298.027;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-3;-16.48597323;-71.48233296;-1951983.077;2843302.072;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-3;-16.48597622;-71.48281931;-1951977.254;2843246.903;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-3;-16.4863677;-71.48281945;-1952023.246;2843241.736;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-3;-16.48636693;-71.48246706;-1952027.628;2843281.691;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-4; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-4;-16.48672122;-71.48283042;-1952064.64;2843235.842;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-4;-16.48673688;-71.48246636;-1952071.101;2843276.903;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-4;-16.48642476;-71.48246852;-1952034.404;2843280.765;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-4;-16.48640404;-71.48281221;-1952027.607;2843242.079;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-6; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-6;-16.48635899;-71.48392323;-1952008.213;2843116.734;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-6;-16.48635918;-71.4828712;-1952021.588;2843235.982;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-6;-16.48597807;-71.48289257;-1951976.542;2843238.573;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-6;-16.48597503;-71.48393134;-1951963;2843120.866;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-7; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-7;-16.48682134;-71.48347546;-1952068.215;2843161.408;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-7;-16.48682535;-71.48329915;-1952070.924;2843181.34;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-7;-16.48684523;-71.48314183;-1952075.257;2843198.912;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-7;-16.48691052;-71.48289773;-1952086.025;2843225.721;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-7;-16.48641928;-71.48288729;-1952028.445;2843233.368;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-7;-16.48641497;-71.48391803;-1952014.855;2843116.587;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-7;-16.48680131;-71.48392752;-1952060.124;2843110.43;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-9; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-9;-16.48592863;-71.48463651;-1951948.6;2843041.543;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-9;-16.48593061;-71.48399707;-1951956.948;2843114;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-9;-16.48554914;-71.48399073;-1951912.212;2843119.737;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-9;-16.48553554;-71.48464131;-1951902.357;2843046.17;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-11; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-11;-16.48758848;-71.48400819;-1952151.58;2843090.93;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-11;-16.48642329;-71.48399639;-1952014.839;2843107.596;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-11;-16.48642861;-71.48460803;-1952007.7;2843038.195;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-11;-16.48758373;-71.48461707;-1952143.294;2843021.974;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-12; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-12;-16.48593356;-71.48532705;-1951940.415;2842963.205;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-12;-16.4859293;-71.48471416;-1951947.692;2843032.734;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-12;-16.48554451;-71.48471659;-1951902.455;2843037.519;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-12;-16.485537;-71.48533295;-1951893.751;2842967.752;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-13; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;1.12.5-13;-16.48635742;-71.48533844;-1951990.067;2842956.339;C;False; ; ;0; ; ; ; ; ; 
TRACK;1.12.5-13;-16.48636161;-71.48471012;-1951998.533;2843027.504;C;False; ; ;0; ; ; ; ; ; 
