type;ident;lat;long;y_proj;x_proj;ingreso_economico;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.13.68B-3; ; ;-1.516416327;20763369.87;A; ; ; ; ; ; ; ; ; ; 
TRACK;1.13.68B-3;-16.42634166;-71.50838166;-1944647.582;2841131.57;A;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.68B-3;-16.42658266;-71.50821083;-1944678.052;2841147.784;A;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.68B-3;-16.42640472;-71.50796632;-1944660.237;2841177.837;A;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.68B-3;-16.42635627;-71.5078909;-1944655.498;2841187.022;A;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.68B-3;-16.42612361;-71.50806682;-1944625.944;2841170.122;A;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.68B-4; ; ;-1.516416327;20763369.87;A; ; ; ; ; ; ; ; ; ; 
TRACK;1.13.68B-4;-16.42617936;-71.50888639;-1944622.138;2841076.468;A;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.68B-4;-16.42635323;-71.50877448;-1944643.978;2841086.88;A;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.68B-4;-16.4264664;-71.50867789;-1944658.494;2841096.35;A;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.68B-4;-16.42623591;-71.50833776;-1944635.713;2841137.932;A;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.68B-4;-16.42607009;-71.5081044;-1944619.182;2841166.561;A;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.68B-4;-16.42584854;-71.50826018;-1944591.186;2841151.799;A;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.68B-4;-16.42596357;-71.50847626;-1944601.969;2841125.794;A;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.68B-5; ; ;-1.516416327;20763369.87;A; ; ; ; ; ; ; ; ; ; 
TRACK;1.13.68B-5;-16.42573034;-71.50882425;-1944570.173;2841089.391;A;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.68B-5;-16.42594354;-71.50869098;-1944596.903;2841101.711;A;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.68B-5;-16.4259795;-71.50875433;-1944600.328;2841094.057;A;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.68B-5;-16.42601038;-71.50873662;-1944604.179;2841095.661;A;False; ; ;0; ; ; ; ; ; 
TRACK;1.13.68B-5;-16.42587969;-71.50843917;-1944592.584;2841131.097;A;False; ; ;0; ; ; ; ; ; 
