type;ident;lat;long;y_proj;x_proj;ingreso_economico;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;6.92.10-11; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;6.92.10-11;-16.35462109;-72.1905;-1927801.45;2764840.315;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-11;-16.35401172;-72.19021875;-1927733.53;2764879.736;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-11;-16.35388672;-72.19014258;-1927719.822;2764889.911;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-11;-16.35379492;-72.1900625;-1927710.046;2764900.11;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-11;-16.35373633;-72.19001562;-1927703.756;2764906.142;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-11;-16.35369141;-72.18992969;-1927699.538;2764916.417;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-11;-16.35361523;-72.18978711;-1927692.348;2764933.483;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-11;-16.35357422;-72.18971289;-1927688.446;2764942.385;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-11;-16.35354297;-72.18968359;-1927685.143;2764946.087;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-11;-16.3530625;-72.19000977;-1927624.959;2764915.25;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-11;-16.35452539;-72.19066797;-1927788.215;2764822.533;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-12; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;6.92.10-12;-16.35461328;-72.18947656;-1927812.922;2764956.066;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-12;-16.35441797;-72.18915039;-1927794.01;2764995.373;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-12;-16.3536543;-72.18961328;-1927699.024;2764952.637;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-12;-16.35385547;-72.18995703;-1927718.409;2764911.27;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-13; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;6.92.10-13;-16.35543164;-72.18999805;-1927902.394;2764886.876;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-13;-16.35512695;-72.1898125;-1927868.978;2764911.664;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-13;-16.35461523;-72.1907168;-1927798.14;2764815.889;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-13;-16.35496094;-72.19086914;-1927836.758;2764794.34;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-14; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;6.92.10-14;-16.35604883;-72.18896484;-1927987.138;2764995.895;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-14;-16.35570703;-72.18880664;-1927949.048;2765018.058;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-14;-16.35518164;-72.1897168;-1927876.537;2764921.793;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-14;-16.35550977;-72.18989844;-1927912.744;2764897.153;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-15; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;6.92.10-15;-16.35549609;-72.18894336;-1927922.704;2765005.253;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-15;-16.35559961;-72.18876562;-1927936.971;2765024.04;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-15;-16.35525195;-72.18861133;-1927898.148;2765045.835;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-15;-16.35451172;-72.18906445;-1927806.023;2765003.909;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-15;-16.35471875;-72.18941797;-1927825.976;2764961.365;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-16; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;6.92.10-16;-16.35667383;-72.18781836;-1928074.169;2765117.616;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-16;-16.35661133;-72.1877793;-1928067.327;2765122.814;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-16;-16.35541406;-72.18853516;-1927918.043;2765052.41;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-16;-16.356125;-72.18884766;-1927997.472;2765008.183;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-18; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;6.92.10-18;-16.35482617;-72.18775586;-1927858.667;2765147.845;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-18;-16.35445117;-72.18799023;-1927811.938;2765126.061;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-18;-16.35465625;-72.18835547;-1927831.521;2765082.216;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-18;-16.35503516;-72.18812305;-1927878.683;2765103.731;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-19; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;6.92.10-19;-16.35508008;-72.18818555;-1927883.184;2765096.105;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-19;-16.35500586;-72.18820117;-1927874.308;2765095.27;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-19;-16.3546875;-72.18839844;-1927834.658;2765076.969;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-19;-16.35488477;-72.18875391;-1927853.445;2765034.326;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-19;-16.35526367;-72.18852734;-1927900.536;2765055.178;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-20; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;6.92.10-20;-16.35446484;-72.18898047;-1927801.553;2765013.988;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-20;-16.3548125;-72.18877344;-1927844.75;2765033.025;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-20;-16.35464721;-72.18848877;-1927828.849;2765067.266;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-20;-16.35452827;-72.18845803;-1927815.299;2765072.231;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-20;-16.35426367;-72.18863086;-1927782.238;2765056.017;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-21; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;6.92.10-21;-16.35439453;-72.18803711;-1927804.741;2765121.474;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-21;-16.35405273;-72.18824609;-1927762.206;2765102.143;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-21;-16.35423242;-72.18857422;-1927779.266;2765062.81;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-21;-16.35458008;-72.18835547;-1927822.605;2765083.171;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-22; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;6.92.10-22;-16.35413281;-72.1886582;-1927766.591;2765054.568;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-22;-16.3539375;-72.18831641;-1927747.868;2765095.642;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-22;-16.3535957;-72.18852539;-1927705.333;2765076.31;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-22;-16.35379687;-72.18886523;-1927724.765;2765035.384;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-23; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;6.92.10-23;-16.35415625;-72.18870312;-1927768.79;2765049.198;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-23;-16.35382227;-72.1889043;-1927727.265;2765030.651;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-23;-16.35402734;-72.18924805;-1927747.107;2764989.234;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-23;-16.35435547;-72.18904297;-1927787.995;2765008.296;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-24; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;6.92.10-24;-16.35339453;-72.18916016;-1927674.104;2765007.099;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-24;-16.35359976;-72.18953879;-1927693.542;2764961.739;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-24;-16.35393857;-72.18932964;-1927735.729;2764981.126;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-24;-16.35374572;-72.18896391;-1927717.584;2765024.874;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-26; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;6.92.10-26;-16.35307422;-72.18884766;-1927640.395;2765046.429;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-26;-16.35272656;-72.18905859;-1927597.151;2765026.95;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-26;-16.35292773;-72.18940625;-1927616.489;2764985.141;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-26;-16.35327344;-72.18919141;-1927659.552;2765005.086;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-27; ; ;-1.516416327;20763369.87;C; ; ; ; ; ; ; ; ; ; 
TRACK;6.92.10-27;-16.35329297;-72.18922852;-1927661.389;2765000.647;C;False; ; ;0; ; ; ; ; ; 
TRACK;6.92.10-27;-16.35294531;-72.18944531;-1927618.074;2764980.506;C;False; ; ;0; ; ; ; ; ; 
