type;ident;lat;long;y_proj;x_proj;ingreso_economico;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.25.41-1; ; ;-1.516416327;20763369.87;B; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.41-1;-16.454031;-71.53567235;-1947555.359;2837675.335;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-1;-16.45422053;-71.5358921;-1947574.843;2837647.947;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-1;-16.45451548;-71.53608381;-1947607.064;2837622.356;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-1;-16.45561837;-71.53611636;-1947736.193;2837604.227;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-1;-16.45565812;-71.53608948;-1947741.202;2837606.754;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-1;-16.45551349;-71.53520918;-1947735.337;2837708.423;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-1;-16.4554821;-71.53519636;-1947731.812;2837710.287;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-1;-16.45544905;-71.53570859;-1947721.457;2837652.662;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-2; ; ;-1.516416327;20763369.87;B; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.41-2;-16.45417319;-71.53564054;-1947572.462;2837677.079;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-2;-16.45417494;-71.53505075;-1947580.118;2837743.905;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-2;-16.45382414;-71.53503379;-1947539.129;2837750.42;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-2;-16.45399188;-71.53562575;-1947551.352;2837681.129;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-3; ; ;-1.516416327;20763369.87;B; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.41-3;-16.45459142;-71.53565218;-1947621.438;2837670.284;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-3;-16.45460393;-71.53505648;-1947630.433;2837737.639;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-3;-16.4542313;-71.5350465;-1947586.792;2837743.648;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-3;-16.45420268;-71.53563958;-1947575.937;2837676.801;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-4; ; ;-1.516416327;20763369.87;B; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.41-4;-16.45500745;-71.53565919;-1947670.214;2837664.042;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-4;-16.4550138;-71.53507527;-1947678.337;2837730.142;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-4;-16.45462303;-71.5350621;-1947632.606;2837736.752;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-4;-16.45461702;-71.53564483;-1947624.536;2837670.782;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-5; ; ;-1.516416327;20763369.87;B; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.41-5;-16.45542068;-71.5356738;-1947718.565;2837656.977;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-5;-16.45543002;-71.53507917;-1947727.175;2837724.251;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-5;-16.4550369;-71.53506089;-1947681.232;2837731.47;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-5;-16.45503085;-71.53566242;-1947672.921;2837663.37;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-6; ; ;-1.516416327;20763369.87;B; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.41-6;-16.45554425;-71.53442325;-1947748.88;2837797.099;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-6;-16.45416663;-71.53421183;-1947589.741;2837839.1;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-6;-16.45379233;-71.53432823;-1947544.306;2837830.808;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-6;-16.45381457;-71.53495837;-1947538.957;2837759.094;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.41-6;-16.45547211;-71.53502421;-1947732.813;2837729.93;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.21-1; ; ;-1.516416327;20763369.87;B; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.21-1;-16.45467038;-71.53981808;-1947578.086;2837197.081;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.21-1;-16.45447051;-71.53961065;-1947557.231;2837223.208;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.21-1;-16.45460637;-71.53945832;-1947575.112;2837238.694;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.21-1;-16.45406275;-71.53913888;-1947515.297;2837282.016;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.21-1;-16.45447442;-71.53862653;-1947570.121;2837334.697;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.21-1;-16.45419448;-71.53860157;-1947537.557;2837341.19;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.21-1;-16.45399782;-71.53849987;-1947515.742;2837355.292;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.21-1;-16.45371997;-71.53831736;-1947485.414;2837379.615;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.21-1;-16.45334412;-71.53878753;-1947435.33;2837331.244;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.21-1;-16.45441211;-71.54006431;-1947544.641;2837172.554;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.21-2; ; ;-1.516416327;20763369.87;B; ; ; ; ; ; ; ; ; ; 
TRACK;1.25.21-2;-16.45424866;-71.53849774;-1947545.232;2837352.249;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.21-2;-16.45506161;-71.53858256;-1947639.644;2837331.994;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.21-2;-16.45516133;-71.53853153;-1947652.001;2837336.473;B;False; ; ;0; ; ; ; ; ; 
TRACK;1.25.21-2;-16.45521977;-71.53834166;-1947661.263;2837357.228;B;False; ; ;0; ; ; ; ; ; 
