type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,1.25.41-1, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.41-1,-16.45403100265549,-71.53567235079421,-1947555.35858774,2837675.3350457,False, , ,0, , , , , , 
TRACK,1.25.41-1,-16.45422052702324,-71.53589210167934,-1947574.84298521,2837647.94655205,False, , ,0, , , , , , 
TRACK,1.25.41-1,-16.45451547765636,-71.53608380936708,-1947607.0644691,2837622.35639282,False, , ,0, , , , , , 
TRACK,1.25.41-1,-16.45561836724016,-71.53611636195097,-1947736.19286607,2837604.22743956,False, , ,0, , , , , , 
TRACK,1.25.41-1,-16.45565811968922,-71.5360894799672,-1947741.20161122,2837606.75382594,False, , ,0, , , , , , 
TRACK,1.25.41-1,-16.45551349429174,-71.5352091776714,-1947735.33684077,2837708.42282227,False, , ,0, , , , , , 
TRACK,1.25.41-1,-16.45548210103885,-71.53519635707276,-1947731.81152202,2837710.28698312,False, , ,0, , , , , , 
TRACK,1.25.41-1,-16.45544904806075,-71.53570858966658,-1947721.4574294,2837652.66206212,False, , ,0, , , , , , 
TRACK,1.25.41-2, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.41-2,-16.45417319427458,-71.53564053940127,-1947572.46162852,2837677.07909485,False, , ,0, , , , , , 
TRACK,1.25.41-2,-16.45417493882986,-71.53505075246292,-1947580.11779371,2837743.90474774,False, , ,0, , , , , , 
TRACK,1.25.41-2,-16.45382414124059,-71.53503378888239,-1947539.1289477,2837750.42020749,False, , ,0, , , , , , 
TRACK,1.25.41-2,-16.45399187655932,-71.53562575266825,-1947551.35171889,2837681.12886797,False, , ,0, , , , , , 
TRACK,1.25.41-3, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.41-3,-16.45459142318081,-71.53565218418804,-1947621.43767046,2837670.28373237,False, , ,0, , , , , , 
TRACK,1.25.41-3,-16.45460393470641,-71.53505647681922,-1947630.43343512,2837737.63926861,False, , ,0, , , , , , 
TRACK,1.25.41-3,-16.45423130112666,-71.53504650445826,-1947586.7915319,2837743.64831214,False, , ,0, , , , , , 
TRACK,1.25.41-3,-16.45420268299662,-71.5356395835407,-1947575.93730922,2837676.80136929,False, , ,0, , , , , , 
TRACK,1.25.41-4, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.41-4,-16.45500745002316,-71.53565919330624,-1947670.21360209,2837664.04249468,False, , ,0, , , , , , 
TRACK,1.25.41-4,-16.45501380305688,-71.53507527433952,-1947678.3372372,2837730.14233992,False, , ,0, , , , , , 
TRACK,1.25.41-4,-16.45462303260535,-71.53506210298484,-1947632.60550663,2837736.75153652,False, , ,0, , , , , , 
TRACK,1.25.41-4,-16.45461701502881,-71.53564483351012,-1947624.53643268,2837670.78182388,False, , ,0, , , , , , 
TRACK,1.25.41-5, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.41-5,-16.45542068067391,-71.53567379600467,-1947718.56513503,2837656.97706682,False, , ,0, , , , , , 
TRACK,1.25.41-5,-16.45543002311731,-71.53507917462844,-1947727.17526903,2837724.25062327,False, , ,0, , , , , , 
TRACK,1.25.41-5,-16.45503689959142,-71.53506089058968,-1947681.23178432,2837731.47023338,False, , ,0, , , , , , 
TRACK,1.25.41-5,-16.45503085095235,-71.53566242300469,-1947672.92135577,2837663.37005321,False, , ,0, , , , , , 
TRACK,1.25.41-6, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.41-6,-16.45554425319327,-71.53442325383379,-1947748.87986516,2837797.09887717,False, , ,0, , , , , , 
TRACK,1.25.41-6,-16.45416662629357,-71.53421183081024,-1947589.74064576,2837839.10025089,False, , ,0, , , , , , 
TRACK,1.25.41-6,-16.45379232671865,-71.53432822750608,-1947544.30624,2837830.8079975,False, , ,0, , , , , , 
TRACK,1.25.41-6,-16.45381456711863,-71.53495837054095,-1947538.95723474,2837759.09376637,False, , ,0, , , , , , 
TRACK,1.25.41-6,-16.45547210595762,-71.53502420670158,-1947732.81263945,2837729.92982978,False, , ,0, , , , , , 
TRACK,1.25.21-1, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.21-1,-16.45467038090744,-71.53981807655732,-1947578.08635195,2837197.08124585,False, , ,0, , , , , , 
TRACK,1.25.21-1,-16.45447050915173,-71.53961064529969,-1947557.23097043,2837223.20774975,False, , ,0, , , , , , 
TRACK,1.25.21-1,-16.45460637226015,-71.5394583187322,-1947575.11248795,2837238.69416126,False, , ,0, , , , , , 
TRACK,1.25.21-1,-16.4540627454634,-71.53913887517483,-1947515.29692253,2837282.01588415,False, , ,0, , , , , , 
TRACK,1.25.21-1,-16.45447442153838,-71.53862653124976,-1947570.12112647,2837334.69683558,False, , ,0, , , , , , 
TRACK,1.25.21-1,-16.45419448375371,-71.53860157276861,-1947537.556792,2837341.19001239,False, , ,0, , , , , , 
TRACK,1.25.21-1,-16.45399781760308,-71.53849986741815,-1947515.74238655,2837355.29175588,False, , ,0, , , , , , 
TRACK,1.25.21-1,-16.45371997031113,-71.5383173571025,-1947485.41362413,2837379.61472172,False, , ,0, , , , , , 
TRACK,1.25.21-1,-16.45334412370098,-71.53878752745767,-1947435.33040033,2837331.24430169,False, , ,0, , , , , , 
TRACK,1.25.21-1,-16.45441210663952,-71.54006430818629,-1947544.64134896,2837172.55385563,False, , ,0, , , , , , 
TRACK,1.25.21-2, , ,-1.51641632684816,20763369.870948, , , , , , , , , , 
TRACK,1.25.21-2,-16.45424866217479,-71.53849774495043,-1947545.23173131,2837352.24881321,False, , ,0, , , , , , 
TRACK,1.25.21-2,-16.45506161490154,-71.53858255815545,-1947639.64431312,2837331.99430128,False, , ,0, , , , , , 
TRACK,1.25.21-2,-16.4551613339309,-71.53853152635223,-1947652.00126736,2837336.47290925,False, , ,0, , , , , , 
TRACK,1.25.21-2,-16.45521976539159,-71.53834165807291,-1947661.26269634,2837357.22781147,False, , ,0, , , , , , 
TRACK,1.25.21-2,-16.45463309251,-71.5381680510402,-1947594.5490246,2837384.58450862,False, , ,0, , , , , , 
TRACK,1.25.21-2,-16.45464081095257,-71.53807617956794,-1947596.61611439,2837394.89630625,False, , ,0, , , , , , 
TRACK,1.25.21-2,-16.45523845351807,-71.538280384137,-1947664.2317139,2837363.9280048,False, , ,0, , , , , , 
TRACK,1.25.21-2,-16.45531013342162,-71.53809159135804,-1947675.03568461,2837384.38757876,False, , ,0, , , , , , 
