type;ident;lat;long;y_proj;x_proj;ingreso_economico;new_seg;display;color;altitude;depth;temp;time;model;filename;ltime
TRACK;1.23.1-1; ; ;-1.516416327;20763369.87;NA; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1-1;-16.426692;-71.63344123;-1943114.233;2826952.581;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42653455;-71.63302641;-1943100.953;2827001.627;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42643736;-71.63309795;-1943088.647;2826994.786;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42626002;-71.63319664;-1943066.589;2826985.909;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42615392;-71.63333615;-1943052.385;2826971.481;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42636983;-71.63358764;-1943074.576;2826940.18;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-1;-16.42650752;-71.6334761;-1943092.139;2826951.029;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-2; ; ;-1.516416327;20763369.87;NA; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1-2;-16.42652507;-71.63439536;-1943082.668;2826846.648;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-2;-16.42649465;-71.63422661;-1943081.213;2826866.163;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-2;-16.42636174;-71.63429052;-1943064.808;2826860.649;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-2;-16.42621356;-71.634307;-1943047.207;2826860.707;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-2;-16.42622837;-71.63447688;-1943046.815;2826841.267;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-2;-16.42639712;-71.63447542;-1943066.642;2826839.239;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-3; ; ;-1.516416327;20763369.87;NA; ; ; ; ; ; ; ; ; ; 
TRACK;1.23.1-3;-16.42633947;-71.63467987;-1943057.31;2826816.824;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-3;-16.42653805;-71.63468091;-1943080.61;2826814.125;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-3;-16.42660201;-71.63444371;-1943091.094;2826840.17;NA;False; ; ;0; ; ; ; ; ; 
TRACK;1.23.1-3;-16.4264095;-71.63449616;-1943067.835;2826836.729;NA;False; ; ;0; ; ; ; ; ; 
