source.name	sequenceID	m49_country.id	m49_country.display_name	gb_place_sampled	collection_year	earliest_collection_year	latest_collection_year	gb_length	gb_create_date	gb_update_date	host	gb_pubmed_id	isolate	coverage
ncbi-curated	PV606730	GUF	French Guiana	-	2024	2024	2024	11873	21-May-2025	21-May-2025	Homo sapiens	-	P1632	0.9950553134428428
ncbi-curated	PV606731	GUF	French Guiana	-	2024	2024	2024	11880	21-May-2025	21-May-2025	Homo sapiens	-	P1631	0.9956419711699631
ncbi-curated	PV606732	GUF	French Guiana	-	2024	2024	2024	11867	21-May-2025	21-May-2025	Homo sapiens	-	P1642	0.9945524639624539
ncbi-curated	PQ671580	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11461	03-Feb-2025	03-Feb-2025	Tadarida brasiliensis	-	brazil-RS-rabv_02_2022	0.9605263157894737
ncbi-curated	PQ671581	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11872	03-Feb-2025	03-Feb-2025	bovids	-	brazil-RS-rabv_06_2022	0.9949715051961113
ncbi-curated	PQ671582	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	10972	03-Feb-2025	03-Feb-2025	equidae	-	brazil-RS-rabv_07_2022	0.9195440831377808
ncbi-curated	PQ671583	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	equidae	-	brazil-RS-rabv_10_2022	0.9953067381830372
ncbi-curated	PQ671584	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	bovids	-	brazil-RS-rabv_11_2022	0.9953067381830372
ncbi-curated	PQ671585	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11461	03-Feb-2025	03-Feb-2025	bovids	-	brazil-RS-rabv_16_2022	0.9605263157894737
ncbi-curated	PQ671586	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11601	03-Feb-2025	03-Feb-2025	bovids	-	brazil-RS-rabv_23_2022	0.9722594703318806
ncbi-curated	PQ671587	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	bovids	-	brazil-RS-rabv_31_2022	0.9953067381830372
ncbi-curated	PQ671588	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	bovids	-	brazil-RS-rabv_32_2022	0.9953067381830372
ncbi-curated	PQ671589	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	bovids	-	brazil-RS-rabv_35_2022	0.9953067381830372
ncbi-curated	PQ671590	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	Myotis nigricans	-	brazil-RS-rabv_44_2022	0.9953067381830372
ncbi-curated	PQ671591	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	bovids	-	brazil-RS-rabv_46_2022	0.9953067381830372
ncbi-curated	PQ671592	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	bovids	-	brazil-RS-rabv_47_2022	0.9953067381830372
ncbi-curated	PQ671593	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11874	03-Feb-2025	03-Feb-2025	Tadarida brasiliensis	-	brazil-RS-rabv_49_2022	0.9951391216895743
ncbi-curated	PQ671594	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	bovids	-	brazil-RS-rabv_51_2022	0.9953067381830372
ncbi-curated	PQ671595	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	bovids	-	brazil-RS-rabv_52_2022	0.9953067381830372
ncbi-curated	PQ671596	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	Tadarida brasiliensis	-	brazil-RS-rabv_61_2022	0.9953067381830372
ncbi-curated	PQ671597	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	bovids	-	brazil-RS-rabv_62_2022	0.9953067381830372
ncbi-curated	PQ671598	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	bovids	-	brazil-RS-rabv_63_2022	0.9953067381830372
ncbi-curated	PQ671599	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	Desmodus rotundus	-	brazil-RS-rabv_64_2022	0.9953067381830372
ncbi-curated	PQ671600	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	bovids	-	brazil-RS-rabv_65_2022	0.9953067381830372
ncbi-curated	PQ671601	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	Desmodus rotundus	-	brazil-RS-rabv_66_2022	0.9953067381830372
ncbi-curated	PQ671602	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	bovids	-	brazil-RS-rabv_71_2022	0.9953067381830372
ncbi-curated	PQ671603	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	bovids	-	brazil-RS-rabv_78_2022	0.9953067381830372
ncbi-curated	PQ671604	BRA	Brazil	Rio Grande do Sul	2022	2022	2022	11876	03-Feb-2025	03-Feb-2025	cats	-	brazil-RS-rabv_97_2022	0.9953067381830372
ncbi-curated	PP965343	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	52_2021_aqp12	0.9914515588333892
ncbi-curated	PP965344	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	202_2021_aqp12	0.9914515588333892
ncbi-curated	PP965345	PER	Peru	-	2022	2022	2022	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	236_2022_aqp12	0.9914515588333892
ncbi-curated	PP965346	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	61_2021_aqp14	0.9914515588333892
ncbi-curated	PP965347	PER	Peru	-	2022	2022	2022	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	219_2022_aqp14	0.9914515588333892
ncbi-curated	PP965348	PER	Peru	-	2015	2015	2015	11884	08-Jul-2024	08-Jul-2024	Canis familiaris	-	560_2015_illumina	0.9959772041568891
ncbi-curated	PP965349	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	34_2021_aqp12	0.9914515588333892
ncbi-curated	PP965350	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	71_2021_aqp12	0.9914515588333892
ncbi-curated	PP965351	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	147_2021_aqp12	0.9914515588333892
ncbi-curated	PP965352	PER	Peru	-	2017	2017	2017	11893	08-Jul-2024	08-Jul-2024	Canis familiaris	-	375_2017_illumina	0.9967314783774723
ncbi-curated	PP965353	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	40_2021_aqp14	0.9914515588333892
ncbi-curated	PP965354	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	251_2021_aqp12	0.9914515588333892
ncbi-curated	PP965355	PER	Peru	-	2010	2010	2010	11904	08-Jul-2024	08-Jul-2024	Bos taurus	-	3553_2010_illumina	0.9976533690915186
ncbi-curated	PP965356	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	68_2021_aqp12	0.9914515588333892
ncbi-curated	PP965357	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	31_2021_aqp14	0.9914515588333892
ncbi-curated	PP965358	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	56_2021_aqp14	0.9914515588333892
ncbi-curated	PP965359	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	30_2021_aqp14	0.9914515588333892
