primary_accession	country	length	EPA_major_clade	host		
AB377128	Brazil	203	Cosmopolitan	Bos taurus		
AB377127	Brazil	203	Cosmopolitan	Bos taurus		
AB377126	Brazil	203	Cosmopolitan	Bos taurus		
AB377125	Brazil	203	Cosmopolitan	Bos taurus		
KF831540	Peru	220	Cosmopolitan	Canis familiaris		
AY649953	Colombia	258	Cosmopolitan	Canis familiaris		
AY649952	Colombia	258	Cosmopolitan	Canis familiaris		
AY649951	Colombia	258	Cosmopolitan	Canis familiaris		
AY649950	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649949	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649948	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649947	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649946	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649945	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649944	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649943	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649942	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649941	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649940	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649939	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649938	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649937	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649936	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649935	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649934	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649933	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649932	Colombia	258	Cosmopolitan	Canis familiaris		
AY649931	Colombia	258	Cosmopolitan	Canis familiaris		
AY649930	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649929	Colombia	258	Cosmopolitan	Urocyon cinereoargenteus		
AY649928	Colombia	258	Cosmopolitan	Canis familiaris		
AY649927	Colombia	258	Cosmopolitan	Canis familiaris		
AY649926	Colombia	258	Cosmopolitan	Canis familiaris		
AY649925	Colombia	258	Cosmopolitan	Canis familiaris		
AY649924	Colombia	258	Cosmopolitan	Canis familiaris		
AY649923	Colombia	258	Cosmopolitan	Canis familiaris		
AY649922	Colombia	258	Cosmopolitan	Canis familiaris		
AY649921	Colombia	258	Cosmopolitan	Canis familiaris		
AY649920	Colombia	258	Cosmopolitan	Canis familiaris		
AY649919	Colombia	258	Cosmopolitan	Canis familiaris		
AY649918	Colombia	258	Cosmopolitan	Canis familiaris		
AY649917	Colombia	258	Cosmopolitan	Canis familiaris		
AY649916	Colombia	258	Cosmopolitan	Canis familiaris		
AY649915	Colombia	258	Cosmopolitan	Canis familiaris		
AY649914	Colombia	258	Cosmopolitan	Canis familiaris		
AF269292	Colombia	258	Cosmopolitan	Canis familiaris		
AF269291	Colombia	258	Cosmopolitan	Homo sapiens		
AF189361	Colombia	258	Cosmopolitan	Canis familiaris		
AF189360	Colombia	258	Cosmopolitan	Canis familiaris		
AF189359	Colombia	258	Cosmopolitan	Canis familiaris		
AF189358	Colombia	258	Cosmopolitan	Canis familiaris		
AF189357	Colombia	258	Cosmopolitan	Canis familiaris		
AF189356	Colombia	258	Cosmopolitan	Canis familiaris		
AF189355	Colombia	258	Cosmopolitan	Canis familiaris		
AF189354	Colombia	258	Cosmopolitan	Canis familiaris		
AF189353	Colombia	258	Cosmopolitan	Canis familiaris		
AF189352	Colombia	258	Cosmopolitan	Canis familiaris		
AF189350	Colombia	258	Cosmopolitan	Canis familiaris		
AF189349	Colombia	258	Cosmopolitan	Canis familiaris		
AF189348	Colombia	258	Cosmopolitan	Canis familiaris		
AF189347	Colombia	258	Cosmopolitan	Canis familiaris		
AF189346	Colombia	258	Cosmopolitan	Canis familiaris		
AF189344	Colombia	258	Cosmopolitan	Canis familiaris		
AY192397	Colombia	258	Cosmopolitan	Canis familiaris		
AY192396	Colombia	258	Cosmopolitan	Canis familiaris		
AY192395	Colombia	258	Cosmopolitan	Canis familiaris		
AY192394	Colombia	258	Cosmopolitan	Canis familiaris		
AY192393	Colombia	258	Cosmopolitan	Canis familiaris		
AY192392	Colombia	258	Cosmopolitan	Canis familiaris		
AY192391	Colombia	258	Cosmopolitan	Canis familiaris		
AY192390	Colombia	258	Cosmopolitan	Canis familiaris		
AY192389	Colombia	258	Cosmopolitan	Canis familiaris		
AY192388	Colombia	258	Cosmopolitan	Canis familiaris		
AY192387	Colombia	258	Cosmopolitan	Canis familiaris		
AY192386	Colombia	258	Cosmopolitan	Canis familiaris		
AY192385	Colombia	258	Cosmopolitan	Canis familiaris		
AY192384	Colombia	258	Cosmopolitan	Canis familiaris		
AY192383	Colombia	258	Cosmopolitan	Canis familiaris		
AY192382	Colombia	258	Cosmopolitan	Canis familiaris		
AY192381	Colombia	258	Cosmopolitan	Canis familiaris		
AY192380	Colombia	258	Cosmopolitan	Canis familiaris		
AY192379	Colombia	258	Cosmopolitan	Canis familiaris		
